time,pm1.0,pm2.5,pm10
0.7091159820556641,181,2031,3942
1.4163498878479004,190,2060,3983
2.122957229614258,191,2034,3941
2.828171968460083,192,2012,3912
3.531623363494873,198,2008,3873
4.212300777435303,187,1969,3748
4.893202304840088,193,1966,3711
5.738647937774658,193,1966,3711
6.446573734283447,202,2001,3778
7.158714056015015,201,1983,3701
7.839590072631836,207,2021,3785
8.522408962249756,219,2044,3798
9.229971885681152,226,2082,3871
9.938404560089111,237,2111,3881
10.644249677658081,247,2116,3904
11.35230541229248,254,2146,3934
12.033939123153687,270,2144,3931
12.74445652961731,275,2165,3972
13.462951421737671,276,2108,3844
14.176918745040894,280,2086,3792
14.884316682815552,284,2062,3698
15.72970986366272,284,2062,3698
16.57529902458191,283,2057,3690
17.289297342300415,289,2014,3570
18.134852647781372,289,2014,3570
18.980594635009766,289,2014,3570
19.695263147354126,294,1974,3474
20.540729761123657,294,1974,3474
21.386295557022095,294,1974,3474
22.10604977607727,301,1923,3377
22.951459169387817,301,1923,3377
23.79699206352234,301,1923,3377
24.509459495544434,310,1885,3230
25.355111837387085,309,1881,3223
26.20055842399597,309,1881,3223
26.92382502555847,313,1829,3121
27.769243478775024,313,1829,3121
28.61494493484497,311,1818,3103
29.33464813232422,314,1753,2997
30.180225610733032,314,1753,2997
31.02563452720642,314,1753,2997
31.74681520462036,326,1713,2861
32.59233498573303,326,1713,2861
33.437801122665405,326,1713,2861
34.18681478500366,327,1641,2709
35.03222703933716,327,1641,2709
35.877795457839966,327,1641,2709
36.60337972640991,336,1585,2585
37.44900822639465,347,1637,2669
38.294450521469116,347,1637,2669
39.04619860649109,349,1569,2551
39.89174294471741,349,1569,2551
40.73719668388367,343,1541,2506
41.50098443031311,344,1477,2382
42.34664845466614,344,1477,2382
43.19211506843567,344,1477,2382
43.95200800895691,347,1410,2229
44.79750943183899,347,1410,2229
45.64297080039978,347,1410,2229
46.399815797805786,350,1365,2131
47.245365142822266,350,1365,2131
48.09097194671631,350,1365,2131
48.85698866844177,347,1306,2025
49.70249605178833,347,1306,2025
50.54808330535889,347,1306,2025
51.35356855392456,346,1245,1911
52.199169874191284,346,1245,1911
53.0446081161499,346,1245,1911
53.84348201751709,343,1201,1814
54.689067125320435,343,1201,1814
55.534528493881226,343,1201,1814
56.34378170967102,339,1146,1715
57.18925857543945,339,1146,1715
58.03491187095642,339,1146,1715
58.849371910095215,335,1098,1625
59.694945096969604,335,1098,1625
60.540390729904175,335,1098,1625
61.35291647911072,331,1043,1513
62.19852161407471,331,1043,1513
63.043912410736084,331,1043,1513
63.89803743362427,325,989,1410
64.74355387687683,325,989,1410
65.58898973464966,325,989,1410
66.44530034065247,317,949,1347
67.29077863693237,317,949,1347
68.13631224632263,317,949,1347
69.02926206588745,309,901,1269
69.87488031387329,309,901,1269
70.72039270401001,309,901,1269
71.6486337184906,299,849,1187
72.49407005310059,299,849,1187
73.33961343765259,299,849,1187
74.23944878578186,289,810,1131
75.0850248336792,289,810,1131
75.93044376373291,289,810,1131
76.85712337493896,280,768,1050
77.78383088111877,270,726,984
78.70977139472961,258,684,920
79.63538813591003,247,641,859
80.56102228164673,236,604,815
81.48710060119629,228,580,784
82.41290163993835,222,554,749
83.33870530128479,217,536,729
84.26380634307861,210,518,694
85.1887514591217,199,488,666
86.11297917366028,193,477,654
87.03691911697388,189,455,622
87.96116232872009,187,447,605
88.80667519569397,194,466,630
89.65233254432678,194,466,630
90.5753161907196,189,447,600
91.49815106391907,179,422,561
92.42163634300232,173,406,535
93.34536862373352,168,398,512
94.2696545124054,164,385,489
95.19223833084106,160,373,476
96.11553120613098,156,365,455
97.03797817230225,152,354,451
97.96023654937744,147,347,442
98.8825011253357,143,335,432
99.80491089820862,140,332,431
100.72711420059204,140,326,426
101.6495749950409,137,316,409
102.49519896507263,137,316,409
103.34062790870667,137,316,409
104.26257705688477,133,306,407
105.1080915927887,133,306,407
105.95350742340088,133,306,407
106.8745789527893,127,288,391
107.79512906074524,122,278,378
108.71578121185303,118,266,363
109.63608384132385,114,254,341
110.55654048919678,111,246,331
111.47709488868713,107,240,321
112.3972647190094,105,229,314
113.31742787361145,101,221,300
114.23752069473267,99,211,293
115.15738296508789,95,202,276
116.07722759246826,92,198,268
116.99729084968567,91,194,264
117.91659641265869,88,186,250
118.8364577293396,89,187,252
119.68189358711243,89,187,252
120.60112762451172,86,179,235
121.5199282169342,82,167,220
122.43881916999817,79,161,211
123.35800743103027,75,157,207
124.2769341468811,71,152,196
125.19550848007202,68,147,189
126.11399269104004,65,144,182
127.03245115280151,61,138,174
127.95125770568848,61,135,171
128.86964988708496,58,130,162
129.7883288860321,57,129,166
130.70685267448425,56,127,165
131.6252145767212,55,124,159
132.5434935092926,53,119,156
133.38905692100525,53,119,156
134.3071870803833,51,116,155
135.15274930000305,51,116,155
135.99814438819885,51,116,155
136.9165289402008,51,109,147
137.76199173927307,51,109,147
138.6073703765869,51,109,147
139.52515602111816,49,103,142
140.37070512771606,49,103,142
141.21611905097961,49,103,142
142.13363575935364,47,99,136
142.9790599346161,47,99,136
143.82460856437683,47,99,136
144.7419445514679,44,95,131
145.58743834495544,45,96,134
146.4329695701599,45,96,134
147.3506896495819,44,95,129
148.26835465431213,42,90,120
149.18579840660095,39,84,111
150.10300660133362,37,81,103
151.0204656124115,36,79,95
151.93772411346436,33,74,89
152.85481071472168,31,71,86
153.7719762325287,30,68,86
154.68932127952576,31,69,84
155.6059935092926,29,67,84
156.52288222312927,27,61,80
157.4396538734436,26,57,75
158.3565046787262,25,55,72
159.20196318626404,25,55,72
160.0475480556488,25,55,72
