time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
90.69572854042053,317,1191,1908,63489,20299,11164,3150,916,476
91.5414388179779,317,1191,1908,63489,20299,11164,3150,916,476
92.38718914985657,317,1191,1908,63489,20299,11164,3150,916,476
93.18004131317139,321,1206,1886,63435,20286,11080,3082,856,446
94.02567863464355,321,1206,1886,63435,20286,11080,3082,856,446
94.87122821807861,321,1206,1886,63435,20286,11080,3082,856,446
95.66638898849487,319,1187,1896,63006,20158,11078,3064,894,472
96.51214957237244,318,1180,1885,63006,20158,11078,3064,894,472
97.35772442817688,318,1180,1885,63006,20158,11078,3064,894,472
98.15109825134277,317,1168,1848,62730,20033,10921,2976,860,466
98.99679398536682,317,1168,1848,62730,20033,10921,2976,860,466
99.84252309799194,317,1168,1848,62730,20033,10921,2976,860,466
100.64393091201782,316,1156,1831,62181,19852,10794,2948,848,472
101.48963928222656,316,1156,1831,62181,19852,10794,2948,848,472
102.335129737854,316,1156,1831,62181,19852,10794,2948,848,472
103.14077639579773,316,1138,1796,61800,19706,10627,2859,834,462
103.98638105392456,316,1138,1796,61800,19706,10627,2859,834,462
104.83215951919556,316,1138,1796,61800,19706,10627,2859,834,462
105.62999653816223,313,1141,1774,61452,19601,10543,2839,806,438
106.43772649765015,309,1119,1731,60651,19309,10270,2777,780,426
107.24146699905396,307,1092,1713,60162,19110,10031,2727,794,444
108.05560564994812,305,1065,1662,59247,18804,9794,2621,748,426
108.84922552108765,305,1064,1651,59079,18769,9674,2633,746,414
109.65689444541931,305,1039,1626,58644,18617,9481,2561,750,418
110.46754193305969,305,1012,1559,58071,18349,9126,2420,702,406
111.30439305305481,303,991,1544,57384,18124,8948,2382,710,402
112.11437010765076,302,985,1534,57144,18044,8934,2356,712,382
112.95128035545349,300,980,1541,56838,17947,8938,2387,716,396
113.76639890670776,298,952,1525,56295,17750,8728,2335,726,418
114.5812304019928,298,954,1524,56163,17726,8700,2337,722,416
115.42069220542908,297,938,1489,55740,17537,8555,2282,682,398
116.26628637313843,297,938,1489,55740,17537,8555,2282,682,398
117.11202263832092,297,938,1489,55740,17537,8555,2282,682,398
117.96841430664062,296,922,1434,55215,17320,8368,2195,636,368
118.81411123275757,296,922,1434,55215,17320,8368,2195,636,368
119.6596462726593,296,922,1434,55215,17320,8368,2195,636,368
120.51019072532654,294,890,1401,54207,16961,8076,2133,630,380
121.35579824447632,294,890,1401,54207,16961,8076,2133,630,380
122.20131015777588,294,890,1401,54207,16961,8076,2133,630,380
123.05566072463989,289,874,1374,53508,16693,7899,2078,622,372
123.90123772621155,289,874,1374,53508,16693,7899,2078,622,372
124.74691462516785,289,874,1374,53508,16693,7899,2078,622,372
125.64643740653992,284,853,1329,52458,16358,7635,2020,590,348
126.57474112510681,279,831,1285,51378,16000,7433,1951,566,332
127.46830606460571,275,802,1214,50352,15636,7075,1832,510,306
128.39579939842224,267,770,1153,48879,15142,6687,1717,476,278
129.32354879379272,261,739,1090,47556,14682,6402,1590,436,250
130.25165033340454,255,704,1035,46284,14224,6086,1487,414,234
131.14480447769165,253,691,1008,45615,14029,5949,1443,396,230
132.07285809516907,249,673,998,44862,13794,5774,1425,408,232
133.0009846687317,247,651,965,44061,13526,5559,1344,398,222
133.92937445640564,244,635,936,43446,13327,5432,1302,388,198
134.85671973228455,242,638,951,43332,13290,5499,1328,398,208
135.78498077392578,241,636,944,43272,13258,5451,1316,392,206
136.71175169944763,236,622,930,42459,13010,5353,1292,396,206
137.55749940872192,236,622,930,42459,13010,5353,1292,396,206
