time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
8.888420104980469,261,1609,2842,65535,21649,15723,5147,1523,802
9.607362031936646,267,1635,2879,65535,22119,16063,5209,1523,822
10.320648670196533,273,1654,2898,65535,22692,16393,5283,1531,844
11.030984878540039,278,1707,2963,65535,23300,16773,5420,1547,860
11.745978832244873,283,1754,3006,65535,23832,17054,5528,1543,858
12.458052396774292,295,1773,3106,65535,24437,17293,5666,1662,920
13.176302909851074,304,1790,3137,65535,25012,17550,5780,1696,938
13.889106273651123,305,1792,3128,65535,25118,17554,5740,1664,934
14.60669231414795,310,1782,3041,65535,25104,17399,5521,1579,878
15.317379236221313,315,1802,3025,65535,25291,17506,5519,1539,838
16.16287088394165,315,1802,3025,65535,25291,17506,5519,1539,838
17.00835418701172,315,1802,3025,65535,25291,17506,5519,1539,838
17.728743076324463,316,1785,3055,65535,25243,17496,5529,1599,874
18.574273586273193,316,1785,3055,65535,25243,17496,5529,1599,874
19.419678926467896,316,1785,3055,65535,25243,17496,5529,1599,874
20.13268780708313,318,1786,3057,65535,25313,17415,5546,1615,870
20.978144645690918,318,1786,3057,65535,25313,17415,5546,1615,870
21.823553562164307,318,1786,3057,65535,25313,17415,5546,1615,870
22.549338579177856,320,1759,2988,65535,25100,17067,5412,1571,848
23.394926071166992,320,1759,2988,65535,25100,17067,5412,1571,848
24.240267038345337,320,1759,2988,65535,25100,17067,5412,1571,848
24.967169761657715,327,1711,2869,65535,24856,16616,5138,1475,786
25.812570333480835,327,1711,2869,65535,24856,16616,5138,1475,786
26.657950162887573,327,1711,2869,65535,24856,16616,5138,1475,786
27.41184949874878,333,1650,2778,65535,24514,16039,4911,1451,758
28.171732902526855,334,1600,2628,65535,24043,15430,4648,1318,670
28.92641830444336,336,1545,2524,65535,23697,14990,4395,1256,626
29.688286304473877,338,1492,2425,65535,23251,14429,4178,1210,594
30.484206914901733,338,1434,2301,65535,22702,13756,3941,1118,542
31.25048828125,336,1366,2168,65535,22121,13012,3670,1032,496
32.04643154144287,335,1316,2026,65535,21628,12363,3413,922,416
32.81395483016968,336,1236,1875,65535,21069,11623,3021,840,370
33.58124566078186,338,1184,1765,64989,20742,11173,2781,754,326
34.37564492225647,334,1136,1698,63951,20304,10729,2614,742,314
35.17045331001282,331,1111,1636,63132,20009,10460,2478,694,298
35.96933197975159,327,1092,1585,62442,19766,10227,2392,646,266
36.766987562179565,322,1057,1510,61623,19495,9851,2283,594,250
37.61247730255127,322,1057,1510,61623,19495,9851,2283,594,250
38.458030223846436,322,1057,1510,61623,19495,9851,2283,594,250
39.266013860702515,320,1021,1438,60756,19127,9455,2128,548,232
40.11157202720642,328,1046,1473,60756,19127,9455,2128,548,232
40.95710778236389,328,1046,1473,60756,19127,9455,2128,548,232
41.84544324874878,323,1005,1422,59403,18649,9097,2043,534,230
42.730674505233765,311,937,1341,57831,18136,8626,1910,516,234
43.626497745513916,306,892,1258,56334,17575,8109,1757,460,222
44.55403447151184,299,852,1188,54525,16970,7699,1658,408,200
45.44652462005615,293,805,1129,52764,16363,7130,1564,392,198
46.374053716659546,288,766,1066,50853,15736,6690,1472,360,192
47.301196336746216,279,728,997,48909,15107,6338,1369,320,166
48.22837829589844,269,687,928,47046,14464,5936,1238,290,158
49.15479636192322,257,642,869,44964,13768,5510,1160,276,152
50.080169916152954,247,601,804,42744,13081,5119,1060,246,132
51.00673198699951,241,581,773,41787,12775,4910,1004,232,126
51.93199062347412,235,562,734,40380,12319,4695,956,212,116
52.85731077194214,229,543,709,39204,11974,4551,918,204,104
53.70282745361328,229,543,709,39204,11974,4551,918,204,104
54.54834699630737,229,543,709,39204,11974,4551,918,204,104
55.47252082824707,219,520,675,37740,11510,4316,878,196,96
56.31800603866577,219,520,675,37740,11510,4316,878,196,96
57.1636164188385,219,520,675,37740,11510,4316,878,196,96
58.08617401123047,204,490,631,35601,10844,4077,810,178,90
59.00859022140503,193,463,597,33822,10291,3846,764,168,90
59.93127775192261,185,433,552,32196,9782,3537,690,148,84
60.853355884552,176,399,513,30459,9199,3247,624,144,84
61.773762941360474,163,370,470,28239,8526,2999,562,130,72
62.69902586936951,155,347,446,27051,8124,2785,532,126,70
63.61758089065552,146,326,421,25422,7608,2580,514,122,68
64.53863883018494,138,304,390,24030,7165,2411,460,110,60
65.45940279960632,130,282,355,22518,6694,2191,418,92,54
66.3800311088562,123,264,327,21348,6306,2060,384,78,48
67.30029058456421,119,255,315,20592,6091,1991,372,78,44
68.22083067893982,115,246,302,19914,5894,1940,350,72,36
69.14115405082703,109,238,288,19068,5637,1855,344,64,30
69.98667120933533,109,238,288,19068,5637,1855,344,64,30
