time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
0.9163215160369873,0,0,0,0,0,0,0,0,0
1.832453966140747,0,0,0,0,0,0,0,0,0
2.748573064804077,0,0,0,0,0,0,0,0,0
3.6651551723480225,0,2,3,126,42,26,4,2,2
4.582880973815918,3,8,16,672,206,88,20,12,6
5.501285552978516,8,19,34,1485,455,170,42,22,14
6.420318603515625,13,30,52,2472,734,272,64,28,18
7.266204118728638,13,30,51,2472,734,272,64,28,18
8.186826467514038,21,47,74,4002,1166,402,88,38,22
9.107070207595825,30,63,100,5454,1592,534,116,52,32
10.027034282684326,36,81,126,6720,1963,696,156,60,38
10.948585748672485,47,107,170,8589,2519,905,220,84,50
11.869306087493896,57,126,203,10161,3003,1063,264,100,60
12.790352821350098,66,147,235,11859,3499,1247,304,114,66
13.71150016784668,75,169,265,13479,3981,1424,342,126,72
14.634417295455933,85,193,300,15294,4514,1597,400,138,82
15.556596279144287,92,211,332,16626,4914,1744,450,154,94
16.479763984680176,100,230,365,18081,5338,1907,492,176,106
17.403207778930664,107,249,387,19125,5673,2056,526,180,110
18.326571941375732,113,269,421,20163,6014,2225,580,196,126
19.250962734222412,122,293,449,21807,6521,2440,616,202,126
20.09661602973938,122,293,449,21807,6521,2440,616,202,126
20.942431211471558,122,293,449,21807,6521,2440,616,202,126
21.867515087127686,126,303,458,23109,6907,2606,642,204,126
22.71330952644348,126,303,458,23109,6907,2606,642,204,126
23.559008359909058,126,303,458,23109,6907,2606,642,204,126
24.483745336532593,133,330,505,24510,7325,2864,724,230,148
25.3295578956604,139,346,530,24510,7325,2864,724,230,148
26.1754150390625,139,346,530,24510,7325,2864,724,230,148
27.10060405731201,147,372,577,26025,7817,3098,802,252,162
27.94636297225952,143,362,561,26025,7817,3098,802,252,162
28.792132139205933,143,362,561,26025,7817,3098,802,252,162
29.718331336975098,153,385,601,27903,8364,3293,862,272,170
30.563941955566406,153,385,601,27903,8364,3293,862,272,170
31.409701824188232,152,383,598,27903,8364,3293,862,272,170
32.335933685302734,159,407,646,29154,8794,3538,928,304,186
33.2626690864563,168,435,695,30765,9306,3837,1000,334,196
34.189335107803345,176,462,729,32115,9724,4072,1054,342,192
35.11619782447815,181,481,787,33381,10126,4269,1162,390,210
36.04379200935364,189,502,829,34947,10577,4518,1228,418,214
36.97181439399719,195,525,877,36159,10979,4693,1314,450,230
37.89685869216919,203,550,924,37473,11423,4971,1382,478,246
38.82473945617676,211,564,937,38697,11827,5083,1388,476,236
39.75292921066284,218,584,969,39699,12155,5270,1446,492,238
40.651994705200195,222,613,1023,40596,12477,5511,1557,524,258
41.57963180541992,225,622,1026,41064,12608,5581,1577,514,256
42.47813868522644,229,636,1024,41901,12870,5637,1581,494,240
43.40635585784912,233,651,1044,42414,13107,5782,1609,500,246
44.25204110145569,233,651,1044,42414,13107,5782,1609,500,246
45.097578287124634,233,651,1044,42414,13107,5782,1609,500,246
45.9792423248291,240,672,1056,43464,13465,5991,1607,480,250
46.824846267700195,240,672,1056,43464,13465,5991,1607,480,250
47.67065763473511,240,672,1056,43464,13465,5991,1607,480,250
48.56167125701904,243,692,1067,44133,13718,6112,1629,468,244
49.40738582611084,243,692,1067,44133,13718,6112,1629,468,244
50.252934217453,243,692,1067,44133,13718,6112,1629,468,244
51.105517864227295,246,703,1109,45081,13985,6287,1668,516,278
51.951117515563965,246,703,1109,45081,13985,6287,1668,516,278
52.796624183654785,246,703,1109,45081,13985,6287,1668,516,278
53.65571069717407,248,714,1136,45564,14146,6411,1719,530,290
54.5011842250824,248,714,1136,45564,14146,6411,1719,530,290
55.346837759017944,248,714,1136,45564,14146,6411,1719,530,290
56.23154091835022,247,741,1189,46227,14363,6689,1822,568,308
57.077115297317505,247,741,1189,46227,14363,6689,1822,568,308
57.92273139953613,247,741,1189,46227,14363,6689,1822,568,308
58.76847267150879,250,761,1226,47190,14661,6871,1875,594,330
59.61399221420288,250,761,1226,47190,14661,6871,1875,594,330
60.459739446640015,250,761,1226,47190,14661,6871,1875,594,330
