time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
0.9154984951019287,0,0,0,18,6,0,0,0,0
1.8310706615447998,0,0,0,30,10,0,0,0,0
2.7465274333953857,0,0,0,24,8,0,0,0,0
3.662034749984741,0,0,0,24,8,0,0,0,0
4.577655792236328,0,0,1,48,16,2,2,2,0
5.493663787841797,0,3,6,216,68,34,12,2,0
6.410348415374756,2,8,13,570,174,66,26,6,0
7.255810976028442,2,8,13,570,174,66,26,6,0
8.173511981964111,6,17,23,1323,385,132,38,6,0
9.09079623222351,9,26,37,1911,561,202,68,10,0
10.009247541427612,15,38,56,2934,860,308,92,22,2
10.928775787353516,22,57,85,4320,1280,486,134,32,6
11.84850263595581,31,75,111,5736,1708,652,172,40,6
12.76781177520752,37,95,139,7020,2097,810,220,48,12
13.688369274139404,47,116,178,8772,2615,992,274,68,28
14.607729196548462,53,136,206,10044,3007,1158,320,76,34
15.527684926986694,61,155,239,11394,3409,1320,376,96,42
16.44822096824646,67,176,277,12690,3803,1505,438,116,60
17.36938214302063,74,192,304,13836,4180,1682,472,130,64
18.29029369354248,80,209,335,15093,4554,1855,504,150,80
19.212079524993896,86,229,354,16203,4882,1970,540,146,82
20.05750608444214,86,229,354,16203,4882,1970,540,146,82
20.902809143066406,86,229,354,16203,4882,1970,540,146,82
21.825541257858276,89,240,372,17235,5173,2083,568,156,92
22.670902967453003,89,240,372,17235,5173,2083,568,156,92
23.516453742980957,89,240,372,17235,5173,2083,568,156,92
24.4406476020813,98,265,413,18822,5659,2290,638,172,104
25.36520004272461,112,303,471,20595,6198,2536,694,192,120
26.289732933044434,120,329,496,21990,6620,2735,740,196,122
27.214409112930298,130,356,542,23865,7188,2979,796,220,136
28.139747619628906,140,375,566,25734,7761,3156,848,230,146
29.064674139022827,148,401,596,27261,8227,3385,890,236,148
29.988892078399658,153,422,631,28347,8555,3499,952,256,166
30.913367748260498,160,439,654,29625,8949,3637,982,268,164
31.838356018066406,165,460,702,30729,9329,3854,1058,304,182
32.76282620429993,171,469,727,31482,9604,3961,1080,330,198
33.68825936317444,173,476,746,31842,9715,4040,1108,346,218
34.6138973236084,176,483,762,32280,9864,4130,1132,358,220
