time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
0.9239075183868408,143,361,570,24540,7459,3028,762,246,124
1.8483967781066895,148,372,596,25497,7763,3088,782,274,136
2.773529291152954,147,371,577,26259,7970,3186,776,262,128
3.6995937824249268,152,389,614,27204,8260,3337,836,282,148
4.624168395996094,156,399,634,27885,8485,3435,874,290,150
5.548909425735474,160,415,661,28626,8734,3592,910,308,162
6.47388768196106,163,421,669,29175,8903,3684,910,308,166
7.398998498916626,165,430,691,29562,9009,3770,960,322,178
8.244711637496948,165,430,691,29562,9009,3770,960,322,178
9.090288400650024,163,425,682,29562,9009,3770,960,322,178
10.01725149154663,169,437,702,30426,9308,3887,984,336,184
10.9430992603302,173,451,712,31149,9549,3984,998,332,178
11.870014905929565,178,462,745,32277,9866,4117,1050,362,194
12.79649043083191,182,479,773,33075,10105,4274,1106,370,200
13.722918510437012,184,491,790,33654,10310,4411,1142,376,196
14.649746894836426,186,495,785,34083,10412,4445,1124,366,190
15.576380729675293,190,512,809,34863,10657,4590,1156,376,200
16.501918077468872,193,515,801,35328,10768,4545,1156,360,190
17.429383754730225,198,538,837,36315,11100,4720,1246,378,194
18.35654330253601,202,548,846,37272,11379,4829,1258,380,188
19.284070253372192,200,553,847,37410,11385,4871,1254,376,184
20.21115756034851,203,563,869,37899,11530,4957,1300,388,198
21.112452507019043,208,573,874,38616,11755,5035,1294,384,200
21.95799231529236,208,573,874,38616,11755,5035,1294,384,200
22.80348253250122,208,573,874,38616,11755,5035,1294,384,200
23.73148012161255,213,585,889,39123,11940,5133,1326,388,204
24.576982021331787,213,585,889,39123,11940,5133,1326,388,204
25.422597646713257,213,585,889,39123,11940,5133,1326,388,204
26.350868940353394,217,603,933,39852,12189,5274,1419,418,230
27.19645643234253,217,602,931,39852,12189,5274,1419,418,230
28.042078018188477,217,602,931,39852,12189,5274,1419,418,230
28.969894409179688,218,615,958,40287,12326,5439,1479,432,236
29.81549096107483,218,616,960,40287,12326,5439,1479,432,236
30.661080598831177,218,616,960,40287,12326,5439,1479,432,236
31.54902219772339,224,643,987,41427,12696,5642,1543,436,234
32.47335076332092,229,661,1021,42507,13055,5876,1567,464,246
33.37043380737305,233,661,1024,43038,13182,5925,1539,470,248
34.27368783950806,235,676,1065,43521,13404,6040,1603,504,272
35.17081546783447,240,686,1094,44136,13634,6177,1647,530,286
36.05828905105591,244,703,1117,44910,13907,6314,1689,534,286
36.955657958984375,243,716,1132,45012,13982,6463,1725,536,284
37.8842453956604,243,715,1144,45222,14032,6512,1727,544,294
38.77317452430725,241,704,1120,45588,14083,6516,1690,536,288
39.656779050827026,245,717,1123,46143,14274,6552,1694,528,284
40.553483724594116,243,709,1121,45930,14196,6510,1678,536,290
41.445212602615356,244,713,1151,46164,14267,6606,1736,564,312
42.30139660835266,254,740,1184,46587,14443,6678,1740,556,312
43.14688777923584,254,740,1184,46587,14443,6678,1740,556,312
43.99229693412781,254,740,1184,46587,14443,6678,1740,556,312
44.842538595199585,253,742,1168,47238,14585,6790,1771,534,294
45.68804669380188,253,742,1168,47238,14585,6790,1771,534,294
46.533525705337524,253,742,1168,47238,14585,6790,1771,534,294
47.415255546569824,252,756,1184,47607,14731,6900,1811,530,298
48.26072454452515,252,756,1184,47607,14731,6900,1811,530,298
49.10621905326843,252,756,1184,47607,14731,6900,1811,530,298
49.98879432678223,254,753,1198,47679,14737,6914,1828,550,324
50.834309577941895,256,757,1203,47679,14737,6914,1828,550,324
51.67988610267639,256,757,1203,47679,14737,6914,1828,550,324
52.53760504722595,258,761,1206,48000,14851,6906,1830,534,330
53.38297367095947,258,761,1206,48000,14851,6906,1830,534,330
54.22856426239014,257,759,1203,48000,14851,6906,1830,534,330
55.078869104385376,259,779,1227,48717,15089,7085,1889,552,324
55.92428278923035,259,779,1227,48717,15089,7085,1889,552,324
56.7697958946228,260,781,1230,48717,15089,7085,1889,552,324
57.6217315196991,263,798,1262,49044,15268,7278,1948,582,322
58.46716904640198,263,798,1262,49044,15268,7278,1948,582,322
59.31265711784363,263,798,1262,49044,15268,7278,1948,582,322
60.16711211204529,263,800,1298,49242,15362,7374,2007,626,340
61.01235914230347,263,800,1298,49242,15362,7374,2007,626,340
61.85783910751343,263,800,1298,49242,15362,7374,2007,626,340
62.71173667907715,264,811,1314,49731,15535,7525,2029,642,336
63.55720019340515,264,811,1314,49731,15535,7525,2029,642,336
64.40245580673218,264,811,1314,49731,15535,7525,2029,642,336
65.2385482788086,267,831,1327,50457,15780,7634,2074,632,336
66.08382606506348,267,831,1327,50457,15780,7634,2074,632,336
66.9291934967041,267,831,1327,50457,15780,7634,2074,632,336
67.77426481246948,265,848,1376,50763,15903,7873,2185,666,340
68.61961388587952,265,848,1376,50763,15903,7873,2185,666,340
69.46509599685669,265,848,1376,50763,15903,7873,2185,666,340
70.3020703792572,265,870,1407,51066,16068,8050,2245,676,348
71.14749026298523,265,870,1407,51066,16068,8050,2245,676,348
71.99279975891113,264,868,1404,51066,16068,8050,2245,676,348
72.84526681900024,265,877,1420,51222,16103,8149,2292,686,338
73.69062066078186,265,877,1420,51222,16103,8149,2292,686,338
74.53603839874268,265,877,1420,51222,16103,8149,2292,686,338
75.34681701660156,269,902,1454,52005,16368,8376,2350,700,338
76.1921317577362,269,902,1454,52005,16368,8376,2350,700,338
77.03741812705994,269,902,1454,52005,16368,8376,2350,700,338
77.84688019752502,272,922,1509,52782,16648,8609,2441,758,368
78.69216179847717,272,922,1509,52782,16648,8609,2441,758,368
79.53760266304016,272,922,1509,52782,16648,8609,2441,758,368
80.37730383872986,272,933,1520,53061,16724,8669,2451,758,380
81.22273659706116,271,931,1516,53061,16724,8669,2451,758,380
82.06826615333557,271,931,1516,53061,16724,8669,2451,758,380
82.87991499900818,272,936,1536,53538,16868,8705,2473,774,400
83.72529101371765,273,938,1540,53538,16868,8705,2473,774,400
84.57055258750916,273,938,1540,53538,16868,8705,2473,774,400
85.3737633228302,276,959,1578,54333,17154,8933,2519,796,426
86.2192280292511,276,959,1578,54333,17154,8933,2519,796,426
87.06469631195068,275,957,1574,54333,17154,8933,2519,796,426
87.87187910079956,280,971,1598,54966,17367,9063,2566,800,436
88.71741604804993,280,971,1598,54966,17367,9063,2566,800,436
89.56278610229492,280,971,1598,54966,17367,9063,2566,800,436
90.36614656448364,283,980,1629,55374,17498,9165,2602,828,460
91.21157097816467,283,980,1629,55374,17498,9165,2602,828,460
92.05692672729492,283,980,1629,55374,17498,9165,2602,828,460
92.85527682304382,287,989,1632,56094,17707,9228,2604,832,468
93.70078229904175,287,989,1632,56094,17707,9228,2604,832,468
94.54617118835449,287,989,1632,56094,17707,9228,2604,832,468
95.36115503311157,287,989,1676,56238,17769,9321,2642,890,520
96.20661163330078,287,989,1676,56238,17769,9321,2642,890,520
97.05197882652283,287,989,1676,56238,17769,9321,2642,890,520
97.85555291175842,290,1000,1710,56955,18024,9417,2698,916,548
98.70107555389404,289,998,1707,56955,18024,9417,2698,916,548
99.54641127586365,289,998,1707,56955,18024,9417,2698,916,548
100.3419976234436,290,1011,1729,57396,18183,9574,2720,920,544
101.18753957748413,290,1011,1729,57396,18183,9574,2720,920,544
