time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
279.98696970939636,435,878,952,65535,20885,7588,786,86,34
280.70374584198,470,954,1030,65535,22487,8273,854,88,34
281.46742939949036,493,1004,1089,65535,23596,8765,912,98,36
282.18616342544556,491,950,1024,65535,23021,8076,808,86,34
282.895516872406,484,925,988,65535,22661,7830,740,66,26
283.60807251930237,484,930,1001,65535,22718,7796,774,76,32
284.28909158706665,494,955,1027,65535,23092,8062,802,82,28
284.96814727783203,496,985,1059,65535,23474,8353,868,76,22
285.81349873542786,496,985,1059,65535,23474,8353,868,76,22
286.6587769985199,496,985,1059,65535,23474,8353,868,76,22
287.3236165046692,503,1061,1160,65535,24248,9283,1041,102,34
287.98580384254456,514,1147,1263,65535,25229,10350,1212,112,36
288.6501090526581,519,1243,1379,65535,26136,11522,1407,128,46
289.3136706352234,517,1335,1490,65535,26896,12694,1594,154,54
289.9735198020935,527,1449,1615,65535,28101,13987,1783,170,60
290.6064410209656,526,1580,1782,65535,29187,15448,2095,222,80
291.23837208747864,522,1718,1971,65535,30140,16890,2507,294,106
291.8710353374481,521,1829,2117,65535,31115,18259,2748,334,122
292.50608348846436,510,1940,2261,65535,31832,19453,3068,370,138
293.17125248908997,507,2011,2343,65535,32268,20332,3229,388,142
293.8087227344513,505,2045,2364,65535,32481,20638,3269,378,134
294.4462146759033,493,2087,2432,65535,32636,21111,3419,424,148
295.0812768936157,488,2141,2501,65535,32911,21613,3618,444,148
295.92655968666077,488,2141,2501,65535,32911,21613,3618,444,148
296.7719352245331,488,2141,2501,65535,32911,21613,3618,444,148
297.44167256355286,490,2126,2487,65535,32774,21404,3598,444,152
298.10321497917175,491,2127,2503,65535,32790,21350,3648,460,168
298.7666277885437,497,2085,2433,65535,32500,20870,3511,420,154
299.4312422275543,503,2013,2328,65535,32110,20160,3274,370,138
300.10111570358276,505,1971,2259,65535,31661,19629,3188,340,120
300.7667508125305,507,1923,2173,65535,31320,19247,2989,294,106
301.43461537361145,509,1903,2157,65535,31224,19086,2931,302,114
302.09786343574524,512,1884,2150,65535,31083,18817,2933,330,126
302.766681432724,517,1848,2077,65535,30746,18421,2793,276,108
303.4337646961212,522,1788,1990,65535,30433,17884,2536,248,96
304.10122776031494,528,1793,1986,65535,30498,17874,2536,236,92
304.7656989097595,532,1775,1953,65535,30395,17745,2436,218,84
305.4267361164093,533,1782,1971,65535,30482,17819,2480,232,92
306.2720501422882,533,1782,1971,65535,30482,17819,2480,232,92
307.11731147766113,533,1782,1971,65535,30482,17819,2480,232,92
307.78338289260864,535,1776,1970,65535,30486,17779,2460,248,96
308.6287610530853,535,1776,1970,65535,30486,17779,2460,248,96
309.474041223526,535,1776,1970,65535,30486,17779,2460,248,96
310.1417410373688,541,1759,1955,65535,30507,17614,2422,244,96
310.98718452453613,541,1759,1955,65535,30507,17614,2422,244,96
311.83258533477783,541,1759,1955,65535,30507,17614,2422,244,96
312.50775933265686,542,1729,1933,65535,30314,17234,2383,258,94
313.3532290458679,544,1733,1937,65535,30314,17234,2383,258,94
314.1986424922943,544,1733,1937,65535,30314,17234,2383,258,94
314.9155707359314,544,1649,1840,65535,29668,16160,2204,246,94
315.6251058578491,541,1551,1713,65535,28945,15175,1947,198,78
316.3037233352661,545,1503,1667,65535,28681,14598,1846,208,80
316.98060631752014,545,1475,1657,65535,28448,14281,1835,226,94
317.6539611816406,546,1444,1623,65535,28243,13859,1760,224,96
318.32309770584106,544,1434,1615,65535,28126,13753,1760,228,92
318.9917862415314,544,1404,1573,65535,27905,13496,1631,214,84
319.6704828739166,542,1364,1518,65535,27551,13114,1506,188,78
320.3491358757019,541,1324,1471,65535,27279,12604,1391,182,80
321.0270938873291,546,1288,1423,65535,27134,12111,1307,162,80
321.72967743873596,539,1298,1432,65535,27416,12511,1357,164,74
322.4427433013916,537,1311,1444,65535,27440,12673,1373,164,74
323.14969968795776,537,1285,1418,65535,27257,12341,1327,170,74
323.99516797065735,537,1285,1418,65535,27257,12341,1327,170,74
324.8404839038849,559,1338,1476,65535,27257,12341,1327,170,74
325.59143328666687,554,1278,1386,65535,26577,11539,1209,136,60
326.3158669471741,546,1217,1320,65535,25994,10924,1085,128,52
327.0396194458008,539,1143,1225,65535,25265,10085,932,102,40
327.76072001457214,521,1036,1113,65535,24525,9060,824,98,34
328.48333382606506,515,1001,1068,65535,24011,8487,802,90,24
329.1902105808258,508,988,1052,65535,23794,8340,782,86,20
329.8944115638733,503,997,1071,65535,23712,8439,822,104,28
330.5965828895569,503,1007,1077,65535,23736,8516,866,88,22
331.2772743701935,507,1011,1099,65535,23987,8641,896,112,32
331.947966337204,507,1073,1165,65535,24401,9306,1047,116,38
332.61770391464233,513,1160,1287,65535,25235,10313,1252,164,62
333.28307032585144,513,1264,1401,65535,26069,11481,1493,162,64
333.94666719436646,521,1374,1524,65535,26955,12603,1728,164,68
334.7920591831207,521,1374,1524,65535,26955,12603,1728,164,68
335.6373875141144,521,1374,1524,65535,26955,12603,1728,164,68
336.30405163764954,530,1446,1595,65535,27652,13453,1844,160,70
336.97617530822754,535,1501,1656,65535,28325,14241,1892,168,72
337.6458330154419,536,1550,1714,65535,28777,14922,2000,174,74
338.3086040019989,537,1600,1770,65535,29243,15547,2087,178,68
338.97496342658997,541,1631,1805,65535,29629,15949,2119,188,68
339.6439025402069,534,1688,1877,65535,29913,16627,2288,202,78
340.30416440963745,532,1716,1915,65535,30153,16879,2364,208,74
340.96702003479004,533,1730,1921,65535,30340,17176,2366,198,62
341.6326005458832,540,1695,1886,65535,30308,16969,2231,210,62
342.30294466018677,545,1649,1846,65535,30091,16607,2090,230,74
342.9719395637512,539,1658,1875,65535,30138,16904,2115,246,90
343.6058030128479,535,1729,1954,65535,30653,17696,2292,254,92
344.24162316322327,530,1800,2046,65535,31035,18348,2536,278,96
345.08699560165405,530,1800,2046,65535,31035,18348,2536,278,96
345.93225622177124,530,1800,2046,65535,31035,18348,2536,278,96
346.56821513175964,524,1864,2114,65535,31314,18903,2763,280,100
347.413533449173,524,1864,2114,65535,31314,18903,2763,280,100
348.2589819431305,524,1864,2114,65535,31314,18903,2763,280,100
348.9205446243286,520,1884,2150,65535,31479,19246,2822,298,116
349.55594849586487,518,1927,2181,65535,31844,19656,2894,276,100
350.187251329422,509,1992,2267,65535,32151,20237,3131,306,96
350.8185064792633,494,2076,2409,65535,32509,20887,3547,366,98
351.4462480545044,482,2191,2577,65535,33070,21888,4010,426,118
352.072110414505,467,2327,2774,65535,33850,23136,4501,500,126
352.7005202770233,446,2482,2998,65535,34455,24244,5206,568,148
353.32790207862854,438,2555,3111,65535,34678,24686,5566,604,172
353.9618706703186,434,2558,3107,65535,34749,24830,5485,594,176
354.62357115745544,439,2518,3074,65535,34589,24591,5352,606,192
355.29159355163574,435,2503,3052,65535,34406,24475,5320,584,180
355.9501864910126,440,2479,3041,65535,34304,24292,5250,618,192
356.6204409599304,449,2390,2913,65535,33777,23441,4925,566,188
357.4658622741699,449,2390,2913,65535,33777,23441,4925,566,188
358.31101727485657,449,2390,2913,65535,33777,23441,4925,566,188
358.9825761318207,461,2286,2740,65535,33174,22488,4467,478,176
359.8278548717499,461,2286,2740,65535,33174,22488,4467,478,176
360.67326068878174,461,2286,2740,65535,33174,22488,4467,478,176
361.34034729003906,470,2198,2608,65535,32617,21571,4173,426,160
362.1858344078064,470,2198,2608,65535,32617,21571,4173,426,160
363.03115940093994,470,2198,2608,65535,32617,21571,4173,426,160
363.66441893577576,465,2155,2527,65535,32338,21276,4058,392,172
364.2970609664917,481,2093,2418,65535,32195,20848,3710,356,152
364.92661023139954,486,2060,2385,65535,32106,20585,3587,378,156
365.56024622917175,481,2073,2448,65535,32130,20642,3754,452,180
366.18779373168945,474,2152,2573,65535,32550,21219,4106,500,198
366.81744170188904,480,2316,2798,65535,33062,21993,4524,572,222
367.4499228000641,474,2364,2846,65535,33261,22365,4717,560,218
368.08564925193787,474,2421,2935,65535,33674,23047,4885,592,258
368.7205903530121,464,2505,3046,65535,34110,23720,5166,632,282
369.35530185699463,458,2561,3105,65535,34464,24305,5277,634,282
369.98861956596375,455,2523,3038,65535,34450,24212,5263,606,258
370.6263589859009,453,2491,3000,65535,34285,24063,5111,602,248
371.2643311023712,459,2450,2933,65535,34008,23663,4934,566,238
372.1096775531769,459,2450,2933,65535,34008,23663,4934,566,238
372.95522475242615,458,2445,2927,65535,34008,23663,4934,566,238
373.58517837524414,468,2438,2873,65535,34134,23637,4807,494,216
374.4305725097656,468,2438,2873,65535,34134,23637,4807,494,216
375.2759938240051,468,2438,2873,65535,34134,23637,4807,494,216
375.90282917022705,472,2434,2845,65535,34142,23600,4706,470,198
376.7482533454895,472,2434,2845,65535,34142,23600,4706,470,198
377.59348249435425,472,2434,2845,65535,34142,23600,4706,470,198
378.2208397388458,474,2453,2843,65535,34251,23616,4754,448,194
379.06624126434326,474,2453,2843,65535,34251,23616,4754,448,194
379.9116072654724,474,2453,2843,65535,34251,23616,4754,448,194
380.54398822784424,463,2475,2878,65535,34229,23853,4828,462,186
381.3894593715668,463,2475,2878,65535,34229,23853,4828,462,186
382.23470997810364,463,2475,2878,65535,34229,23853,4828,462,186
382.86901926994324,454,2489,2889,65535,34225,24056,4893,462,172
383.7143666744232,454,2489,2889,65535,34225,24056,4893,462,172
384.55979204177856,454,2489,2889,65535,34225,24056,4893,462,172
385.19787096977234,457,2470,2873,65535,34147,24056,4843,460,158
386.04313564300537,457,2470,2873,65535,34147,24056,4843,460,158
386.88856625556946,457,2470,2873,65535,34147,24056,4843,460,158
387.5232491493225,454,2470,2878,65535,34136,24074,4857,460,154
388.36866784095764,454,2470,2878,65535,34136,24074,4857,460,154
389.2141716480255,454,2470,2878,65535,34136,24074,4857,460,154
389.84935331344604,454,2459,2879,65535,34120,24177,4803,474,150
390.69476222991943,454,2459,2879,65535,34120,24177,4803,474,150
391.54011249542236,454,2459,2879,65535,34120,24177,4803,474,150
392.17510962486267,455,2479,2896,65535,34219,24258,4863,462,146
393.0205397605896,455,2479,2896,65535,34219,24258,4863,462,146
393.86583495140076,454,2474,2890,65535,34219,24258,4863,462,146
394.49912548065186,449,2491,2913,65535,34396,24481,4926,458,142
395.3445637226105,449,2491,2913,65535,34396,24481,4926,458,142
396.1898374557495,449,2491,2913,65535,34396,24481,4926,458,142
396.8221046924591,440,2530,2986,65535,34322,24716,5129,504,168
397.6673548221588,440,2530,2986,65535,34322,24716,5129,504,168
398.512748003006,440,2530,2986,65535,34322,24716,5129,504,168
399.14731550216675,435,2526,2978,65535,34115,24644,5109,500,156
399.9928078651428,435,2526,2978,65535,34115,24644,5109,500,156
400.8382399082184,435,2526,2978,65535,34115,24644,5109,500,156
401.4747154712677,434,2471,2903,65535,33819,24238,4894,478,140
402.3201174736023,434,2471,2903,65535,33819,24238,4894,478,140
403.16549134254456,433,2466,2897,65535,33819,24238,4894,478,140
403.825248003006,442,2425,2838,65535,33650,23759,4766,462,148
404.67063903808594,442,2425,2838,65535,33650,23759,4766,462,148
405.5159537792206,442,2425,2838,65535,33650,23759,4766,462,148
406.1467378139496,444,2465,2883,65535,33790,23821,4898,478,140
406.78142189979553,441,2477,2898,65535,33870,23869,4944,480,154
407.41506791114807,443,2476,2917,65535,33935,23932,4938,526,176
408.05165576934814,445,2472,2910,65535,33868,23809,4942,516,190
408.710134267807,436,2390,2804,65535,33755,23650,4833,502,198
