time,pm1.0,pm2.5,pm10,>0.3,>0.5,>1.0,>2.5,>5,>10
0.9154975414276123,0,1,1,96,32,18,0,0,0
1.8309903144836426,0,0,1,96,32,22,2,0,0
2.746431827545166,0,1,2,96,32,22,4,0,0
3.661752462387085,0,0,1,66,22,14,4,0,0
4.577134370803833,0,0,1,60,20,14,4,0,0
5.492679119110107,0,0,1,72,24,16,4,0,0
6.337922096252441,0,0,1,72,24,16,4,0,0
7.18307089805603,0,0,1,72,24,16,4,0,0
8.098641395568848,0,0,1,90,30,16,4,0,0
8.9439218044281,0,0,1,90,30,16,4,0,0
9.789310932159424,0,0,1,90,30,16,4,0,0
10.704710245132446,0,1,1,108,36,16,4,0,0
11.54994511604309,0,1,1,108,36,16,4,0,0
12.39522385597229,0,1,1,108,36,16,4,0,0
13.310739755630493,0,1,1,138,44,18,4,0,0
14.156069040298462,0,1,1,138,44,18,4,0,0
15.00128698348999,0,1,1,138,44,18,4,0,0
15.916682481765747,0,1,2,150,48,18,4,0,0
16.761873483657837,0,1,2,150,48,18,4,0,0
17.607197999954224,0,1,2,150,48,18,4,0,0
18.52264952659607,0,1,2,180,58,18,4,0,0
19.367767095565796,0,1,2,180,58,18,4,0,0
20.21309804916382,0,1,2,180,58,18,4,0,0
21.128560781478882,0,1,1,216,62,16,2,0,0
21.973916053771973,0,1,1,216,62,16,2,0,0
22.819105863571167,0,1,1,216,62,16,2,0,0
23.7347469329834,0,1,1,252,64,16,0,0,0
24.580007076263428,0,1,1,252,64,16,0,0,0
25.425292015075684,0,1,1,252,64,16,0,0,0
26.340813159942627,1,1,1,294,78,16,0,0,0
27.18613362312317,1,1,1,294,78,16,0,0,0
28.031342029571533,1,1,1,294,78,16,0,0,0
28.947054386138916,1,2,2,366,98,16,0,0,0
29.79245138168335,1,2,2,366,98,16,0,0,0
30.637687921524048,1,2,2,366,98,16,0,0,0
31.553327560424805,2,3,3,432,116,20,2,0,0
32.39871692657471,2,3,3,432,116,20,2,0,0
33.24400877952576,2,3,3,432,116,20,2,0,0
34.15985083580017,2,4,4,504,136,24,2,0,0
35.00520730018616,2,4,4,504,136,24,2,0,0
35.85037064552307,2,4,4,504,136,24,2,0,0
36.7667670249939,4,6,6,798,214,48,2,0,0
37.683281898498535,5,9,9,1128,302,64,4,0,0
38.59994912147522,8,13,13,1578,426,78,10,0,0
39.51659369468689,10,16,16,1992,538,90,12,0,0
40.43361735343933,13,20,22,2508,684,106,18,2,2
41.35119104385376,18,26,27,3261,901,130,20,2,2
42.26912760734558,24,32,34,4164,1148,150,22,2,2
43.18717885017395,29,40,41,5061,1393,182,26,2,2
44.10570931434631,36,47,48,6144,1702,206,26,2,2
45.02442765235901,43,56,58,7278,2037,240,30,4,2
45.94315433502197,49,63,65,8166,2296,258,32,4,2
46.86142134666443,53,67,70,8847,2495,268,32,4,2
47.77981448173523,58,71,74,9444,2668,288,30,4,2
48.62511086463928,58,71,74,9444,2668,288,30,4,2
49.47027826309204,58,71,74,9444,2668,288,30,4,2
50.38845705986023,61,74,77,9945,2813,292,28,4,2
51.307307720184326,66,80,81,10653,3016,318,26,2,0
52.226444721221924,70,86,87,11232,3205,326,30,2,0
53.1461398601532,74,91,92,11907,3394,358,30,2,0
54.065051317214966,77,95,96,12246,3514,388,32,2,0
54.98479104042053,79,97,98,12657,3619,392,32,2,0
55.904118061065674,80,99,100,12867,3670,398,32,2,2
56.82370972633362,82,102,103,13209,3753,414,34,2,2
57.74342942237854,86,107,109,13806,3924,438,38,2,2
58.66249752044678,87,110,111,14061,3980,448,42,2,2
59.58198547363281,91,115,117,14604,4133,482,46,2,2
60.5012412071228,93,117,119,14730,4188,490,48,2,2
61.42093348503113,93,117,119,14928,4224,504,44,2,2
62.266258001327515,93,117,119,14928,4224,504,44,2,2
63.11137557029724,93,117,119,14928,4224,504,44,2,2
64.03166794776917,94,119,121,15099,4294,520,44,2,2
64.95220184326172,97,121,123,15588,4415,520,42,2,2
65.8731198310852,100,126,127,16023,4543,562,44,2,2
66.79371953010559,100,127,127,16488,4663,564,44,0,0
67.71462678909302,104,131,131,17019,4825,578,44,0,0
68.63554644584656,106,133,135,17376,4929,586,48,0,0
69.55600881576538,110,138,140,17967,5104,616,48,0,0
70.47629618644714,115,145,148,18225,5180,628,50,2,2
71.39707946777344,118,149,152,18828,5336,650,50,2,2
72.31856751441956,123,155,158,19491,5535,674,50,2,2
73.23934316635132,121,154,157,19629,5537,682,52,2,2
74.1605224609375,123,157,160,19917,5619,690,52,2,2
75.08434343338013,130,168,170,21039,5935,734,60,2,2
76.0113091468811,146,192,195,23274,6625,929,74,2,2
76.85472822189331,168,226,230,26385,7576,1154,92,4,2
77.69308614730835,190,261,268,29694,8592,1469,100,8,4
78.53826951980591,190,261,268,29694,8592,1469,100,8,4
79.38362693786621,190,261,268,29694,8592,1469,100,8,4
80.14365124702454,221,313,326,34221,10025,1895,130,12,6
80.90082120895386,257,373,390,39072,11557,2399,164,18,8
81.65332841873169,288,431,452,43782,13049,2847,212,24,10
82.40053057670593,321,496,518,48474,14550,3422,262,26,12
83.11663913726807,358,572,598,54039,16375,4085,304,32,14
83.82259678840637,400,651,679,59895,18267,4782,350,34,16
84.52667903900146,434,730,767,64887,19947,5546,414,48,18
85.23046827316284,463,793,834,65535,21310,6173,458,54,20
85.9319155216217,485,850,895,65535,22337,6844,524,54,20
86.6076431274414,508,915,968,65535,23474,7496,578,68,24
87.28611826896667,520,966,1015,65535,24198,8093,614,64,22
87.96479415893555,531,1007,1056,65535,24859,8552,652,62,20
88.64115452766418,544,1048,1095,65535,25454,9083,662,58,20
89.48632788658142,544,1048,1095,65535,25454,9083,662,58,20
90.33138751983643,544,1048,1095,65535,25454,9083,662,58,20
91.00480842590332,555,1098,1146,65535,26136,9589,742,58,18
91.84995484352112,555,1098,1146,65535,26136,9589,742,58,18
92.69522309303284,555,1098,1146,65535,26136,9589,742,58,18
93.3639805316925,566,1146,1193,65535,26697,10098,822,56,16
94.20921516418457,566,1146,1193,65535,26697,10098,822,56,16
95.05435514450073,566,1146,1193,65535,26697,10098,822,56,16
95.72598838806152,567,1179,1227,65535,27069,10508,838,56,16
96.57140040397644,567,1179,1227,65535,27069,10508,838,56,16
97.41663646697998,565,1176,1224,65535,27069,10508,838,56,16
98.08662796020508,571,1199,1238,65535,27343,10803,846,42,14
98.93193745613098,571,1199,1238,65535,27343,10803,846,42,14
99.77711129188538,573,1202,1241,65535,27343,10803,846,42,14
100.44896268844604,573,1233,1269,65535,27632,11167,890,38,12
101.29415249824524,573,1233,1269,65535,27632,11167,890,38,12
102.13954257965088,573,1233,1269,65535,27632,11167,890,38,12
102.8148832321167,574,1254,1284,65535,27846,11401,878,36,12
103.6600136756897,574,1254,1284,65535,27846,11401,878,36,12
104.50540328025818,574,1254,1284,65535,27846,11401,878,36,12
105.17539858818054,576,1272,1293,65535,28011,11682,902,18,6
106.02076292037964,574,1269,1290,65535,28011,11682,902,18,6
106.86593627929688,574,1269,1290,65535,28011,11682,902,18,6
107.5387270450592,575,1283,1312,65535,28146,11819,938,28,16
108.38395977020264,575,1283,1312,65535,28146,11819,938,28,16
109.22931051254272,577,1286,1315,65535,28146,11819,938,28,16
109.90086889266968,577,1307,1333,65535,28341,12168,942,22,14
110.74615359306335,577,1307,1333,65535,28341,12168,942,22,14
111.59148454666138,577,1307,1333,65535,28341,12168,942,22,14
112.26039576530457,579,1340,1368,65535,28630,12540,1040,20,12
113.10564684867859,579,1340,1368,65535,28630,12540,1040,20,12
113.95100259780884,579,1340,1368,65535,28630,12540,1040,20,12
114.6226212978363,579,1354,1381,65535,28656,12840,1046,18,12
115.4679627418518,581,1357,1384,65535,28656,12840,1046,18,12
116.31321692466736,581,1357,1384,65535,28656,12840,1046,18,12
116.98439240455627,581,1360,1386,65535,28618,12934,1032,18,12
117.82976579666138,579,1357,1383,65535,28618,12934,1032,18,12
118.67505264282227,579,1357,1383,65535,28618,12934,1032,18,12
119.35002708435059,580,1373,1404,65535,28586,13115,1140,22,10
120.19522428512573,580,1373,1404,65535,28586,13115,1140,22,10
121.0404486656189,580,1373,1404,65535,28586,13115,1140,22,10
121.7082531452179,577,1393,1434,65535,28682,13349,1206,34,18
122.55364418029785,577,1393,1434,65535,28682,13349,1206,34,18
123.39893817901611,577,1393,1434,65535,28682,13349,1206,34,18
124.06964921951294,581,1399,1447,65535,28676,13351,1236,44,26
124.91483736038208,581,1399,1447,65535,28676,13351,1236,44,26
125.76025342941284,581,1399,1447,65535,28676,13351,1236,44,26
126.42819714546204,582,1408,1464,65535,28848,13415,1278,52,26
127.27337431907654,584,1411,1467,65535,28848,13415,1278,52,26
128.11863589286804,584,1411,1467,65535,28848,13415,1278,52,26
128.7878851890564,586,1417,1474,65535,28888,13429,1310,52,26
129.6331012248993,586,1417,1474,65535,28888,13429,1310,52,26
