time,pm2.5,pm10
0.1122894287109375,0.2,0.4
1.1136455535888672,0.2,0.4
2.114649772644043,0.2,0.6
3.1153714656829834,0.2,0.6
4.116289377212524,0.2,0.6
5.116938829421997,0.2,0.6
6.1178319454193115,0.2,0.7
7.118515968322754,0.2,0.7
8.119399309158325,0.2,0.7
9.120113372802734,0.2,0.7
10.12080430984497,0.2,0.7
11.121695280075073,0.2,0.7
12.122405529022217,0.2,0.5
13.123221158981323,0.2,0.5
14.123872995376587,0.3,0.5
15.124521255493164,0.3,0.5
16.12523365020752,0.3,0.5
17.125887393951416,0.2,0.5
18.126478672027588,0.3,0.5
19.127175331115723,0.3,0.5
20.127944946289062,0.3,0.5
21.128421306610107,0.3,0.5
22.128769397735596,0.3,0.5
23.129669666290283,0.3,0.5
24.13019895553589,0.3,0.5
25.130941152572632,0.4,0.5
26.131792306900024,0.3,0.5
27.132320165634155,0.3,0.5
28.133025407791138,0.3,0.5
29.133795261383057,0.3,0.4
30.13445782661438,0.3,0.5
31.135164260864258,0.3,0.5
32.13590741157532,0.3,0.3
33.13655948638916,0.3,0.3
34.13717460632324,0.3,0.3
35.13815879821777,0.3,0.3
36.13889718055725,0.3,0.3
37.139551877975464,0.3,0.3
38.1404333114624,0.3,0.3
39.14112830162048,0.3,0.3
40.14186906814575,0.3,0.3
41.14271306991577,0.3,0.3
42.1434600353241,0.3,0.3
43.14427590370178,0.3,0.3
44.14500117301941,0.3,0.3
45.14586567878723,0.3,0.3
46.14673924446106,0.3,0.3
47.14749598503113,0.3,0.3
48.148350954055786,0.3,0.3
49.14923715591431,0.3,0.3
50.15013813972473,0.2,0.2
51.15084624290466,0.2,0.2
52.15150332450867,0.2,0.2
53.15238857269287,0.2,0.2
54.153077125549316,0.2,0.2
55.15400266647339,0.2,0.3
56.1549026966095,0.3,0.4
57.155555725097656,0.3,0.4
58.15624523162842,0.3,0.4
59.15714168548584,0.3,0.5
60.157827854156494,0.3,0.5
61.158527135849,0.3,0.6
62.15942978858948,0.3,0.7
63.159918546676636,0.3,0.7
64.16062784194946,0.4,0.9
65.16132593154907,0.4,1.5
66.16203093528748,0.4,1.5
67.16369223594666,0.5,1.5
68.16427659988403,0.5,1.6
69.16502976417542,0.5,1.6
70.16571283340454,0.6,1.8
71.16665816307068,0.6,2.0
72.16728472709656,0.7,2.2
73.16799283027649,0.7,2.3
74.16870141029358,0.7,2.8
75.16955876350403,0.8,2.9
76.17032408714294,0.9,3.2
77.17132830619812,0.9,3.5
78.17205309867859,1.0,3.6
79.1728847026825,1.0,3.8
80.17385149002075,1.1,3.9
81.17445826530457,1.2,4.5
82.17517876625061,1.2,5.1
83.17607855796814,1.3,5.3
84.176748752594,1.4,5.4
85.17750978469849,1.4,5.8
86.17816853523254,1.5,6.2
87.17867803573608,1.7,7.1
88.17937684059143,2.1,9.2
89.18010520935059,2.4,10.5
90.18081521987915,3.0,14.0
91.18148469924927,4.0,18.4
92.18235659599304,5.0,25.8
93.18301129341125,6.0,32.2
94.18380188941956,7.6,41.6
95.18469214439392,9.0,52.3
96.18536853790283,10.6,62.2
97.18605160713196,12.6,73.7
98.18693208694458,14.3,87.2
99.18783044815063,17.8,105.8
100.18852186203003,22.0,129.9
101.18943619728088,25.0,146.9
102.18993186950684,27.9,161.8
103.19077157974243,31.9,184.1
104.19163203239441,35.6,201.7
105.19235563278198,40.9,228.6
106.19303941726685,46.1,252.8
107.19391655921936,53.6,286.1
108.19481539726257,59.2,314.2
109.19549989700317,64.1,339.6
110.19637393951416,70.0,367.5
111.1972303390503,77.0,397.9
112.19794034957886,83.3,429.0
113.19882917404175,89.7,460.8
114.19970107078552,98.6,497.6
115.20041942596436,106.6,531.6
116.20126295089722,115.4,567.3
117.20195651054382,123.5,603.7
118.20286130905151,131.1,638.1
119.20372724533081,139.9,678.9
120.20440435409546,148.1,714.0
121.20522284507751,157.5,753.5
122.206139087677,167.2,789.8
123.20703101158142,176.8,831.2
124.20773243904114,186.7,869.0
125.20860409736633,195.4,905.4
126.20930242538452,205.0,946.3
127.21007466316223,215.0,984.5
128.2110457420349,225.1,1020.6
129.21175336837769,234.1,1051.4
130.2125928401947,240.9,1076.9
131.2135329246521,250.9,1112.3
132.21416878700256,260.6,1154.3
133.21510434150696,271.7,1189.0
134.21591567993164,282.1,1224.9
135.21663975715637,288.8,1253.4
136.21732926368713,297.3,1285.9
137.218186378479,302.5,1306.0
138.2189016342163,310.1,1336.9
139.21959567070007,318.8,1364.9
140.22046566009521,326.8,1397.3
141.22133350372314,334.6,1429.2
142.22199654579163,342.2,1457.8
143.22307920455933,349.2,1486.8
144.22380185127258,356.6,1518.4
145.22467064857483,363.6,1546.6
146.22554755210876,372.7,1579.6
147.22642064094543,381.4,1608.5
148.22708177566528,390.2,1639.2
149.22796535491943,398.0,1667.1
150.2286696434021,405.1,1691.0
151.2295298576355,409.7,1712.5
152.23029494285583,414.7,1735.7
153.23127555847168,421.3,1758.9
154.23198533058167,427.8,1784.8
155.2329981327057,433.7,1808.2
156.23388814926147,439.8,1828.9
157.23474836349487,445.9,1847.7
158.23562359809875,451.4,1872.3
159.23633003234863,456.4,1897.0
160.23734164237976,462.6,1916.2
161.23821330070496,467.4,1932.2
162.23909544944763,471.8,1947.1
163.23998045921326,475.9,1965.9
164.24083971977234,482.1,1991.5
165.2415897846222,488.5,1999.9
166.2423975467682,492.8,1999.9
167.24339866638184,498.0,1999.9
168.24417448043823,504.4,1999.9
169.24499559402466,508.6,1999.9
170.24586820602417,515.8,1999.9
171.246595621109,520.3,1999.9
172.24725365638733,526.1,1999.9
173.2481541633606,535.2,1999.9
174.24886465072632,538.5,1999.9
175.2495653629303,544.0,1999.9
176.25048422813416,546.5,1999.9
177.2511215209961,550.2,1999.9
178.25182223320007,553.9,1999.9
179.25268578529358,558.5,1999.9
180.25346970558167,562.9,1999.9
181.25407147407532,568.4,1999.9
182.2547459602356,572.6,1999.9
183.25547099113464,575.5,1999.9
184.25620484352112,579.0,1999.9
185.2569239139557,585.5,1999.9
186.2577257156372,588.6,1999.9
187.2584240436554,590.7,1999.9
188.25933861732483,595.9,1999.9
189.26018238067627,600.7,1999.9
190.2608687877655,605.9,1999.9
191.26173400878906,608.3,1999.9
192.26259517669678,612.9,1999.9
193.2633616924286,615.6,1999.9
194.264004945755,618.1,1999.9
195.26488041877747,621.2,1999.9
196.26555681228638,624.4,1999.9
197.26647281646729,627.8,1999.9
198.26713490486145,630.7,1999.9
199.26802158355713,635.6,1999.9
200.26870393753052,635.9,1999.9
201.26962041854858,638.5,1999.9
202.2704393863678,642.5,1999.9
203.27130722999573,641.8,1999.9
204.2721700668335,645.3,1999.9
205.27304077148438,647.6,1999.9
206.27390837669373,650.4,1999.9
207.27478742599487,652.0,1999.9
208.27565240859985,655.5,1999.9
209.27671909332275,658.5,1999.9
210.2773859500885,661.8,1999.9
211.27824449539185,664.7,1999.9
212.27906250953674,668.1,1999.9
213.2797634601593,672.3,1999.9
214.28061437606812,674.5,1999.9
215.2815341949463,674.4,1999.9
216.28213262557983,678.3,1999.9
217.28300213813782,682.1,1999.9
218.28392887115479,683.9,1999.9
219.28452014923096,685.3,1999.9
220.28535199165344,687.0,1999.9
221.2862250804901,690.9,1999.9
222.28714275360107,694.1,1999.9
223.2879717350006,697.2,1999.9
224.28884959220886,698.5,1999.9
225.28973078727722,701.1,1999.9
226.29041004180908,705.0,1999.9
227.29127287864685,707.3,1999.9
228.29215741157532,708.5,1999.9
229.29287147521973,710.7,1999.9
230.2937355041504,713.8,1999.9
231.2945578098297,716.3,1999.9
232.29543113708496,718.0,1999.9
233.296302318573,720.1,1999.9
234.29719972610474,722.7,1999.9
235.29787921905518,725.2,1999.9
236.29873180389404,727.4,1999.9
237.29944801330566,730.7,1999.9
238.30030632019043,731.3,1999.9
239.3011646270752,733.1,1999.9
240.30203008651733,734.1,1999.9
241.30290460586548,734.7,1999.9
242.30383896827698,736.4,1999.9
243.30447149276733,739.1,1999.9
244.3053436279297,741.4,1999.9
245.30603694915771,744.6,1999.9
246.30689692497253,746.9,1999.9
247.3075885772705,748.9,1999.9
248.30846691131592,749.9,1999.9
249.309157371521,753.3,1999.9
250.30988144874573,755.1,1999.9
251.31055641174316,757.3,1999.9
252.3112382888794,757.7,1999.9
253.3117859363556,758.2,1999.9
254.31247353553772,758.7,1999.9
255.31322073936462,761.0,1999.9
256.31389141082764,761.7,1999.9
257.31475043296814,763.2,1999.9
258.31525564193726,765.8,1999.9
259.31598830223083,766.6,1999.9
260.31665205955505,768.0,1999.9
261.31722927093506,770.1,1999.9
262.31788444519043,770.6,1999.9
263.3185815811157,773.7,1999.9
264.3192641735077,773.9,1999.9
265.31995010375977,774.5,1999.9
266.3206593990326,776.1,1999.9
267.32107067108154,777.0,1999.9
268.32187700271606,778.6,1999.9
269.3224549293518,779.6,1999.9
270.3232204914093,782.2,1999.9
271.3238763809204,784.6,1999.9
272.3248538970947,786.1,1999.9
273.3254005908966,786.1,1999.9
274.326208114624,786.1,1999.9
275.3268690109253,786.6,1999.9
276.3276016712189,786.7,1999.9
277.32812786102295,788.4,1999.9
278.328816652298,789.7,1999.9
279.329537153244,789.9,1999.9
280.33002972602844,790.8,1999.9
281.330757856369,792.3,1999.9
282.3314356803894,793.2,1999.9
283.33213996887207,795.2,1999.9
284.3328664302826,797.3,1999.9
285.3336045742035,797.8,1999.9
286.3342227935791,799.9,1999.9
287.3349361419678,801.1,1999.9
288.33562207221985,801.5,1999.9
289.33633828163147,802.5,1999.9
290.3371877670288,805.4,1999.9
291.3378789424896,805.9,1999.9
292.33841371536255,807.3,1999.9
293.33913016319275,808.7,1999.9
294.3397901058197,810.4,1999.9
295.3404920101166,811.2,1999.9
296.3412399291992,812.6,1999.9
297.3418776988983,814.3,1999.9
298.34256982803345,814.9,1999.9
299.3433060646057,814.6,1999.9
300.34398221969604,815.0,1999.9
301.344678401947,816.4,1999.9
302.3453471660614,817.7,1999.9
