time,pm2.5,pm10
0.3300337791442871,0.7,2.6
1.3316006660461426,0.7,2.7
2.332301139831543,0.7,2.7
3.3338191509246826,0.7,2.6
4.334813833236694,0.7,2.7
5.336153745651245,0.6,2.3
6.337274789810181,0.7,2.3
7.338170528411865,0.7,2.1
8.339328289031982,0.7,2.2
9.34045696258545,0.7,2.2
10.340641498565674,0.7,2.2
11.341150999069214,0.7,2.2
12.34171748161316,0.7,2.3
13.342249155044556,0.7,2.3
14.3429274559021,0.6,2.1
15.343689680099487,0.7,2.1
16.34421682357788,0.7,2.1
17.344849586486816,0.7,2.3
18.345481395721436,0.7,2.2
19.346129179000854,0.7,2.3
20.346864938735962,0.7,2.4
21.347657680511475,0.7,2.1
22.348287343978882,0.6,2.0
23.348978519439697,0.6,2.1
24.34997057914734,0.6,2.0
25.35058856010437,0.5,1.8
26.351295471191406,0.5,1.9
27.352232217788696,0.5,1.9
28.35297131538391,0.5,1.9
29.353529453277588,0.5,1.6
30.354459047317505,0.6,1.6
31.355055809020996,0.6,1.5
32.355868101119995,0.6,1.5
33.3568651676178,0.6,1.5
34.35758662223816,0.5,1.5
35.35850214958191,0.6,1.5
36.359238147735596,0.5,1.5
37.36109662055969,0.5,1.5
38.36187124252319,0.5,1.4
39.36287450790405,0.5,1.5
40.36374855041504,0.5,1.4
41.36452579498291,0.5,1.3
42.365533113479614,0.5,1.2
43.366387605667114,0.5,1.2
44.367220640182495,0.5,1.2
45.36828947067261,0.5,1.2
46.36915349960327,0.5,1.2
47.37004852294922,0.5,1.0
48.370861768722534,0.5,1.0
49.37182927131653,0.4,0.9
50.372660398483276,0.4,0.8
51.37352705001831,0.4,1.0
52.37424397468567,0.4,1.0
53.37511849403381,0.4,1.3
54.37608623504639,0.4,1.4
55.37692642211914,0.5,2.2
56.37783861160278,0.7,4.0
57.37880492210388,1.2,8.2
58.379584550857544,1.5,9.9
59.380274295806885,2.1,14.5
60.381242990493774,3.5,22.6
61.38215684890747,5.2,33.8
62.38286352157593,6.1,40.9
63.38398289680481,6.9,46.2
64.38477969169617,8.0,54.8
65.38570785522461,9.1,61.9
66.38649582862854,10.6,71.9
67.38724184036255,12.3,84.7
68.38820934295654,13.9,95.1
69.38917231559753,16.0,108.8
70.3900089263916,18.2,124.0
71.39089488983154,20.8,140.7
72.39184355735779,24.6,163.2
73.39262223243713,27.9,182.2
74.3934416770935,31.8,203.3
75.39440894126892,35.9,225.5
76.39518976211548,40.6,249.0
77.3961398601532,44.4,271.5
78.3969235420227,48.5,294.4
79.39773273468018,53.9,322.9
80.39874005317688,60.6,355.2
81.40024733543396,66.9,384.2
82.40045022964478,71.9,411.4
83.40111541748047,77.7,439.0
84.4021360874176,84.2,470.2
85.40292048454285,91.0,504.6
86.40368795394897,99.9,539.1
87.40464758872986,106.7,571.9
88.40548491477966,113.8,603.2
89.40630912780762,119.9,629.9
90.407297372818,127.7,659.9
91.4081802368164,135.5,690.7
92.40892195701599,143.0,720.4
93.40994834899902,149.5,750.2
94.41072249412537,156.4,779.5
95.41173362731934,164.4,814.0
96.41273927688599,172.1,844.4
97.41362500190735,180.6,871.6
98.41436982154846,188.7,906.8
99.41539311408997,197.6,936.4
100.4164023399353,204.2,962.7
101.41723442077637,211.5,988.3
102.41820096969604,217.6,1009.8
103.41918587684631,224.5,1038.0
104.42010545730591,231.2,1060.7
105.42096734046936,237.2,1086.7
106.42185258865356,244.4,1118.7
107.42288637161255,251.5,1147.0
108.4238429069519,258.0,1168.9
109.42467474937439,265.4,1193.8
110.42569208145142,271.5,1217.7
111.42669105529785,277.0,1244.0
112.42761158943176,283.6,1271.6
113.42857384681702,289.5,1297.5
114.42964124679565,296.8,1322.3
115.43057918548584,304.6,1349.1
116.43133807182312,308.6,1372.0
117.43260622024536,313.8,1389.7
118.43341326713562,319.8,1413.5
119.43445634841919,328.3,1446.0
120.43545460700989,332.8,1467.9
121.4365017414093,337.0,1484.5
122.43731379508972,341.9,1502.8
123.4383294582367,350.3,1536.7
124.43919610977173,356.3,1557.8
125.44024729728699,363.2,1581.6
126.44101977348328,369.4,1608.0
127.44211435317993,374.7,1634.0
128.44287419319153,381.4,1657.0
129.44377255439758,386.6,1683.6
130.4447727203369,394.0,1709.0
131.44561743736267,401.9,1739.0
132.44662642478943,407.3,1761.6
133.44746160507202,413.2,1783.2
134.44845819473267,418.9,1809.1
135.44947409629822,426.3,1833.6
136.4503755569458,431.7,1851.4
137.45102262496948,438.6,1875.7
138.4517629146576,446.1,1902.9
139.4525167942047,452.5,1924.6
140.4530816078186,458.4,1946.1
141.45385479927063,464.1,1963.5
142.4545521736145,470.5,1987.0
143.4551351070404,477.7,1999.9
144.4559097290039,484.1,1999.9
145.4566376209259,487.5,1999.9
146.45723342895508,493.1,1999.9
147.45806860923767,498.5,1999.9
148.45879673957825,504.7,1999.9
149.4593813419342,508.6,1999.9
150.4600372314453,513.0,1999.9
151.46058249473572,518.2,1999.9
152.4612159729004,522.6,1999.9
153.46199941635132,526.1,1999.9
154.4626281261444,530.6,1999.9
155.46348905563354,534.3,1999.9
156.4640064239502,538.1,1999.9
157.46466326713562,541.4,1999.9
158.46533465385437,543.6,1999.9
159.46592688560486,546.6,1999.9
160.46662759780884,548.7,1999.9
161.46703171730042,549.2,1999.9
162.46785497665405,551.8,1999.9
163.46832942962646,553.8,1999.9
164.46905040740967,555.1,1999.9
165.4696843624115,556.9,1999.9
166.4702913761139,558.1,1999.9
167.47093772888184,559.0,1999.9
168.47160959243774,560.9,1999.9
169.4722695350647,561.3,1999.9
170.47276067733765,561.8,1999.9
171.47348499298096,564.1,1999.9
172.47412300109863,565.5,1999.9
173.4747931957245,565.3,1999.9
174.47553944587708,564.2,1999.9
175.47610783576965,564.4,1999.9
176.4768168926239,564.6,1999.9
177.47753143310547,564.4,1999.9
178.47817993164062,564.3,1999.9
179.47868418693542,564.2,1999.9
180.47937059402466,564.0,1999.9
181.48011946678162,563.5,1999.9
182.48059678077698,565.1,1999.9
183.48134565353394,563.6,1999.9
184.48200869560242,562.0,1999.9
