time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0237362384796143,6,15,22,23,21,36,45,46,47,881,23.32,73.98,65.11
2.143709659576416,2,4,6,6,6,10,13,13,13,675,21.86,71.34,56.88
3.166980028152466,2,3,4,4,9,12,13,13,13,558,21.86,71.35,56.88
4.19037652015686,2,3,5,5,8,12,13,14,14,871,21.86,71.35,56.88
5.199528217315674,2,3,4,5,9,12,14,14,14,834,21.86,71.35,56.87
6.222779273986816,2,3,4,4,10,14,15,15,15,776,21.86,71.35,56.86
7.246178388595581,2,3,4,4,12,15,16,16,16,730,21.86,71.35,56.87
8.271601438522339,2,3,4,5,12,16,17,17,17,735,21.86,71.36,56.88
9.29481315612793,2,4,5,5,13,17,18,18,18,758,21.86,71.36,56.87
10.318432331085205,2,4,5,5,13,17,19,19,19,774,21.87,71.36,56.87
11.32734489440918,2,4,6,6,14,18,20,20,20,787,21.87,71.36,56.87
12.350664377212524,3,5,6,7,14,19,21,21,21,821,21.87,71.37,56.87
13.375175714492798,3,5,6,7,15,20,22,22,22,816,21.87,71.37,56.87
14.398422241210938,3,5,7,8,15,21,23,24,24,860,21.87,71.37,56.85
15.42193055152893,3,6,8,8,15,21,24,24,24,878,21.87,71.36,56.85
16.4310405254364,3,6,9,9,15,22,25,25,25,898,21.87,71.37,56.86
17.454222679138184,3,7,10,11,16,24,27,28,28,927,21.87,71.37,56.86
18.478992462158203,5,11,16,17,23,34,40,41,41,952,21.87,71.37,56.85
19.502436637878418,6,13,19,20,27,40,47,48,48,963,21.87,71.37,56.85
20.52575659751892,10,22,31,32,47,69,80,82,82,946,21.87,71.37,56.85
21.5347843170166,20,45,64,68,93,139,162,167,167,946,21.87,71.37,56.85
22.55805516242981,24,55,79,84,105,162,191,197,198,971,21.87,71.37,56.85
23.582508325576782,29,68,97,103,127,196,232,239,240,982,21.88,71.38,56.85
24.605823278427124,35,82,118,125,150,234,278,287,288,992,21.88,71.38,56.87
25.62924599647522,43,101,146,155,182,286,341,352,353,995,21.88,71.38,56.87
26.63854718208313,49,116,168,179,208,328,391,403,405,1016,21.88,71.38,56.86
27.661898136138916,54,127,183,194,227,356,425,439,441,992,21.88,71.38,56.87
28.686437129974365,59,139,201,214,250,393,469,484,486,985,21.88,71.38,56.87
29.70971941947937,67,158,228,242,283,445,530,547,550,1005,21.88,71.38,56.87
30.733271837234497,75,177,257,273,316,498,595,614,617,1016,21.88,71.38,56.86
31.74233913421631,85,200,290,308,354,560,669,691,694,1025,21.88,71.38,56.88
32.76563382148743,95,226,328,348,396,628,752,777,780,1034,21.88,71.38,56.89
33.79022479057312,111,266,386,410,460,733,879,909,913,1048,21.88,71.38,56.89
34.813549518585205,120,288,419,445,496,792,951,982,987,1040,21.88,71.38,56.89
35.83704376220703,124,298,433,460,507,813,977,1010,1015,1056,21.88,71.38,56.89
36.860674142837524,134,326,475,505,539,874,1056,1092,1097,1078,21.87,71.37,56.90
37.870009899139404,161,394,575,611,643,1048,1268,1312,1318,1079,21.87,71.37,56.91
38.89396524429321,194,477,698,742,768,1259,1527,1581,1588,1083,21.87,71.37,56.91
39.91723036766052,213,525,767,816,843,1382,1677,1735,1744,1043,21.87,71.37,56.92
40.940579891204834,219,541,791,841,870,1425,1729,1790,1799,1033,21.87,71.37,56.93
41.96433901786804,223,550,805,856,883,1448,1758,1819,1828,1051,21.87,71.37,56.93
42.97374725341797,228,561,821,873,905,1482,1797,1860,1870,1032,21.87,71.36,56.94
43.99769854545593,234,578,845,899,927,1521,1845,1910,1920,1070,21.87,71.36,56.94
45.02096605300903,245,608,891,947,964,1590,1933,2001,2011,1087,21.87,71.36,56.95
46.044315814971924,252,628,922,980,983,1629,1985,2056,2066,1099,21.87,71.36,56.95
47.05355358123779,259,649,953,1014,1003,1671,2040,2114,2124,1097,21.87,71.36,56.96
48.07725787162781,266,671,987,1050,1024,1714,2097,2173,2184,1105,21.86,71.36,56.96
49.100653409957886,273,690,1015,1079,1045,1755,2149,2228,2239,1082,21.86,71.36,56.97
50.124104022979736,280,708,1042,1109,1071,1799,2204,2285,2297,1075,21.86,71.36,56.99
51.13335871696472,285,723,1064,1132,1086,1829,2243,2326,2338,1065,21.86,71.35,56.98
52.15665149688721,291,740,1090,1160,1112,1874,2298,2383,2395,1073,21.86,71.35,57.00
53.180089473724365,298,760,1120,1192,1134,1916,2353,2441,2453,1088,21.86,71.35,56.99
54.20521855354309,306,781,1151,1225,1163,1967,2415,2505,2518,1067,21.86,71.35,57.01
55.22848987579346,314,803,1185,1261,1189,2015,2478,2570,2584,1077,21.86,71.34,57.01
