time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0316193103790283,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.151304244995117,0,0,0,0,0,0,0,0,0,1630,21.52,70.74,58.24
3.174750566482544,0,0,0,0,0,0,0,0,0,1630,21.51,70.72,58.24
4.197964191436768,0,0,0,0,0,0,0,0,0,1630,21.50,70.71,58.24
5.2212913036346436,0,0,0,0,0,0,0,0,0,1630,21.50,70.70,58.21
6.24486517906189,0,0,0,0,0,0,0,0,0,1630,21.50,70.70,58.21
7.268399953842163,0,0,0,0,0,0,0,0,0,1630,21.50,70.69,58.21
8.277529001235962,0,0,0,0,0,0,0,0,0,1630,21.50,70.69,58.21
9.300630807876587,0,0,0,0,0,0,0,0,0,1630,21.50,70.69,58.20
10.323943138122559,0,0,0,0,0,0,0,0,0,1630,21.49,70.69,58.21
11.347346305847168,0,0,0,0,0,0,0,0,0,1630,21.49,70.69,58.19
12.356421709060669,0,0,0,0,0,0,0,0,0,1630,21.49,70.69,58.21
13.379733800888062,0,0,0,0,0,0,0,0,0,1630,21.49,70.69,58.21
14.402989625930786,1,5,8,8,0,3,6,7,7,1630,21.49,70.69,58.19
15.426371574401855,1,5,7,8,0,3,6,7,7,1630,21.50,70.69,58.23
16.449838638305664,1,4,7,8,0,3,6,7,7,1630,21.49,70.69,58.19
17.473521947860718,1,4,7,8,0,3,6,7,7,1630,21.49,70.69,58.19
18.482624769210815,1,4,7,8,0,3,6,6,7,1630,21.49,70.69,58.19
19.505813360214233,1,4,7,7,0,2,6,6,6,1630,21.49,70.69,58.21
20.52910017967224,1,4,6,7,0,2,5,6,6,1630,21.49,70.69,58.20
21.552478790283203,1,4,6,7,0,2,5,6,6,1630,21.50,70.69,58.19
22.57600164413452,1,4,6,6,0,2,5,5,6,1630,21.49,70.69,58.22
23.585146188735962,1,3,6,6,0,2,5,5,5,1630,21.50,70.69,58.19
24.60830807685852,1,1,2,2,2,4,5,5,5,675,21.50,70.69,58.19
25.631637573242188,1,2,2,2,2,3,4,5,5,776,21.50,70.69,58.19
26.655019998550415,1,1,2,2,2,3,4,4,4,776,21.50,70.70,58.20
27.67854595184326,1,1,2,2,2,3,4,4,4,820,21.50,70.70,58.19
28.702224016189575,5,10,13,14,27,37,41,42,42,794,21.50,70.71,58.21
29.711392164230347,13,25,33,35,66,91,102,104,105,840,21.51,70.71,58.20
30.734602212905884,30,63,89,94,144,209,240,246,247,876,21.51,70.71,58.20
31.757902145385742,80,167,234,247,380,550,632,648,650,925,21.50,70.71,58.21
32.781423807144165,139,294,412,436,655,956,1101,1130,1134,976,21.51,70.71,58.20
