time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0323498249053955,2,9,15,16,0,6,13,14,14,1630,23.32,73.98,65.11
2.1522207260131836,0,0,0,0,0,0,0,0,0,1630,22.52,72.53,55.85
3.175420045852661,0,0,0,0,0,0,0,0,0,1630,22.52,72.53,55.86
4.198781967163086,0,0,0,0,0,0,0,0,0,1630,22.52,72.53,55.87
5.207891941070557,1,4,6,6,0,4,6,7,7,1630,22.52,72.53,55.86
6.231100797653198,1,4,6,6,0,4,6,7,7,1630,22.52,72.53,55.86
7.254415273666382,1,4,6,6,0,4,6,7,7,1630,22.51,72.53,55.87
8.263471603393555,1,3,5,6,0,4,6,7,7,1630,22.51,72.53,55.88
9.286688566207886,1,3,5,6,0,4,6,6,7,1630,22.51,72.52,55.88
10.310059547424316,1,3,5,5,0,3,6,6,6,1630,22.51,72.52,55.89
11.319156646728516,1,3,5,5,0,3,6,6,6,1630,22.51,72.52,55.88
12.342399835586548,1,3,5,5,0,3,5,6,6,1630,22.51,72.52,55.89
13.36576533317566,1,2,2,2,3,4,5,5,5,1026,22.51,72.51,55.89
14.374813079833984,1,2,2,2,3,4,5,5,5,1026,22.51,72.51,55.90
15.398096323013306,1,1,2,2,3,4,5,5,5,1026,22.50,72.51,55.90
16.421613454818726,1,1,2,2,2,4,5,5,5,1026,22.50,72.50,55.90
17.445316076278687,1,1,2,2,2,4,4,5,5,1026,22.50,72.50,55.91
18.46914577484131,1,1,2,2,2,3,4,4,4,1026,22.50,72.50,55.92
19.492907762527466,1,1,2,2,2,3,4,4,4,1159,22.50,72.50,55.90
20.516807794570923,1,2,3,3,3,5,6,6,6,1141,22.50,72.50,55.93
21.540704250335693,4,10,15,16,19,29,35,36,36,1068,22.50,72.50,55.94
22.54990005493164,9,21,30,32,40,62,73,75,76,1017,22.50,72.50,55.94
23.573385000228882,11,24,33,35,53,77,88,91,91,937,22.50,72.49,55.94
24.59701704978943,16,38,56,59,65,105,126,130,131,1009,22.49,72.49,55.95
25.620726823806763,23,54,77,82,101,156,185,191,191,974,22.49,72.49,55.96
26.6441867351532,31,71,101,108,133,205,243,250,251,973,22.49,72.49,55.96
27.653408527374268,41,92,131,139,180,274,322,332,333,961,22.49,72.48,55.98
28.676681518554688,49,113,163,173,207,323,384,396,398,984,22.49,72.48,55.98
29.700082778930664,53,124,179,190,223,349,416,430,432,990,22.49,72.48,55.99
30.70916509628296,56,132,191,202,237,372,443,458,460,1002,22.49,72.48,55.98
31.73255944252014,61,144,208,221,258,405,483,499,501,1007,22.48,72.47,56.00
32.7560338973999,81,190,276,293,339,534,638,659,662,1007,22.48,72.47,56.01
33.7794713973999,96,226,327,347,400,632,754,779,782,1005,22.48,72.46,56.02
34.78876185417175,102,243,351,373,426,675,808,834,838,1027,22.48,72.46,56.01
35.812068939208984,106,254,368,390,442,702,841,868,873,1039,22.48,72.46,56.02
36.83561062812805,116,277,403,428,480,765,917,947,952,1040,22.48,72.46,56.05
37.85906648635864,127,305,442,470,525,838,1006,1039,1044,1032,22.48,72.46,56.06
38.88318133354187,141,340,494,525,575,923,1111,1149,1154,1045,22.48,72.46,56.05
39.8923122882843,153,371,540,573,624,1004,1210,1251,1257,1057,22.47,72.45,56.06
