time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0270648002624512,2,13,22,24,0,9,19,21,21,1630,23.32,73.98,65.11
2.146864414215088,0,0,0,0,0,0,0,0,0,1630,22.54,72.57,56.12
3.170243263244629,0,0,0,0,0,0,0,0,0,1630,22.54,72.57,56.15
4.19362211227417,0,0,0,0,0,0,0,0,0,1630,22.54,72.57,56.13
5.216980457305908,1,1,1,1,6,6,6,6,6,280,22.54,72.57,56.12
6.226157903671265,1,1,1,1,5,6,6,6,6,280,22.54,72.57,56.13
7.249518156051636,1,1,1,1,5,6,6,6,6,280,22.54,72.57,56.11
8.273145198822021,1,1,1,1,5,6,6,6,6,280,22.54,72.57,56.12
9.296483278274536,1,1,1,1,5,6,6,6,6,280,22.54,72.57,56.12
10.320112228393555,1,1,1,1,5,6,6,6,6,280,22.54,72.57,56.11
11.329240560531616,1,1,1,1,5,5,5,5,5,280,22.54,72.57,56.12
12.352322816848755,1,2,3,3,2,4,5,5,5,675,22.54,72.57,56.12
13.375699996948242,1,1,1,1,4,5,5,5,5,533,22.54,72.57,56.13
14.399401903152466,1,1,1,1,4,5,5,5,5,533,22.54,72.57,56.11
15.408560037612915,1,1,1,1,4,5,5,5,5,566,22.54,72.56,56.15
16.43170714378357,1,1,1,1,4,5,5,5,5,566,22.54,72.57,56.12
17.455027103424072,1,1,1,1,4,5,5,5,5,569,22.54,72.56,56.12
18.47862982749939,5,12,17,18,23,36,42,43,43,889,22.53,72.56,56.12
19.487846612930298,11,27,39,42,46,73,88,91,92,993,22.53,72.56,56.13
20.510993242263794,18,41,60,63,76,118,140,144,145,936,22.53,72.56,56.13
21.534395933151245,22,48,69,73,98,147,172,177,178,923,22.53,72.56,56.13
22.557921171188354,30,72,104,111,126,200,239,247,248,953,22.53,72.56,56.13
23.56717085838318,39,92,132,140,166,260,309,319,320,949,22.53,72.56,56.15
24.59051203727722,48,113,164,174,200,317,378,391,392,973,22.53,72.55,56.15
25.613853931427002,52,123,177,188,219,344,411,424,426,972,22.53,72.55,56.17
26.637593746185303,60,141,204,217,251,396,472,488,490,989,22.53,72.55,56.15
27.661295652389526,63,148,214,228,261,413,494,510,512,995,22.52,72.54,56.15
28.6850004196167,67,160,231,246,280,443,531,548,551,1003,22.52,72.54,56.17
29.708962202072144,70,167,242,257,290,461,552,571,573,1016,22.52,72.54,56.17
30.73252248764038,77,184,267,284,316,505,606,626,629,1023,22.52,72.54,56.17
31.741775035858154,84,202,294,312,344,551,663,685,688,1037,22.52,72.54,56.19
32.76522350311279,102,246,358,381,414,667,803,831,835,1042,22.52,72.54,56.19
33.78876757621765,118,288,419,446,478,773,933,965,970,1058,22.52,72.53,56.20
34.81236457824707,133,325,474,504,533,867,1048,1084,1090,1050,22.52,72.53,56.21
35.836047649383545,142,347,507,539,565,922,1117,1156,1161,1055,22.52,72.53,56.21
36.85969686508179,158,392,574,610,622,1025,1246,1290,1297,1083,22.52,72.53,56.21
37.88342475891113,165,409,599,636,650,1070,1300,1346,1353,1040,22.51,72.53,56.23
38.89259719848633,172,426,624,664,674,1112,1353,1401,1408,1071,22.51,72.53,56.24
39.916016817092896,174,434,636,677,683,1129,1375,1424,1431,1079,22.51,72.53,56.23
40.93945837020874,177,443,649,691,692,1148,1399,1449,1456,1079,22.51,72.52,56.25
41.96286487579346,185,462,678,721,718,1193,1455,1508,1515,1083,22.51,72.52,56.26
42.97189402580261,192,484,711,756,744,1241,1517,1572,1580,1086,22.51,72.52,56.26
43.99534201622009,200,503,740,787,774,1291,1578,1635,1644,1061,22.51,72.52,56.27
45.018794775009155,210,527,774,824,814,1356,1656,1716,1724,1048,22.51,72.51,56.27
46.042378664016724,223,558,819,871,870,1443,1760,1823,1833,1033,22.51,72.51,56.31
47.06591582298279,233,586,860,915,904,1506,1840,1906,1916,1092,22.50,72.51,56.30
48.07507634162903,249,628,924,983,957,1603,1962,2034,2044,1113,22.50,72.51,56.31
49.0982723236084,259,655,963,1025,995,1669,2043,2118,2129,1078,22.50,72.50,56.34
50.121790409088135,272,687,1011,1076,1043,1750,2143,2222,2233,1079,22.50,72.50,56.33
51.14525532722473,290,735,1082,1151,1107,1863,2284,2368,2380,1097,22.50,72.50,56.34
52.15440368652344,302,766,1128,1201,1152,1940,2380,2467,2480,1069,22.50,72.49,56.35
