time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0280537605285645,2,9,15,16,0,6,13,14,14,1630,23.32,73.98,65.11
2.147073745727539,0,0,0,0,0,0,0,0,0,1630,22.32,72.17,57.54
3.1700782775878906,1,1,1,1,6,6,6,6,6,280,22.32,72.17,57.54
4.19312310218811,1,1,1,1,6,6,6,6,6,280,22.31,72.17,57.54
5.216036796569824,1,1,1,1,5,6,6,6,6,280,22.31,72.16,57.52
6.239124774932861,1,2,3,3,3,5,6,7,7,730,22.31,72.16,57.54
7.262369632720947,1,2,3,3,3,5,6,7,7,730,22.31,72.16,57.54
8.285816669464111,1,2,3,3,3,5,6,7,7,799,22.31,72.16,57.54
9.309167385101318,1,2,3,3,4,6,7,7,7,886,22.31,72.16,57.54
10.33222508430481,1,2,2,2,4,6,7,7,7,712,22.31,72.16,57.54
11.355590581893921,1,1,2,2,5,6,7,7,7,669,22.31,72.16,57.54
12.378917932510376,1,2,2,2,5,7,7,7,7,745,22.31,72.16,57.54
13.402286291122437,1,2,2,2,5,7,8,8,8,741,22.31,72.16,57.54
14.425760507583618,1,2,2,3,5,7,8,8,8,767,22.31,72.16,57.54
15.449227094650269,1,2,2,3,5,7,8,8,8,767,22.31,72.16,57.55
16.472841501235962,1,2,2,2,6,8,8,8,8,777,22.31,72.15,57.55
17.496416568756104,1,2,2,2,6,8,8,8,8,781,22.31,72.16,57.55
18.52021026611328,1,2,2,2,6,8,8,8,8,781,22.31,72.16,57.55
19.543733596801758,1,2,2,3,6,8,8,9,9,774,22.31,72.15,57.55
20.567527055740356,1,2,2,2,6,8,8,9,9,783,22.31,72.15,57.55
21.591065645217896,1,2,2,2,6,8,8,9,9,783,22.31,72.15,57.55
22.6145076751709,1,2,2,2,6,8,8,8,8,783,22.31,72.15,57.55
23.638094663619995,1,2,2,2,6,7,8,8,8,783,22.30,72.15,57.53
24.66159701347351,1,2,2,2,6,7,8,8,8,787,22.30,72.14,57.57
25.68510627746582,1,2,2,2,6,7,8,8,8,759,22.30,72.14,57.55
26.70860457420349,1,2,2,2,5,7,8,8,8,759,22.30,72.14,57.55
27.73213243484497,1,1,2,2,6,7,7,8,8,741,22.30,72.14,57.55
28.755449295043945,1,1,2,2,5,7,7,7,7,741,22.30,72.14,57.53
29.778825521469116,1,1,2,2,5,7,7,7,7,757,22.30,72.14,57.54
30.80218005180359,1,1,2,2,5,7,7,7,7,738,22.30,72.14,57.55
31.825546741485596,1,1,2,2,5,7,7,7,7,733,22.30,72.14,57.55
32.84885382652283,1,1,2,2,5,7,7,7,7,747,22.30,72.14,57.55
33.872339725494385,1,1,2,2,5,7,7,7,7,747,22.30,72.14,57.54
34.895848989486694,1,1,2,2,5,6,7,7,7,747,22.30,72.14,57.54
35.91925859451294,1,1,2,2,5,6,7,7,7,769,22.30,72.14,57.54
36.942898988723755,1,1,2,2,5,6,7,7,7,769,22.30,72.14,57.57
37.96657204627991,1,1,2,2,5,6,7,7,7,782,22.30,72.14,57.55
38.99017834663391,1,1,2,2,5,6,7,7,7,782,22.30,72.14,57.55
40.01380228996277,1,1,2,2,5,6,7,7,7,744,22.30,72.14,57.56
41.03750967979431,1,1,2,2,5,6,7,7,7,745,22.30,72.14,57.56
42.06103324890137,1,1,2,2,5,6,7,7,7,729,22.30,72.14,57.54
43.08433747291565,1,1,2,2,5,7,7,7,7,717,22.30,72.14,57.55
44.10784411430359,1,1,2,2,5,7,7,7,7,702,22.30,72.14,57.56
45.1314058303833,1,1,2,2,5,7,7,7,7,702,22.30,72.14,57.55
46.15494084358215,1,1,2,2,5,7,7,7,7,702,22.30,72.14,57.58
47.17847919464111,1,1,2,2,5,6,7,7,7,708,22.30,72.14,57.56
48.20205235481262,1,1,2,2,5,6,7,7,7,718,22.30,72.14,57.55
49.22564077377319,1,1,2,2,5,6,7,7,7,718,22.30,72.14,57.56
50.24893808364868,1,1,2,2,5,6,7,7,7,704,22.30,72.14,57.57
