time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0175402164459229,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.1373560428619385,0,0,0,0,0,0,0,0,0,1630,22.68,72.82,58.16
3.1609740257263184,1,1,1,1,6,6,6,6,6,280,22.68,72.82,58.16
4.1846654415130615,1,2,3,3,3,5,6,7,7,675,22.68,72.82,58.16
5.208130359649658,2,3,4,4,11,15,16,16,16,568,22.68,72.82,58.16
6.2317774295806885,2,3,4,5,13,17,18,18,18,523,22.67,72.81,58.17
7.255565404891968,2,3,4,4,12,16,17,17,17,550,22.67,72.81,58.18
8.27924633026123,2,4,5,6,11,15,17,17,17,662,22.67,72.81,58.17
9.303420305252075,2,4,5,5,12,15,17,17,17,666,22.67,72.81,58.17
10.327067136764526,2,3,4,5,12,16,17,17,17,643,22.67,72.81,58.17
11.350932836532593,2,3,4,4,13,16,17,17,17,639,22.67,72.81,58.18
12.374762296676636,2,3,4,4,12,15,17,17,17,662,22.67,72.81,58.18
13.398783922195435,2,4,5,5,11,15,17,17,17,720,22.67,72.81,58.18
14.422133684158325,2,4,5,5,11,15,17,17,17,713,22.67,72.81,58.18
15.445921659469604,2,4,5,5,11,15,16,17,17,708,22.67,72.81,58.18
16.469664335250854,2,4,5,5,11,15,16,16,17,708,22.67,72.81,58.18
17.478832483291626,2,3,4,5,11,15,16,16,16,666,22.67,72.81,58.19
18.50176692008972,2,4,5,5,11,14,16,16,16,706,22.67,72.81,58.18
19.52519130706787,2,4,5,5,11,15,16,16,16,718,22.67,72.81,58.19
20.534298419952393,2,4,5,5,11,15,16,16,16,714,22.67,72.81,58.19
21.557459831237793,2,4,5,5,11,15,16,16,16,722,22.67,72.80,58.19
22.580840826034546,2,4,5,5,11,14,16,16,16,740,22.67,72.81,58.19
23.604801177978516,2,4,5,6,11,15,16,17,17,768,22.67,72.81,58.19
24.628812074661255,2,4,5,5,11,15,17,17,17,780,22.67,72.81,58.20
25.652796268463135,2,4,6,6,12,16,18,19,19,799,22.67,72.81,58.19
26.67666244506836,3,5,7,8,13,19,21,22,22,838,22.67,72.81,58.19
27.70018219947815,8,17,24,26,39,57,65,67,67,910,22.67,72.81,58.19
28.723615407943726,14,31,45,47,61,93,109,113,113,964,22.67,72.81,58.20
29.747508764266968,18,39,55,59,83,123,142,146,147,952,22.67,72.81,58.19
30.772621393203735,21,46,66,70,95,143,166,171,172,962,22.67,72.81,58.20
31.796437740325928,24,54,77,81,106,162,190,195,196,981,22.67,72.81,58.20
32.81967210769653,27,62,88,94,119,182,215,221,222,984,22.67,72.81,58.20
33.84416103363037,33,79,114,121,140,221,264,273,274,1005,22.67,72.81,58.20
34.86734461784363,37,86,123,131,156,244,290,299,300,1005,22.67,72.81,58.20
35.89067006111145,42,97,140,149,177,277,330,340,342,1010,22.67,72.81,58.20
36.914124727249146,46,108,156,165,196,307,365,376,378,1016,22.67,72.81,58.20
37.923424243927,52,121,174,185,218,341,407,420,422,1013,22.67,72.81,58.21
38.94660806655884,55,130,188,199,231,364,435,449,451,1038,22.67,72.81,58.21
39.96994709968567,59,139,202,214,244,387,463,479,481,1057,22.67,72.80,58.21
40.99343252182007,63,152,221,234,261,417,501,517,520,1080,22.67,72.80,58.22
42.00270748138428,70,168,245,260,284,456,549,568,571,1088,22.67,72.80,58.22
43.02584743499756,79,192,280,297,319,516,622,644,647,1088,22.67,72.81,58.22
44.04923748970032,85,207,303,322,338,551,667,690,694,1102,22.67,72.80,58.22
45.05814743041992,89,221,324,344,353,581,706,730,734,1107,22.67,72.80,58.23
46.08133125305176,92,230,338,359,361,597,728,754,758,1107,22.67,72.80,58.24
47.10479378700256,97,243,357,380,376,626,765,792,796,1094,22.67,72.81,58.24
48.12823247909546,104,263,386,411,402,672,822,852,856,1090,22.67,72.81,58.24
49.13745307922363,110,280,412,438,419,707,868,900,904,1109,22.67,72.80,58.24
50.16062688827515,115,293,433,460,434,735,904,938,943,1105,22.67,72.80,58.25
51.18399500846863,120,308,454,484,448,765,943,979,984,1108,22.67,72.80,58.25
52.20760202407837,123,317,468,498,457,783,967,1004,1009,1095,22.66,72.79,58.25
53.21685481071472,125,324,479,510,467,801,989,1027,1032,1086,22.66,72.79,58.25
54.24008321762085,131,337,498,531,488,835,1031,1070,1076,1061,22.66,72.79,58.25
55.263354778289795,138,354,523,557,518,882,1087,1128,1134,1046,22.66,72.79,58.26
56.2869610786438,143,368,542,577,541,919,1131,1174,1180,1038,22.66,72.79,58.26
57.29615616798401,149,381,562,598,566,957,1177,1221,1227,1027,22.66,72.79,58.26
58.319403648376465,160,407,600,639,609,1028,1262,1309,1315,1034,22.66,72.79,58.27
59.3427951335907,168,426,627,667,641,1079,1323,1372,1379,1032,22.66,72.79,58.27
60.36629796028137,177,447,658,700,681,1141,1397,1448,1455,1018,22.66,72.79,58.27
61.37542247772217,185,466,685,729,717,1196,1462,1515,1523,1027,22.66,72.79,58.27
