time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0317225456237793,13,44,69,74,27,72,102,108,109,1287,23.32,73.98,65.11
2.1660377979278564,54,118,168,177,246,367,427,439,441,943,23.38,74.08,56.91
3.1898086071014404,72,141,194,204,362,506,570,583,585,912,23.36,74.06,56.92
4.213361740112305,94,183,250,264,473,659,742,759,761,899,23.36,74.04,56.92
5.237045526504517,115,225,309,326,581,811,914,934,937,920,23.35,74.04,56.93
6.260680913925171,133,261,358,378,664,930,1050,1074,1077,923,23.35,74.03,56.94
7.284266471862793,151,299,412,435,750,1055,1194,1222,1226,933,23.35,74.03,56.95
8.307794094085693,159,317,438,462,789,1113,1261,1291,1295,934,23.35,74.02,56.95
9.331432819366455,168,336,464,489,828,1171,1328,1359,1364,927,23.34,74.02,56.96
10.355063915252686,177,356,492,520,867,1230,1398,1431,1436,951,23.34,74.01,56.97
11.378690481185913,186,376,522,551,909,1293,1471,1507,1512,942,23.34,74.01,56.98
12.403013944625854,189,386,537,567,919,1313,1498,1535,1540,959,23.34,74.01,56.98
13.426578998565674,190,390,544,574,918,1317,1505,1542,1548,962,23.33,74.00,57.00
14.449885845184326,193,399,557,588,924,1331,1525,1563,1569,986,23.33,74.00,57.01
15.473407506942749,197,410,574,607,938,1357,1557,1597,1603,980,23.33,73.99,57.01
16.496814966201782,201,420,589,623,951,1381,1587,1628,1634,977,23.33,73.99,57.03
17.52032494544983,203,430,603,638,957,1397,1609,1651,1658,1000,23.33,73.99,57.04
18.52943992614746,206,439,619,654,961,1411,1630,1673,1680,1002,23.33,73.99,57.04
19.552461862564087,209,449,634,671,966,1425,1652,1697,1703,1008,23.32,73.98,57.05
20.57564902305603,212,461,652,691,974,1446,1680,1727,1733,1005,23.32,73.97,57.06
21.59900712966919,217,475,674,714,985,1472,1715,1763,1770,1022,23.32,73.97,57.06
22.622437953948975,220,484,688,729,995,1491,1740,1789,1797,1001,23.32,73.97,57.07
23.63150191307068,225,499,710,752,1012,1523,1780,1832,1839,1003,23.31,73.97,57.07
24.65470576286316,234,523,746,790,1044,1579,1851,1905,1913,1019,23.31,73.96,57.09
25.678098440170288,248,558,797,845,1095,1667,1959,2017,2025,1027,23.31,73.95,57.10
26.701478004455566,261,591,845,896,1148,1754,2064,2126,2135,1006,23.30,73.95,57.10
27.72495985031128,269,610,874,926,1176,1801,2122,2187,2196,1011,23.30,73.94,57.11
28.748254776000977,271,616,883,936,1186,1817,2142,2207,2217,997,23.30,73.94,57.12
29.757558584213257,273,621,889,943,1194,1831,2158,2224,2233,990,23.29,73.93,57.13
30.78068494796753,275,626,898,952,1201,1843,2174,2240,2249,995,23.29,73.93,57.14
31.803849697113037,277,630,902,957,1215,1860,2192,2259,2268,953,23.29,73.92,57.13
32.8271758556366,279,633,907,962,1224,1873,2206,2273,2282,965,23.29,73.91,57.15
33.85051202774048,282,640,917,973,1234,1890,2228,2295,2305,982,23.28,73.91,57.16
34.87394142150879,286,650,931,987,1255,1921,2263,2332,2342,974,23.28,73.91,57.17
35.88299250602722,294,667,955,1013,1291,1975,2326,2396,2406,972,23.28,73.91,57.18
36.906412839889526,297,674,965,1023,1300,1991,2346,2417,2427,988,23.28,73.90,57.19
37.92996072769165,299,679,972,1031,1311,2007,2365,2436,2446,989,23.28,73.90,57.19
38.95305800437927,303,689,987,1047,1322,2028,2391,2464,2474,1006,23.28,73.90,57.19
39.976354122161865,307,701,1006,1067,1336,2055,2426,2500,2511,1008,23.27,73.89,57.21
40.999852895736694,313,718,1032,1095,1355,2092,2474,2550,2561,1017,23.27,73.89,57.22
42.023351192474365,318,731,1050,1114,1375,2125,2514,2592,2603,1002,23.27,73.89,57.23
43.03229355812073,322,744,1070,1135,1386,2149,2546,2625,2637,1025,23.27,73.88,57.22
44.05539035797119,327,757,1090,1156,1399,2175,2581,2662,2673,1017,23.27,73.88,57.24
45.078567028045654,331,770,1110,1178,1410,2200,2614,2696,2709,1023,23.26,73.88,57.25
46.10214328765869,336,786,1135,1204,1424,2230,2655,2739,2752,1032,23.26,73.87,57.26
47.1255989074707,341,802,1159,1231,1439,2262,2697,2783,2796,1030,23.26,73.87,57.27
48.1344096660614,347,816,1180,1252,1458,2296,2738,2827,2840,1013,23.26,73.87,57.27
49.15755820274353,351,824,1191,1264,1480,2326,2772,2861,2874,983,23.26,73.86,57.29
50.18074703216553,360,844,1220,1295,1521,2388,2844,2936,2949,1005,23.26,73.86,57.29
51.20532941818237,368,863,1247,1324,1555,2440,2908,3001,3014,1004,23.26,73.86,57.30
52.2284369468689,378,882,1273,1351,1604,2510,2985,3080,3094,993,23.26,73.86,57.30
53.2517204284668,385,893,1286,1364,1645,2560,3039,3134,3148,974,23.25,73.86,57.31
54.2751030921936,389,899,1294,1373,1671,2593,3074,3170,3184,993,23.25,73.85,57.32
55.29843783378601,393,904,1300,1379,1693,2620,3102,3198,3212,995,23.25,73.85,57.32
56.307398319244385,395,909,1307,1386,1705,2637,3122,3218,3233,1010,23.25,73.85,57.32
57.330559730529785,397,911,1308,1388,1720,2654,3138,3235,3249,988,23.25,73.84,57.34
58.353827476501465,401,918,1318,1398,1740,2681,3169,3266,3280,1002,23.24,73.84,57.34
59.377121686935425,405,922,1322,1402,1768,2713,3200,3297,3312,979,23.24,73.83,57.36
60.40061593055725,409,930,1331,1412,1792,2745,3235,3333,3347,986,23.24,73.83,57.37
61.42404890060425,416,945,1354,1436,1817,2785,3284,3384,3398,1011,23.24,73.83,57.38
62.43364882469177,425,962,1377,1460,1869,2855,3361,3462,3477,961,23.24,73.83,57.38
63.4571213722229,434,978,1399,1483,1911,2914,3427,3529,3544,953,23.23,73.82,57.39
64.46696758270264,441,988,1411,1496,1955,2968,3484,3586,3601,929,23.23,73.82,57.40
65.4903450012207,450,1015,1452,1539,1987,3027,3559,3665,3681,1016,23.23,73.82,57.41
66.50014877319336,456,1033,1479,1568,2004,3063,3606,3715,3731,1013,23.23,73.81,57.42
67.52349638938904,460,1047,1500,1590,2012,3084,3637,3747,3763,1020,23.22,73.80,57.43
68.5332338809967,466,1063,1524,1616,2027,3117,3679,3791,3808,1002,23.22,73.80,57.43
69.55669951438904,470,1076,1545,1638,2042,3145,3716,3830,3847,1001,23.22,73.80,57.44
70.5663492679596,475,1090,1566,1661,2055,3172,3752,3868,3885,1020,23.22,73.79,57.45
71.58973431587219,479,1098,1577,1673,2074,3200,3783,3900,3917,1000,23.22,73.79,57.46
72.59937620162964,483,1106,1589,1685,2094,3228,3816,3933,3950,1003,23.22,73.79,57.46
73.62274885177612,486,1111,1594,1691,2115,3254,3843,3960,3978,987,23.22,73.79,57.46
74.63233208656311,491,1116,1599,1696,2148,3292,3881,3998,4015,973,23.21,73.78,57.48
75.65568590164185,495,1121,1604,1701,2177,3325,3914,4032,4049,963,23.21,73.78,57.49
76.6652500629425,498,1126,1611,1708,2190,3344,3935,4053,4070,986,23.21,73.78,57.49
77.68860840797424,501,1127,1610,1707,2214,3369,3958,4076,4093,958,23.21,73.78,57.50
78.69815325737,504,1130,1614,1710,2238,3396,3986,4104,4121,969,23.21,73.77,57.51
79.72162222862244,511,1148,1640,1739,2261,3438,4038,4157,4175,1014,23.20,73.77,57.52
80.73098587989807,515,1163,1665,1765,2263,3455,4066,4188,4206,1037,23.20,73.77,57.52
81.75434589385986,519,1181,1692,1794,2269,3480,4103,4227,4245,1048,23.20,73.76,57.54
82.76375532150269,525,1200,1722,1826,2286,3516,4152,4278,4297,1022,23.20,73.76,57.54
83.78752255439758,530,1205,1727,1831,2320,3556,4192,4319,4337,954,23.20,73.76,57.55
84.81150388717651,534,1209,1731,1835,2346,3585,4221,4348,4366,969,23.20,73.75,57.56
85.83555865287781,537,1215,1739,1844,2360,3605,4244,4371,4390,986,23.19,73.75,57.56
86.84539723396301,540,1219,1743,1848,2376,3625,4265,4393,4411,978,23.19,73.75,57.57
87.86910843849182,543,1225,1753,1858,2389,3644,4288,4416,4435,987,23.19,73.74,57.57
88.8930253982544,545,1235,1767,1874,2393,3658,4308,4438,4457,1011,23.19,73.74,57.59
89.91696381568909,548,1240,1774,1881,2409,3679,4331,4461,4480,982,23.19,73.74,57.58
90.9427695274353,550,1240,1773,1879,2430,3701,4351,4480,4499,967,23.19,73.74,57.59
91.96628499031067,553,1246,1781,1888,2439,3716,4369,4499,4518,992,23.18,73.73,57.61
92.99074220657349,556,1254,1793,1901,2451,3736,4393,4524,4543,1001,23.18,73.73,57.61
94.01442503929138,558,1260,1801,1910,2461,3752,4413,4545,4564,985,23.18,73.73,57.62
95.0239315032959,562,1263,1804,1912,2490,3784,4444,4575,4594,956,23.18,73.72,57.63
96.04734444618225,565,1265,1805,1913,2510,3806,4466,4597,4616,979,23.18,73.72,57.63
97.07094478607178,567,1266,1805,1913,2525,3822,4480,4611,4631,970,23.18,73.72,57.64
98.08062314987183,570,1271,1813,1921,2540,3842,4503,4635,4654,984,23.18,73.72,57.64
99.10397362709045,573,1273,1812,1920,2570,3874,4533,4664,4683,943,23.17,73.71,57.65
100.1130759716034,577,1282,1826,1934,2587,3900,4563,4695,4715,970,23.17,73.71,57.66
101.1363832950592,581,1292,1841,1951,2599,3923,4592,4726,4745,989,23.17,73.71,57.65
102.1455237865448,585,1310,1871,1983,2596,3939,4622,4758,4778,1025,23.17,73.70,57.67
103.16894936561584,588,1322,1889,2003,2598,3953,4645,4783,4803,1004,23.17,73.70,57.68
104.17791509628296,590,1331,1903,2017,2605,3969,4667,4806,4826,999,23.17,73.70,57.68
105.20121431350708,593,1338,1913,2028,2615,3986,4688,4827,4848,978,23.16,73.69,57.69
106.21038961410522,597,1346,1924,2040,2630,4009,4715,4855,4876,990,23.16,73.69,57.70
107.2337555885315,600,1357,1941,2058,2639,4030,4742,4884,4905,1001,23.16,73.69,57.70
108.25736784934998,603,1360,1945,2062,2657,4050,4764,4906,4927,957,23.16,73.69,57.71
109.26694965362549,605,1364,1950,2067,2672,4069,4784,4926,4947,978,23.16,73.68,57.71
110.29032039642334,607,1373,1965,2084,2670,4078,4800,4944,4965,1012,23.15,73.68,57.73
111.31405019760132,610,1377,1969,2087,2687,4097,4819,4963,4984,973,23.15,73.68,57.73
112.33782196044922,612,1378,1970,2088,2703,4115,4837,4980,5001,969,23.15,73.67,57.74
113.34748888015747,614,1379,1970,2088,2722,4136,4856,5000,5021,977,23.15,73.67,57.74
114.37089371681213,617,1385,1978,2096,2735,4154,4877,5021,5042,988,23.15,73.67,57.75
115.39446997642517,621,1395,1993,2113,2747,4176,4906,5051,5072,998,23.15,73.67,57.76
116.40396690368652,625,1409,2014,2135,2758,4201,4940,5087,5108,1008,23.15,73.66,57.76
117.42739248275757,629,1422,2034,2157,2764,4221,4968,5117,5139,1020,23.14,73.66,57.77
118.45106840133667,632,1433,2051,2174,2776,4244,4998,5148,5170,1025,23.14,73.66,57.77
119.47472286224365,636,1439,2059,2183,2794,4268,5025,5176,5198,996,23.14,73.66,57.78
120.48426532745361,639,1438,2056,2179,2821,4295,5048,5198,5220,955,23.14,73.66,57.78
