time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.018564224243164,211,387,519,546,1119,1513,1676,1708,1713,880,23.32,73.98,65.11
2.1536660194396973,501,1391,2088,2227,1664,3098,3942,4111,4135,1111,21.88,71.39,55.46
3.1772947311401367,559,1547,2320,2475,1868,3462,4399,4586,4613,1104,21.87,71.37,55.46
4.201040267944336,663,1827,2738,2920,2231,4114,5217,5438,5470,1088,21.86,71.35,55.48
5.224787473678589,752,2066,3095,3301,2544,4674,5920,6169,6205,1101,21.86,71.34,55.48
6.234018087387085,804,2194,3282,3499,2751,5013,6330,6594,6632,1083,21.85,71.33,55.48
7.257189989089966,827,2247,3359,3581,2847,5163,6509,6778,6817,1100,21.85,71.32,55.50
8.2805495262146,867,2336,3485,3714,3028,5434,6826,7104,7145,1064,21.85,71.32,55.49
9.289561748504639,888,2376,3538,3771,3140,5587,6997,7278,7319,1054,21.84,71.32,55.50
10.312711238861084,889,2373,3532,3763,3156,5600,7005,7286,7326,1095,21.85,71.33,55.50
11.336087942123413,905,2406,3579,3813,3228,5706,7128,7412,7453,1071,21.85,71.33,55.50
12.345365524291992,910,2403,3569,3802,3284,5758,7171,7454,7495,1042,21.85,71.33,55.51
13.368544340133667,918,2418,3589,3823,3322,5812,7232,7516,7557,1072,21.85,71.32,55.52
14.39191746711731,917,2409,3573,3806,3333,5813,7226,7508,7549,1074,21.85,71.33,55.52
15.400871276855469,917,2394,3546,3776,3364,5828,7226,7505,7546,1036,21.84,71.32,55.53
16.42397713661194,919,2388,3533,3763,3395,5852,7243,7520,7561,1036,21.84,71.31,55.54
17.44736623764038,920,2378,3515,3742,3422,5869,7249,7524,7564,1027,21.83,71.30,55.55
18.456497192382812,920,2375,3510,3737,3431,5875,7252,7527,7567,1054,21.83,71.29,55.57
19.479736328125,921,2370,3499,3725,3451,5889,7260,7534,7574,1036,21.82,71.27,55.60
20.50304365158081,921,2351,3465,3688,3492,5910,7263,7533,7572,1009,21.81,71.27,55.61
21.512085914611816,921,2342,3449,3671,3509,5918,7262,7530,7569,1044,21.81,71.26,55.62
22.535231113433838,921,2328,3425,3644,3532,5927,7258,7524,7563,1034,21.81,71.26,55.63
23.558678150177002,920,2312,3396,3613,3563,5940,7257,7519,7557,1021,21.81,71.26,55.64
24.56778359413147,919,2295,3365,3579,3592,5951,7252,7511,7549,1003,21.81,71.26,55.64
25.590925693511963,919,2274,3329,3540,3628,5965,7247,7502,7540,990,21.81,71.26,55.63
26.6142361164093,918,2265,3313,3523,3639,5967,7240,7494,7531,1031,21.81,71.26,55.65
27.623350620269775,917,2257,3300,3508,3645,5965,7232,7485,7521,1021,21.81,71.25,55.65
28.64662766456604,915,2253,3292,3500,3645,5959,7223,7475,7512,1040,21.80,71.25,55.66
29.66999363899231,914,2257,3300,3509,3627,5945,7214,7467,7504,1064,21.81,71.25,55.66
30.678974866867065,913,2259,3306,3515,3613,5934,7206,7460,7497,1056,21.80,71.25,55.67
31.7022807598114,913,2255,3299,3508,3614,5932,7201,7454,7491,1040,21.80,71.25,55.67
32.725670337677,912,2251,3292,3500,3619,5933,7198,7450,7487,1033,21.80,71.24,55.68
33.73459219932556,912,2254,3298,3506,3607,5924,7192,7445,7482,1062,21.80,71.24,55.69
34.757816791534424,911,2262,3313,3523,3586,5911,7188,7443,7480,1074,21.79,71.22,55.71
35.78133773803711,911,2267,3323,3534,3574,5904,7187,7443,7480,1065,21.79,71.23,55.71
36.79022836685181,911,2269,3325,3537,3568,5900,7184,7440,7478,1042,21.80,71.23,55.70
37.81345891952515,910,2269,3326,3537,3564,5896,7180,7437,7474,1036,21.80,71.23,55.70
38.83663773536682,909,2269,3328,3539,3555,5888,7173,7430,7467,1055,21.80,71.23,55.71
39.845951557159424,908,2266,3323,3534,3553,5882,7166,7422,7459,1039,21.80,71.24,55.70
40.86918115615845,908,2269,3328,3540,3540,5873,7160,7417,7454,1072,21.80,71.24,55.71
41.892500162124634,907,2259,3312,3522,3549,5872,7151,7406,7443,1039,21.80,71.25,55.71
42.91607666015625,906,2248,3293,3502,3564,5875,7145,7398,7435,1027,21.80,71.24,55.71
43.9253716468811,905,2248,3293,3502,3561,5872,7141,7395,7432,1057,21.80,71.23,55.74
44.948490142822266,906,2256,3306,3517,3551,5870,7146,7401,7438,1062,21.79,71.22,55.76
45.971824645996094,907,2271,3332,3544,3531,5865,7155,7412,7449,1092,21.79,71.22,55.77
46.98097801208496,908,2275,3339,3552,3533,5872,7164,7422,7460,1065,21.79,71.22,55.77
48.00411295890808,910,2271,3330,3542,3555,5890,7177,7434,7471,1039,21.79,71.22,55.77
49.02871656417847,912,2268,3324,3535,3577,5909,7191,7447,7484,1035,21.79,71.21,55.78
50.05220127105713,913,2264,3315,3526,3598,5925,7203,7458,7495,1038,21.79,71.22,55.78
51.075799226760864,915,2254,3296,3504,3633,5949,7216,7468,7505,1009,21.79,71.22,55.78
52.09938454627991,916,2256,3298,3506,3644,5962,7229,7481,7518,1038,21.79,71.21,55.80
53.123281478881836,918,2261,3305,3514,3654,5977,7246,7499,7536,1039,21.78,71.21,55.81
54.14696168899536,921,2254,3290,3498,3689,6004,7264,7516,7552,996,21.78,71.21,55.82
55.15599966049194,924,2256,3291,3498,3715,6033,7291,7542,7579,1023,21.78,71.20,55.82
56.17913055419922,928,2253,3281,3487,3759,6073,7324,7573,7610,1011,21.78,71.20,55.83
57.20250463485718,932,2262,3296,3502,3776,6100,7356,7607,7643,1051,21.77,71.19,55.85
58.211610078811646,935,2270,3306,3514,3789,6121,7381,7633,7670,1038,21.77,71.18,55.85
59.234774351119995,938,2282,3326,3535,3792,6136,7406,7659,7696,1031,21.77,71.18,55.86
60.258153676986694,942,2310,3374,3586,3763,6136,7429,7687,7725,1081,21.76,71.17,55.88
61.26700496673584,945,2329,3406,3621,3751,6145,7453,7714,7752,1077,21.76,71.17,55.89
62.290178060531616,952,2355,3446,3664,3766,6186,7512,7777,7815,1060,21.76,71.16,55.90
63.31364870071411,961,2372,3470,3690,3810,6248,7582,7848,7887,1031,21.76,71.16,55.90
64.322909116745,974,2408,3524,3747,3850,6324,7681,7951,7991,1067,21.75,71.16,55.92
65.3460304737091,983,2428,3553,3777,3894,6389,7755,8028,8068,1051,21.75,71.16,55.92
66.36939287185669,991,2453,3589,3816,3919,6439,7820,8096,8136,1068,21.75,71.15,55.94
67.37848114967346,999,2471,3615,3844,3952,6491,7882,8160,8200,1042,21.75,71.15,55.95
68.40171813964844,1006,2488,3640,3871,3980,6537,7937,8217,8258,1051,21.75,71.15,55.96
69.42510604858398,1017,2514,3678,3911,4021,6604,8019,8302,8343,1059,21.75,71.14,55.97
70.43410921096802,1026,2540,3717,3952,4057,6667,8097,8383,8424,1064,21.75,71.14,55.97
71.45735764503479,1035,2562,3749,3986,4093,6725,8168,8456,8498,1050,21.74,71.14,55.98
72.48085832595825,1044,2576,3768,4006,4143,6791,8239,8527,8569,1035,21.74,71.13,56.00
73.48975467681885,1051,2582,3771,4009,4196,6848,8294,8583,8625,1027,21.74,71.13,56.01
74.51317739486694,1056,2589,3780,4018,4227,6887,8335,8624,8666,1047,21.74,71.14,56.01
75.53667449951172,1061,2596,3789,4027,4251,6918,8369,8658,8700,1039,21.74,71.13,56.02
76.5601236820221,1065,2598,3790,4028,4286,6956,8404,8693,8736,1032,21.74,71.13,56.03
77.58390927314758,1069,2604,3798,4036,4307,6982,8433,8722,8764,1023,21.74,71.13,56.02
78.60915303230286,1072,2609,3802,4041,4329,7008,8459,8749,8791,1031,21.74,71.14,56.03
79.63237190246582,1076,2610,3802,4040,4361,7042,8491,8780,8822,1010,21.74,71.13,56.03
80.65579915046692,1082,2629,3831,4071,4374,7074,8536,8828,8870,1046,21.74,71.13,56.04
81.66483640670776,1088,2652,3868,4111,4384,7108,8586,8881,8924,1044,21.74,71.13,56.05
82.6880693435669,1094,2664,3884,4128,4414,7151,8634,8930,8973,1009,21.74,71.13,56.06
83.71265077590942,1109,2686,3911,4156,4500,7259,8749,9046,9089,1002,21.74,71.13,56.06
84.73597693443298,1122,2717,3957,4205,4554,7344,8852,9152,9196,1027,21.74,71.13,56.06
85.75937747955322,1130,2749,4006,4258,4565,7388,8917,9222,9267,1061,21.74,71.14,56.05
86.7828471660614,1135,2753,4011,4262,4597,7425,8954,9259,9303,1022,21.74,71.14,56.06
87.79208874702454,1138,2767,4032,4285,4603,7446,8984,9291,9336,1051,21.74,71.14,56.06
88.81544327735901,1144,2779,4048,4302,4628,7481,9026,9334,9379,1029,21.74,71.13,56.09
89.83877205848694,1149,2780,4046,4299,4675,7530,9070,9377,9422,999,21.74,71.13,56.09
90.86236071586609,1155,2804,4084,4341,4679,7559,9117,9427,9473,1057,21.74,71.13,56.08
91.87158560752869,1160,2812,4095,4352,4703,7591,9152,9463,9509,1024,21.74,71.13,56.09
92.89452195167542,1164,2808,4085,4340,4750,7633,9186,9496,9541,1005,21.74,71.13,56.10
93.9192898273468,1169,2815,4094,4349,4778,7669,9224,9535,9580,1045,21.74,71.13,56.10
