time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0340509414672852,12,32,48,51,43,76,96,99,100,1266,23.32,73.98,65.11
2.153806686401367,75,178,258,274,312,495,592,612,615,1065,21.90,71.43,55.82
3.1769683361053467,79,191,279,296,322,519,625,646,649,1056,21.89,71.41,55.80
4.200356721878052,105,244,351,373,445,695,826,852,856,1044,21.89,71.40,55.80
5.223830461502075,133,310,447,474,567,885,1052,1085,1090,1029,21.89,71.39,55.80
6.232984304428101,156,365,527,559,660,1034,1231,1270,1276,1059,21.88,71.39,55.81
7.256182909011841,180,423,612,650,754,1189,1419,1464,1471,1072,21.88,71.38,55.82
8.279465198516846,195,461,668,709,811,1285,1536,1586,1594,1047,21.88,71.38,55.83
9.288349390029907,212,503,728,774,881,1397,1672,1727,1735,1032,21.88,71.38,55.83
10.311519861221313,221,527,764,812,917,1458,1747,1805,1813,1037,21.87,71.37,55.85
11.334860563278198,229,549,798,847,945,1509,1811,1871,1880,1049,21.87,71.37,55.86
12.343754053115845,239,575,835,888,977,1567,1884,1947,1957,1037,21.87,71.36,55.86
13.36687445640564,241,583,849,903,978,1577,1901,1966,1975,1061,21.87,71.36,55.86
14.390215635299683,243,591,862,916,977,1585,1914,1980,1990,1065,21.87,71.37,55.85
15.413757085800171,245,599,875,930,980,1596,1931,1998,2008,1067,21.87,71.37,55.85
16.42293882369995,247,607,887,943,986,1610,1950,2018,2028,1056,21.88,71.38,55.85
17.446086883544922,249,613,895,952,992,1621,1965,2033,2043,1057,21.88,71.38,55.84
18.469369649887085,251,619,905,962,999,1635,1983,2052,2062,1045,21.88,71.39,55.84
19.478267192840576,254,628,918,976,1008,1653,2006,2076,2086,1056,21.88,71.38,55.85
20.501388549804688,257,636,930,989,1017,1670,2028,2100,2110,1039,21.88,71.38,55.85
21.524794101715088,262,648,948,1008,1038,1703,2068,2140,2151,1031,21.87,71.37,55.86
22.5481915473938,267,659,964,1025,1058,1735,2106,2180,2191,1028,21.87,71.37,55.86
23.557475805282593,273,673,984,1046,1081,1773,2151,2226,2237,1009,21.87,71.37,55.88
24.58059811592102,277,685,1003,1066,1098,1802,2188,2265,2276,1030,21.87,71.37,55.86
25.603886127471924,283,703,1030,1095,1114,1837,2234,2313,2324,1065,21.87,71.37,55.87
26.627334356307983,291,725,1063,1131,1142,1887,2298,2380,2391,1065,21.87,71.37,55.87
27.636584520339966,298,741,1085,1154,1167,1929,2348,2431,2443,1034,21.87,71.37,55.87
28.659672260284424,307,768,1126,1198,1194,1983,2419,2506,2519,1086,21.87,71.37,55.87
29.682956218719482,317,794,1166,1240,1235,2052,2503,2593,2606,1061,21.87,71.37,55.87
30.691962718963623,325,812,1192,1267,1266,2101,2562,2654,2667,1047,21.87,71.37,55.87
31.715031623840332,330,823,1207,1283,1288,2134,2600,2693,2707,1019,21.87,71.37,55.89
32.73953914642334,335,832,1220,1297,1313,2168,2639,2733,2747,1029,21.87,71.36,55.90
33.762641191482544,339,843,1235,1313,1328,2195,2671,2766,2780,1049,21.86,71.36,55.91
34.785929679870605,344,855,1253,1332,1348,2227,2710,2807,2821,1047,21.86,71.35,55.92
35.79482960700989,350,870,1274,1354,1377,2271,2762,2860,2874,1033,21.86,71.35,55.93
36.81813859939575,357,884,1294,1376,1412,2321,2819,2918,2932,1013,21.86,71.35,55.92
37.8414146900177,365,901,1318,1401,1447,2373,2879,2980,2995,1033,21.86,71.35,55.95
