time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0239288806915283,2,9,15,16,0,6,13,14,14,1630,23.32,73.98,65.11
2.1433827877044678,0,0,0,0,0,0,0,0,0,1630,21.20,70.17,59.32
3.166452169418335,0,0,0,0,0,0,0,0,0,1630,21.20,70.15,59.31
4.190548419952393,0,0,0,0,0,0,0,0,0,1630,21.19,70.15,59.30
5.213821172714233,0,0,0,0,0,0,0,0,0,1630,21.19,70.15,59.29
6.237188816070557,0,0,0,0,0,0,0,0,0,1630,21.19,70.14,59.29
7.246418476104736,1,4,7,8,0,3,6,7,7,1630,21.19,70.14,59.28
8.269564628601074,1,4,7,8,0,3,6,7,7,1630,21.19,70.14,59.28
9.292881965637207,1,4,7,8,0,3,6,7,7,1630,21.19,70.14,59.26
10.301879644393921,1,4,7,8,0,3,6,7,7,1630,21.19,70.14,59.27
11.325077533721924,1,4,7,7,0,3,6,7,7,1630,21.19,70.14,59.27
12.348415851593018,1,4,7,7,0,3,6,6,7,1630,21.19,70.14,59.27
13.357571601867676,1,4,7,7,0,3,6,6,6,1630,21.19,70.14,59.27
14.380629777908325,1,4,6,7,0,2,5,6,6,1630,21.19,70.13,59.26
15.403888463973999,1,4,6,6,0,2,5,6,6,1630,21.19,70.13,59.26
16.427364110946655,1,3,6,6,0,2,5,5,6,1630,21.18,70.13,59.27
17.436538696289062,1,3,5,6,0,2,5,5,5,1630,21.18,70.13,59.27
18.45969867706299,1,3,5,6,0,2,4,5,5,1630,21.18,70.13,59.26
19.48311996459961,1,3,5,5,0,2,4,5,5,1630,21.18,70.13,59.26
20.49199914932251,1,3,5,5,0,2,4,4,4,1630,21.18,70.13,59.26
21.51506733894348,0,3,4,5,0,2,4,4,4,1630,21.18,70.13,59.26
22.538503170013428,0,2,4,4,0,2,4,4,4,1630,21.18,70.13,59.26
23.547491788864136,0,2,4,4,0,2,3,4,4,1630,21.18,70.13,59.26
24.57062029838562,0,2,3,4,0,2,3,4,4,1630,21.18,70.13,59.26
25.59393048286438,0,2,3,4,0,2,3,3,4,1630,21.18,70.13,59.26
26.602846145629883,0,2,3,3,0,2,3,3,3,1630,21.18,70.13,59.25
27.62598729133606,0,1,2,2,1,2,3,3,3,1312,21.18,70.13,59.25
28.64930558204651,0,1,2,2,1,2,3,3,3,1312,21.18,70.13,59.25
29.658357858657837,0,1,2,2,0,2,3,3,3,1312,21.18,70.13,59.26
30.681703329086304,0,1,2,2,0,2,3,3,3,1347,21.18,70.13,59.26
31.704970359802246,0,1,2,2,0,2,3,3,3,1350,21.19,70.14,59.23
32.72840738296509,0,1,2,2,0,2,3,3,3,1350,21.19,70.15,59.23
33.75352358818054,0,1,2,2,0,2,3,3,3,1350,21.19,70.15,59.22
34.77665066719055,0,1,2,2,0,2,3,3,3,1350,21.20,70.16,59.21
35.80002951622009,0,1,2,2,1,2,3,3,3,1352,21.21,70.18,59.18
36.82360124588013,0,1,2,3,0,2,3,3,3,1404,21.23,70.21,59.14
37.83276033401489,0,2,3,3,0,2,3,3,3,1432,21.24,70.23,59.11
38.85589241981506,0,2,3,3,1,2,4,4,4,1364,21.26,70.27,59.06
39.87945747375488,0,2,3,3,1,3,4,4,4,1369,21.28,70.30,59.00
40.90309691429138,1,2,3,4,1,3,4,5,5,1389,21.29,70.33,58.94
41.926530599594116,1,2,4,4,1,3,5,5,5,1334,21.33,70.39,58.88
42.950356006622314,1,2,4,4,1,4,5,6,6,1334,21.34,70.42,58.83
43.974154472351074,1,2,4,4,1,4,5,6,6,1334,21.37,70.47,58.75
44.9980263710022,1,2,4,4,1,4,6,6,6,1293,21.40,70.52,58.67
46.02182412147522,1,3,4,4,1,4,6,6,6,1293,21.43,70.58,58.57
47.04558801651001,1,3,4,5,1,4,6,6,6,1312,21.44,70.60,58.54
48.069380044937134,1,3,4,5,1,4,6,7,7,1292,21.46,70.62,58.49
49.09332990646362,1,3,5,5,2,5,7,7,7,1265,21.46,70.63,58.46
50.10243582725525,1,3,5,5,2,5,7,7,7,1231,21.46,70.62,58.44
51.12556838989258,1,3,5,5,2,5,7,8,8,1203,21.46,70.62,58.44
52.14889073371887,1,3,5,5,3,6,8,8,8,1173,21.46,70.63,58.43
53.1579270362854,1,3,5,5,3,6,8,9,9,1202,21.46,70.64,58.41
54.18100953102112,1,4,6,6,3,7,9,9,10,1226,21.46,70.63,58.40
55.204307556152344,2,5,9,9,3,9,13,13,14,1250,21.46,70.63,58.39
56.227888107299805,3,9,14,15,6,16,22,23,23,1227,21.46,70.63,58.39
57.23718333244324,4,12,19,21,8,21,30,31,31,1248,21.45,70.62,58.38
58.260284185409546,4,14,22,24,10,25,35,37,37,1237,21.45,70.61,58.39
59.283602476119995,5,15,24,25,11,27,37,39,39,1243,21.44,70.60,58.40
60.292518854141235,5,15,23,25,13,28,38,40,40,1210,21.44,70.59,58.41
61.315688133239746,5,16,24,26,13,29,39,41,41,1223,21.43,70.57,58.44
62.33903694152832,5,16,24,26,13,29,39,41,42,1217,21.42,70.55,58.45
63.36254668235779,5,16,24,26,13,29,40,42,42,1220,21.41,70.54,58.47
64.37176060676575,5,16,24,26,13,30,40,42,42,1219,21.40,70.52,58.49
65.395028591156,5,16,24,26,14,30,40,42,42,1211,21.39,70.50,58.52
66.41829371452332,5,16,24,25,15,31,40,42,43,1183,21.38,70.48,58.53
67.42731022834778,5,15,23,25,16,32,41,43,43,1156,21.37,70.47,58.53
68.4505078792572,6,18,27,29,19,37,49,51,51,1145,21.37,70.46,58.56
69.47376418113708,7,20,30,33,21,41,54,56,57,1150,21.35,70.44,58.57
70.48259234428406,7,21,31,33,22,44,56,59,59,1135,21.34,70.42,58.59
71.50583171844482,8,24,36,39,25,49,64,67,68,1149,21.34,70.41,58.61
72.52930736541748,9,26,39,41,27,53,69,72,73,1148,21.33,70.39,58.64
73.55280375480652,9,26,40,43,28,55,71,75,75,1149,21.32,70.38,58.67
74.56186747550964,10,28,42,45,29,58,75,78,79,1151,21.31,70.36,58.70
75.58504128456116,10,28,43,46,30,59,77,80,81,1156,21.31,70.35,58.72
76.60850715637207,10,30,45,49,29,60,79,83,83,1167,21.30,70.33,58.75
77.63192534446716,10,30,45,48,32,63,82,85,86,1146,21.29,70.32,58.77
78.6410903930664,11,31,46,49,33,64,83,87,88,1145,21.29,70.32,58.79
79.66434741020203,11,30,46,49,35,66,84,88,89,1135,21.28,70.31,58.79
80.68796443939209,11,31,46,49,35,67,86,89,90,1135,21.28,70.30,58.81
81.71141219139099,11,32,47,51,36,68,88,91,92,1141,21.27,70.29,58.84
82.73500347137451,11,32,49,52,36,69,89,93,94,1145,21.26,70.27,58.86
83.74409532546997,12,32,49,52,37,71,91,95,95,1133,21.26,70.27,58.87
84.76750779151917,12,33,50,54,38,72,93,97,98,1136,21.26,70.27,58.88
85.79088163375854,12,34,52,55,39,75,96,100,101,1132,21.26,70.27,58.88
86.81444263458252,13,37,55,59,42,80,102,107,107,1151,21.27,70.28,58.87
87.83812141418457,14,38,58,62,44,83,107,112,112,1151,21.27,70.28,58.87
88.86315083503723,14,41,61,65,46,88,113,118,119,1154,21.27,70.29,58.87
89.88641166687012,16,45,67,72,51,97,124,130,130,1134,21.28,70.30,58.85
90.90991592407227,17,48,72,77,54,103,132,138,139,1135,21.28,70.31,58.84
91.93343782424927,18,50,75,80,56,108,138,145,145,1137,21.29,70.32,58.83
92.95700716972351,18,52,78,84,59,112,144,151,152,1132,21.29,70.32,58.81
93.96620440483093,19,53,80,86,60,115,148,154,155,1141,21.29,70.33,58.80
94.98953008651733,19,54,82,87,61,117,151,157,158,1132,21.30,70.34,58.79
96.01293754577637,19,55,83,88,62,119,153,159,160,1132,21.31,70.35,58.78
97.03632974624634,20,56,85,90,64,122,157,163,164,1125,21.31,70.36,58.77
98.04544281959534,20,58,87,93,66,126,161,168,169,1124,21.31,70.35,58.77
99.06855797767639,21,60,90,96,69,130,167,174,175,1127,21.31,70.35,58.77
100.09204697608948,22,62,93,100,71,135,173,181,182,1143,21.31,70.35,58.77
101.11540937423706,23,66,99,106,76,144,184,192,194,1140,21.30,70.35,58.77
102.12464356422424,25,70,105,112,80,152,195,204,205,1141,21.30,70.34,58.77
103.14783954620361,26,74,111,118,84,160,205,214,216,1151,21.30,70.34,58.78
104.1710958480835,30,84,127,136,96,183,235,245,247,1152,21.29,70.33,58.80
105.19466400146484,34,96,144,154,109,208,266,278,280,1149,21.29,70.32,58.81
106.20387530326843,38,107,162,173,123,234,299,313,314,1151,21.28,70.30,58.83
107.22694492340088,42,118,177,189,134,256,328,342,344,1153,21.27,70.29,58.85
108.2502601146698,45,128,192,205,146,277,356,371,374,1161,21.27,70.28,58.86
109.25941228866577,49,139,209,223,158,301,386,403,406,1153,21.26,70.28,58.88
110.28251194953918,53,150,225,240,172,326,417,436,438,1156,21.26,70.28,58.88
111.30595803260803,55,156,234,250,180,341,436,455,458,1141,21.27,70.29,58.87
112.32950687408447,58,162,243,260,190,357,455,475,478,1111,21.28,70.30,58.86
113.35311603546143,62,173,259,277,205,383,488,509,512,1094,21.28,70.30,58.85
114.36231470108032,66,182,274,292,220,408,518,540,543,1091,21.28,70.30,58.85
115.38554310798645,69,190,285,304,233,429,544,567,570,1085,21.28,70.30,58.86
116.40910148620605,71,196,294,313,242,444,562,585,589,1094,21.27,70.29,58.87
117.43246817588806,75,206,308,328,258,470,593,618,622,1098,21.27,70.29,58.87
118.45626831054688,78,214,319,340,269,489,618,643,647,1088,21.27,70.29,58.88
119.48003578186035,82,222,332,353,281,510,643,669,673,1083,21.27,70.28,58.89
120.48919439315796,87,236,353,376,302,545,686,715,719,1075,21.26,70.27,58.91
121.51242685317993,94,255,380,405,328,590,742,772,777,1085,21.26,70.27,58.91
122.53591322898865,104,279,416,443,362,650,816,849,854,1071,21.26,70.26,58.92
123.55951619148254,112,299,445,474,393,701,878,914,919,1059,21.25,70.25,58.93
124.58318829536438,117,311,463,494,416,737,921,958,963,1061,21.24,70.24,58.96
125.59225678443909,122,321,477,508,438,769,958,995,1001,1038,21.24,70.23,58.96
126.61549067497253,128,336,499,531,466,812,1009,1049,1054,1056,21.23,70.22,58.99
127.63914227485657,135,351,520,554,494,855,1060,1101,1107,1060,21.23,70.21,59.01
128.66279292106628,141,366,542,577,521,898,1111,1154,1160,1062,21.22,70.20,59.03
129.686589717865,152,394,583,621,567,972,1201,1247,1254,1057,21.22,70.19,59.05
130.71027040481567,161,415,613,652,600,1027,1267,1315,1322,1067,21.22,70.19,59.06
131.73412585258484,170,435,642,684,638,1086,1337,1387,1394,1051,21.22,70.19,59.07
132.75813746452332,175,447,658,700,666,1126,1383,1434,1441,1026,21.23,70.22,59.04
133.78267216682434,184,465,684,728,704,1182,1448,1501,1509,1033,21.26,70.26,58.99
134.80649280548096,192,483,710,755,740,1237,1513,1568,1576,1038,21.27,70.28,58.97
135.82977557182312,199,498,731,777,772,1284,1567,1623,1631,1031,21.30,70.33,58.90
136.85304641723633,205,511,748,796,802,1327,1616,1674,1682,1021,21.32,70.37,58.84
137.87661290168762,210,519,760,808,828,1362,1655,1713,1722,1020,21.32,70.38,58.81
138.90047407150269,214,529,773,822,851,1395,1692,1751,1760,1024,21.32,70.38,58.82
139.909512758255,219,537,784,833,874,1425,1726,1786,1795,1017,21.32,70.38,58.82
140.93278050422668,222,541,789,839,892,1447,1749,1809,1818,1011,21.32,70.38,58.80
141.9562041759491,225,547,797,847,908,1469,1773,1834,1843,1010,21.31,70.37,58.83
142.979638338089,230,558,813,864,929,1502,1812,1874,1883,1024,21.31,70.36,58.83
143.98873829841614,234,567,826,878,951,1534,1848,1911,1920,1008,21.31,70.37,58.83
