time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0280299186706543,267,555,776,820,1277,1845,2115,2169,2177,931,23.32,73.98,65.11
2.1478376388549805,513,1032,1429,1508,2518,3572,4059,4156,4170,929,20.90,69.62,63.36
3.171239137649536,587,1185,1641,1732,2879,4088,4648,4760,4776,941,20.90,69.62,63.37
4.1947948932647705,716,1461,2032,2146,3473,4965,5665,5804,5824,1000,20.90,69.61,63.38
5.218367338180542,837,1717,2390,2525,4050,5804,6629,6793,6817,957,20.90,69.62,63.38
6.2422449588775635,941,1930,2686,2837,4555,6526,7453,7637,7664,915,20.90,69.62,63.38
7.265687942504883,1029,2105,2928,3093,4991,7141,8150,8350,8380,916,20.90,69.62,63.39
8.289530992507935,1079,2212,3079,3253,5222,7481,8544,8755,8786,940,20.90,69.62,63.39
9.313274145126343,1121,2303,3209,3390,5408,7761,8870,9091,9123,960,20.90,69.62,63.39
10.336997985839844,1133,2334,3254,3438,5460,7844,8971,9195,9228,967,20.90,69.62,63.39
11.360790729522705,1168,2412,3365,3555,5612,8076,9243,9475,9509,957,20.90,69.62,63.38
12.370121955871582,1182,2448,3418,3612,5667,8168,9356,9592,9627,951,20.90,69.62,63.39
13.393275022506714,1185,2461,3439,3635,5665,8180,9378,9616,9651,938,20.90,69.62,63.39
14.416708946228027,1186,2466,3446,3643,5664,8184,9385,9624,9659,943,20.90,69.62,63.40
15.440161228179932,1191,2486,3479,3678,5668,8209,9425,9666,9702,973,20.90,69.62,63.40
16.449244022369385,1197,2514,3523,3725,5670,8239,9475,9720,9757,975,20.90,69.62,63.40
17.472435474395752,1194,2509,3518,3720,5645,8210,9445,9691,9727,968,20.90,69.62,63.41
18.495802640914917,1197,2514,3523,3725,5667,8236,9473,9719,9755,942,20.90,69.61,63.42
19.519370317459106,1200,2507,3509,3710,5704,8266,9493,9737,9773,911,20.89,69.61,63.43
20.528570652008057,1201,2508,3510,3710,5718,8281,9508,9752,9788,945,20.90,69.61,63.43
21.551663160324097,1204,2515,3519,3720,5731,8301,9531,9775,9811,955,20.90,69.61,63.41
22.574996948242188,1208,2523,3530,3732,5748,8326,9560,9806,9842,949,20.90,69.62,63.42
23.583964347839355,1212,2538,3555,3758,5752,8346,9591,9839,9875,960,20.90,69.62,63.43
24.607253074645996,1216,2554,3581,3787,5750,8361,9619,9869,9905,966,20.90,69.61,63.42
25.630493879318237,1219,2575,3616,3824,5738,8370,9644,9897,9934,986,20.90,69.61,63.43
26.63941740989685,1222,2586,3633,3843,5741,8385,9667,9921,9959,960,20.90,69.61,63.44
27.662578582763672,1225,2606,3667,3880,5724,8390,9688,9946,9984,980,20.89,69.61,63.44
28.68588376045227,1227,2619,3688,3902,5722,8400,9708,9968,10006,962,20.89,69.61,63.45
29.694846391677856,1229,2631,3708,3924,5717,8408,9726,9988,10026,962,20.89,69.61,63.44
30.717969179153442,1232,2640,3723,3939,5718,8419,9743,10006,10045,962,20.90,69.61,63.44
31.741285800933838,1233,2648,3736,3953,5717,8425,9755,10020,10059,969,20.90,69.62,63.44
32.750288248062134,1235,2650,3737,3955,5726,8437,9767,10031,10070,941,20.90,69.62,63.43
33.773598194122314,1236,2658,3751,3969,5723,8441,9778,10044,10083,975,20.90,69.62,63.44
34.796950340270996,1238,2668,3768,3988,5720,8450,9794,10061,10101,980,20.90,69.62,63.44
35.820393800735474,1241,2680,3787,4008,5719,8460,9813,10083,10122,974,20.90,69.62,63.45
36.844197034835815,1244,2691,3804,4027,5722,8476,9837,10108,10147,974,20.90,69.62,63.45
37.86794376373291,1250,2709,3832,4056,5742,8514,9886,10159,10199,961,20.90,69.62,63.45
38.87722682952881,1253,2718,3846,4072,5751,8533,9911,10185,10225,978,20.90,69.62,63.46
39.90079116821289,1256,2727,3859,4085,5759,8549,9933,10208,10248,979,20.90,69.62,63.46
40.92419743537903,1259,2731,3863,4090,5778,8572,9956,10232,10272,959,20.91,69.63,63.45
41.94782900810242,1263,2745,3885,4113,5784,8593,9987,10264,10305,985,20.90,69.63,63.47
42.97144675254822,1267,2753,3896,4125,5804,8621,10018,10296,10337,980,20.90,69.62,63.47
43.9802451133728,1270,2758,3903,4132,5822,8645,10044,10322,10363,966,20.90,69.62,63.49
45.00334572792053,1273,2761,3906,4135,5842,8668,10067,10346,10386,960,20.90,69.62,63.49
46.02666711807251,1276,2765,3911,4140,5864,8694,10094,10373,10413,952,20.90,69.62,63.49
47.035677909851074,1279,2778,3932,4162,5866,8709,10118,10399,10440,977,20.90,69.62,63.49
48.0587944984436,1282,2793,3957,4189,5860,8719,10140,10423,10464,996,20.90,69.63,63.48
49.082375288009644,1285,2800,3966,4199,5873,8739,10164,10447,10489,975,20.91,69.63,63.46
50.10575008392334,1288,2811,3984,4218,5874,8751,10184,10469,10511,992,20.91,69.63,63.47
51.11495089530945,1290,2822,4002,4238,5874,8763,10204,10491,10533,993,20.91,69.64,63.47
52.138131618499756,1293,2841,4034,4273,5861,8769,10226,10516,10559,1005,20.91,69.64,63.47
53.1615252494812,1296,2851,4049,4289,5868,8787,10250,10541,10584,990,20.91,69.65,63.45
54.17041516304016,1301,2860,4062,4302,5887,8815,10283,10575,10618,976,20.92,69.65,63.45
55.19356417655945,1304,2869,4076,4317,5897,8835,10309,10602,10645,982,20.92,69.65,63.45
56.21696662902832,1307,2894,4117,4362,5878,8842,10335,10632,10676,1009,20.92,69.65,63.45
57.24493861198425,1310,2914,4150,4398,5864,8848,10358,10659,10703,1013,20.92,69.65,63.46
58.26574921607971,1313,2935,4186,4436,5847,8853,10380,10684,10728,1024,20.92,69.65,63.45
59.289029359817505,1315,2939,4192,4443,5857,8868,10397,10701,10746,975,20.92,69.65,63.46
60.31235694885254,1317,2934,4181,4430,5885,8890,10412,10715,10760,976,20.92,69.65,63.45
61.33584928512573,1319,2928,4169,4417,5916,8915,10430,10731,10775,963,20.92,69.65,63.46
62.34499740600586,1322,2932,4175,4423,5929,8932,10449,10750,10795,995,20.92,69.65,63.47
63.368245124816895,1324,2934,4175,4423,5951,8955,10470,10771,10816,979,20.92,69.65,63.47
64.3916985988617,1327,2939,4182,4431,5967,8977,10494,10796,10841,969,20.92,69.65,63.47
65.4153573513031,1332,2961,4218,4469,5962,8994,10528,10834,10878,1006,20.92,69.65,63.47
66.43886137008667,1337,2972,4234,4486,5985,9029,10569,10876,10920,986,20.91,69.65,63.48
67.44810009002686,1341,2969,4224,4475,6030,9071,10603,10908,10953,958,20.91,69.64,63.48
68.47138547897339,1345,2978,4238,4489,6044,9094,10631,10937,10982,978,20.91,69.64,63.48
69.49475121498108,1347,2969,4219,4469,6087,9126,10653,10957,11001,950,20.91,69.64,63.49
70.51826739311218,1350,2964,4207,4456,6123,9157,10675,10977,11022,957,20.91,69.63,63.50
71.52737426757812,1353,2969,4213,4462,6140,9179,10699,11001,11046,977,20.91,69.63,63.50
72.55058550834656,1356,2974,4221,4470,6155,9200,10722,11026,11070,974,20.90,69.63,63.51
73.574063539505,1359,2974,4217,4466,6182,9226,10745,11048,11092,969,20.91,69.63,63.51
74.59746670722961,1362,2979,4225,4474,6200,9250,10772,11075,11119,980,20.91,69.63,63.52
75.60664916038513,1367,2988,4236,4486,6223,9281,10807,11110,11155,978,20.91,69.63,63.51
76.6297721862793,1372,3008,4269,4521,6231,9310,10850,11156,11201,984,20.91,69.63,63.52
