time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0289201736450195,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.149536371231079,0,0,0,0,0,0,0,0,0,1630,22.40,72.31,64.79
3.1727986335754395,0,0,0,0,0,0,0,0,0,1630,22.42,72.35,64.74
4.196134567260742,0,0,0,0,0,0,0,0,0,1630,22.43,72.37,64.69
5.219611644744873,0,0,0,0,0,0,0,0,0,1630,22.43,72.38,64.65
6.242995738983154,0,0,0,0,0,0,0,0,0,1630,22.43,72.38,64.61
7.252109527587891,0,0,0,0,0,0,0,0,0,1630,22.44,72.39,64.58
8.275210857391357,0,0,0,0,0,0,0,0,0,1630,22.45,72.40,64.55
9.298523664474487,0,0,0,0,0,0,0,0,0,1630,22.45,72.41,64.53
10.321908235549927,0,0,0,0,0,0,0,0,0,1630,22.45,72.41,64.51
11.330617904663086,0,0,0,0,0,0,0,0,0,1630,22.45,72.41,64.49
12.353736162185669,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.47
13.377158641815186,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.44
14.400684118270874,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.43
15.424402952194214,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.41
16.448319911956787,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.41
17.472006797790527,0,0,0,0,0,0,0,0,0,1630,22.46,72.44,64.41
18.495747089385986,0,0,0,0,0,0,0,0,0,1630,22.47,72.44,64.39
19.519469738006592,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.39
20.543243408203125,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.38
21.568304777145386,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.37
22.59222102165222,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.37
23.61619997024536,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.37
24.64014959335327,0,0,0,0,0,0,0,0,0,1630,22.46,72.43,64.37
25.66411781311035,1,4,7,8,0,3,6,7,7,1630,22.46,72.44,64.36
26.688063383102417,1,4,7,8,0,3,6,7,7,1630,22.46,72.43,64.36
27.712048292160034,1,4,7,8,0,3,6,7,7,1630,22.46,72.42,64.36
28.73595881462097,1,4,7,8,0,3,6,7,7,1630,22.45,72.41,64.36
29.75990653038025,1,4,7,7,0,3,6,6,7,1630,22.45,72.41,64.37
30.78386926651001,1,4,7,7,0,3,6,6,6,1630,22.45,72.40,64.36
31.807844638824463,1,4,6,7,0,2,5,6,6,1630,22.44,72.40,64.37
32.83177161216736,1,4,6,7,0,2,5,6,6,1630,22.44,72.40,64.37
33.85573482513428,1,3,5,6,0,2,5,5,5,1630,22.44,72.39,64.37
34.87969708442688,1,3,5,6,0,2,4,5,5,1630,22.44,72.39,64.37
35.90360426902771,1,3,5,5,0,2,4,5,5,1630,22.44,72.40,64.38
36.92754507064819,1,3,5,5,0,2,4,4,4,1630,22.43,72.38,64.37
37.95148277282715,0,3,4,5,0,2,4,4,4,1630,22.43,72.38,64.38
38.97493553161621,0,2,4,4,0,2,3,4,4,1630,22.44,72.38,64.39
39.998672008514404,0,2,4,4,0,1,3,4,4,1630,22.43,72.38,64.40
41.022027254104614,0,2,3,3,0,2,3,3,4,1630,22.43,72.37,64.40
42.04718208312988,1,2,4,4,0,3,5,5,5,1408,22.43,72.37,64.41
43.0706422328949,2,8,12,13,1,9,15,16,16,1398,22.43,72.37,64.41
44.09426522254944,7,21,33,35,17,39,53,56,56,1196,22.42,72.35,64.42
45.11793637275696,15,45,69,74,46,93,121,127,128,1156,22.42,72.35,64.43
46.1417338848114,19,59,90,96,54,115,152,160,161,1165,22.42,72.35,64.44
47.166812896728516,22,70,108,116,56,129,175,184,185,1210,22.42,72.35,64.44
48.190366983413696,26,79,120,129,72,153,203,213,215,1196,22.41,72.34,64.44
49.21368741989136,35,106,162,173,97,207,274,288,290,1187,22.41,72.34,64.45
50.23743915557861,37,109,166,177,109,222,290,304,306,1169,22.40,72.32,64.47
51.26114797592163,40,114,172,183,128,245,315,329,331,1138,22.40,72.32,64.47
52.28500533103943,53,153,231,247,160,318,413,432,435,1155,22.40,72.33,64.48
53.30892252922058,67,195,295,315,206,407,529,553,556,1131,22.40,72.31,64.50
54.33283257484436,77,222,336,359,237,467,605,632,636,1130,22.39,72.31,64.51
55.35675358772278,82,237,358,382,257,501,648,677,681,1101,22.39,72.30,64.52
56.36608362197876,99,284,429,458,310,603,778,813,818,1125,22.39,72.30,64.54
57.389591693878174,105,299,452,482,329,638,823,860,865,1109,22.39,72.30,64.54
58.41286110877991,107,305,460,491,341,655,843,880,886,1089,22.38,72.29,64.55
59.436646938323975,111,316,476,508,357,683,877,915,921,1097,22.39,72.29,64.57
60.46036458015442,115,324,488,521,372,706,905,944,950,1088,22.38,72.28,64.58
61.46965265274048,121,341,512,547,394,745,953,995,1001,1092,22.38,72.28,64.59
62.49306130409241,127,356,535,571,416,783,1000,1044,1050,1083,22.37,72.27,64.60
63.51657009124756,135,377,567,605,444,833,1063,1109,1115,1093,22.37,72.27,64.61
64.54137945175171,142,396,595,635,468,877,1117,1166,1173,1085,22.36,72.26,64.62
65.56494426727295,149,415,623,665,493,921,1173,1224,1231,1080,22.36,72.26,64.63
66.58853483200073,159,444,667,712,526,984,1254,1308,1316,1109,22.36,72.24,64.65
67.61211562156677,169,472,708,756,559,1046,1332,1390,1398,1104,22.36,72.24,64.66
68.63575863838196,180,501,753,803,594,1111,1416,1477,1486,1103,22.35,72.24,64.67
69.65952610969543,194,541,813,867,640,1198,1527,1593,1602,1107,22.35,72.23,64.68
70.6832914352417,208,581,873,932,685,1284,1638,1709,1719,1107,22.34,72.22,64.70
71.69266128540039,228,634,952,1015,752,1405,1791,1868,1879,1107,22.34,72.22,64.72
72.71585583686829,232,644,967,1031,771,1435,1825,1904,1915,1097,22.34,72.21,64.72
73.73956537246704,235,648,972,1037,787,1455,1847,1926,1937,1075,22.34,72.21,64.74
74.76317477226257,238,658,987,1053,799,1478,1876,1956,1967,1108,22.33,72.20,64.74
75.78707003593445,244,672,1007,1074,819,1512,1918,1999,2011,1086,22.33,72.20,64.76
76.81088519096375,253,696,1043,1112,855,1573,1993,2077,2089,1093,22.33,72.19,64.77
77.8199348449707,261,719,1077,1148,883,1624,2058,2144,2157,1109,22.32,72.18,64.79
78.84336423873901,267,732,1096,1168,905,1659,2100,2188,2201,1096,22.32,72.18,64.80
79.86698842048645,272,743,1111,1185,929,1694,2141,2230,2243,1079,22.32,72.17,64.81
80.89040732383728,278,756,1130,1204,956,1735,2188,2278,2292,1072,22.32,72.17,64.82
81.91417074203491,287,780,1165,1242,989,1793,2260,2353,2366,1090,22.31,72.16,64.83
82.93798828125,296,805,1203,1282,1020,1849,2331,2428,2442,1102,22.31,72.16,64.84
83.96192288398743,311,843,1260,1343,1076,1945,2449,2550,2565,1084,22.30,72.15,64.87
84.98567318916321,320,866,1292,1378,1114,2006,2523,2626,2641,1084,22.31,72.15,64.88
85.99497199058533,331,889,1325,1412,1162,2078,2606,2712,2727,1059,22.30,72.14,64.89
87.0185797214508,339,903,1344,1432,1202,2132,2667,2773,2789,1059,22.29,72.13,64.90
88.04271078109741,351,935,1392,1483,1246,2210,2763,2874,2890,1114,22.30,72.13,64.91
89.06588339805603,360,962,1433,1527,1271,2261,2832,2946,2963,1126,22.29,72.13,64.92
90.08931255340576,365,979,1459,1555,1284,2292,2874,2991,3008,1128,22.29,72.11,64.93
91.09838914871216,379,1023,1525,1626,1325,2379,2988,3110,3128,1140,22.28,72.11,64.95
92.1215467453003,389,1050,1568,1671,1350,2432,3059,3185,3203,1129,22.28,72.11,64.95
93.14608025550842,395,1071,1600,1706,1363,2466,3107,3235,3254,1118,22.28,72.10,64.97
94.16927933692932,403,1095,1635,1743,1392,2520,3176,3306,3325,1098,22.28,72.10,64.98
95.19266271591187,410,1109,1657,1766,1419,2562,3225,3358,3377,1076,22.28,72.10,65.00
96.20167565345764,416,1125,1680,1791,1444,2603,3276,3410,3429,1089,22.27,72.09,65.00
97.22480511665344,422,1143,1706,1818,1465,2642,3325,3461,3481,1082,22.27,72.08,65.02
98.24950933456421,426,1152,1719,1833,1483,2670,3357,3495,3515,1073,22.27,72.08,65.02
99.27261447906494,430,1161,1732,1846,1498,2694,3386,3524,3544,1100,22.26,72.07,65.03
100.29587769508362,434,1167,1740,1854,1520,2722,3416,3555,3575,1092,22.26,72.07,65.04
101.3049967288971,437,1175,1751,1866,1536,2746,3445,3584,3605,1086,22.26,72.07,65.05
102.32829475402832,442,1187,1769,1886,1555,2778,3483,3624,3645,1078,22.25,72.05,65.07
103.35169744491577,450,1209,1803,1922,1575,2821,3541,3685,3706,1112,22.25,72.05,65.08
104.36056399345398,456,1228,1831,1951,1599,2864,3595,3741,3762,1102,22.25,72.05,65.09
105.38375902175903,465,1247,1859,1981,1637,2921,3662,3810,3832,1069,22.25,72.04,65.11
106.40712809562683,475,1273,1896,2020,1678,2989,3744,3895,3917,1083,22.25,72.04,65.12
107.43073225021362,481,1284,1911,2036,1708,3030,3791,3943,3965,1064,22.24,72.03,65.12
108.45598864555359,489,1301,1936,2063,1740,3080,3849,4003,4025,1086,22.24,72.03,65.14
109.47911167144775,494,1311,1950,2077,1769,3119,3893,4048,4070,1060,22.23,72.02,65.15
110.50245833396912,501,1322,1963,2092,1804,3165,3943,4098,4121,1055,22.23,72.01,65.16
111.51154112815857,513,1356,2014,2146,1849,3245,4043,4203,4226,1087,22.23,72.02,65.17
112.53456211090088,534,1419,2110,2248,1911,3372,4210,4378,4402,1115,22.23,72.02,65.18
113.55802154541016,542,1440,2141,2281,1935,3418,4269,4438,4463,1100,22.22,72.00,65.19
114.58168482780457,550,1459,2170,2312,1966,3469,4330,4502,4527,1077,22.22,72.00,65.20
115.60554242134094,555,1473,2190,2334,1989,3506,4376,4549,4575,1062,22.22,71.99,65.22
116.62994384765625,561,1490,2216,2362,2000,3535,4415,4591,4617,1092,22.22,71.99,65.23
117.65407299995422,567,1516,2258,2406,2005,3566,4465,4645,4671,1127,22.21,71.98,65.23
118.67857313156128,572,1528,2274,2424,2027,3600,4505,4686,4712,1091,22.22,71.99,65.25
119.70237326622009,576,1538,2290,2440,2045,3629,4541,4723,4749,1096,22.20,71.97,65.27
120.72628259658813,582,1555,2316,2468,2063,3665,4587,4771,4797,1105,22.21,71.98,65.28
121.75005173683167,587,1575,2347,2501,2068,3690,4626,4813,4840,1114,22.21,71.97,65.28
122.7738904953003,592,1593,2376,2533,2071,3713,4662,4851,4879,1120,22.20,71.97,65.30
123.79779982566833,599,1611,2402,2560,2095,3754,4713,4905,4932,1093,22.20,71.96,65.32
124.82089924812317,606,1630,2431,2591,2126,3805,4775,4969,4997,1074,22.20,71.96,65.32
125.84424924850464,617,1655,2466,2629,2172,3877,4861,5057,5085,1063,22.19,71.95,65.34
126.86786556243896,624,1671,2489,2652,2203,3923,4915,5113,5142,1068,22.19,71.95,65.35
127.87711453437805,630,1681,2503,2667,2236,3967,4963,5162,5191,1072,22.19,71.95,65.36
128.90094590187073,636,1687,2509,2673,2274,4011,5007,5206,5235,1068,22.19,71.94,65.38
129.92417454719543,640,1694,2518,2682,2302,4047,5045,5245,5274,1073,22.19,71.94,65.39
