time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.030432939529419,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.1502513885498047,0,0,0,0,0,0,0,0,0,1630,21.97,71.55,61.09
3.173612594604492,0,0,0,0,0,0,0,0,0,1630,21.97,71.55,61.08
4.197207927703857,2,4,6,7,6,10,13,13,13,675,21.98,71.56,61.09
5.22071385383606,2,4,6,7,6,10,13,13,13,675,21.98,71.56,61.09
6.244329452514648,2,4,6,6,6,10,13,13,13,851,21.98,71.56,61.08
7.267747640609741,2,4,5,6,6,10,12,13,13,874,21.98,71.56,61.08
8.277119159698486,2,4,5,6,6,10,12,13,13,874,21.98,71.56,61.09
9.300251960754395,2,3,4,4,8,11,12,12,12,666,21.98,71.56,61.09
10.323647260665894,1,3,4,4,7,10,12,12,12,721,21.98,71.57,61.09
11.347020864486694,1,3,5,5,7,10,12,12,12,776,21.98,71.57,61.08
12.356225490570068,1,3,5,5,6,10,11,12,12,827,21.98,71.57,61.08
13.379367113113403,1,3,5,5,6,9,11,12,12,827,21.98,71.57,61.09
14.402748584747314,1,3,5,5,6,9,11,11,11,827,21.98,71.57,61.08
15.426159143447876,1,3,4,4,6,9,11,11,11,754,21.98,71.57,61.08
16.43539071083069,1,3,4,4,6,9,10,10,10,754,21.98,71.57,61.08
17.458462476730347,1,3,4,4,5,8,10,10,10,808,21.98,71.57,61.08
18.48175358772278,1,3,4,4,5,8,10,10,10,808,21.98,71.57,61.08
19.490800380706787,1,3,4,5,5,8,9,10,10,877,21.98,71.57,61.08
20.513899087905884,1,3,4,5,4,7,9,9,10,908,21.98,71.57,61.08
21.53722381591797,1,3,5,5,4,7,9,9,9,945,21.98,71.57,61.08
22.546204328536987,1,3,5,5,4,7,9,9,9,972,21.98,71.57,61.08
23.56933355331421,1,3,5,5,4,7,9,9,9,998,21.98,71.57,61.08
24.592755794525146,1,3,5,5,4,7,9,10,10,1024,21.98,71.57,61.08
25.616177797317505,2,6,9,9,6,12,16,16,16,1070,21.98,71.57,61.08
26.62548565864563,6,17,25,27,21,39,49,51,51,1056,21.98,71.57,61.08
27.649213075637817,14,35,52,56,54,90,110,114,115,970,21.98,71.57,61.08
28.673112630844116,19,49,73,78,68,118,147,153,154,1015,21.98,71.57,61.08
29.696718454360962,21,57,85,90,72,131,164,171,172,1057,21.98,71.57,61.08
30.720078468322754,26,70,104,111,94,166,207,215,217,1046,21.98,71.57,61.08
31.74362015724182,30,80,119,127,107,189,237,246,247,1051,21.98,71.57,61.09
32.7672975063324,41,112,167,178,143,258,325,338,340,1057,21.98,71.57,61.09
33.790969133377075,46,126,188,200,157,287,362,377,379,1073,21.98,71.57,61.09
34.814833641052246,53,144,216,230,180,328,415,432,435,1084,21.98,71.57,61.09
35.83851981163025,57,157,235,251,195,357,452,471,473,1083,21.98,71.57,61.09
36.86218786239624,65,180,269,287,221,407,515,537,540,1091,21.98,71.57,61.09
37.8858585357666,68,188,281,300,230,423,537,559,562,1095,21.98,71.57,61.09
38.90959286689758,72,199,298,317,243,447,567,591,595,1095,21.98,71.57,61.09
39.934863328933716,78,215,323,345,261,483,614,640,643,1111,21.98,71.57,61.10
40.9586615562439,82,228,343,366,273,508,647,675,679,1137,21.98,71.57,61.10
41.98241305351257,87,243,366,390,289,540,688,717,722,1118,21.98,71.57,61.10
43.00581455230713,93,260,391,417,308,576,734,766,771,1112,21.98,71.57,61.10
44.02919912338257,105,292,439,468,343,645,822,858,863,1117,21.98,71.57,61.10
45.05390381813049,114,319,479,511,374,703,897,936,941,1114,21.98,71.57,61.09
46.077486515045166,124,346,519,554,409,765,975,1017,1023,1090,21.98,71.57,61.11
47.10101342201233,129,359,540,576,428,799,1017,1061,1067,1087,21.98,71.57,61.11
48.124635457992554,131,363,545,582,438,812,1033,1077,1083,1077,21.98,71.57,61.12
49.14794421195984,137,377,565,603,461,849,1077,1122,1129,1066,21.99,71.57,61.12
50.171432971954346,141,386,578,616,476,874,1107,1153,1160,1074,21.98,71.57,61.13
51.18063807487488,144,395,591,630,492,899,1137,1185,1191,1073,21.98,71.57,61.11
52.203715801239014,154,421,630,672,528,962,1215,1266,1273,1087,21.98,71.57,61.12
53.22709631919861,168,458,686,732,571,1043,1319,1374,1382,1117,21.98,71.57,61.13
54.2506468296051,187,513,768,819,637,1166,1475,1537,1546,1102,21.98,71.57,61.13
55.25986385345459,200,549,822,876,680,1246,1576,1642,1652,1108,21.98,71.57,61.13
56.28300189971924,209,572,856,913,713,1303,1647,1716,1726,1092,21.98,71.57,61.14
57.306352376937866,218,596,891,950,747,1361,1719,1790,1800,1089,21.98,71.57,61.13
58.31526064872742,224,611,914,974,769,1399,1766,1839,1849,1089,21.98,71.57,61.14
59.338443756103516,232,631,943,1005,795,1445,1823,1899,1910,1097,21.98,71.57,61.15
60.361793994903564,236,642,960,1023,812,1474,1859,1936,1947,1102,21.98,71.57,61.15
61.37077474594116,239,652,975,1039,819,1491,1882,1960,1971,1124,21.98,71.57,61.15
62.39384055137634,241,658,983,1048,827,1504,1899,1978,1989,1106,21.99,71.57,61.15
63.4172260761261,243,661,987,1053,837,1518,1914,1993,2005,1075,21.99,71.58,61.15
64.42609524726868,247,670,1000,1066,856,1546,1946,2026,2038,1079,21.99,71.57,61.16
65.44924855232239,254,690,1030,1098,878,1588,2001,2084,2096,1109,21.99,71.58,61.16
66.47262239456177,262,713,1066,1137,904,1639,2067,2152,2164,1114,21.99,71.58,61.16
67.48152422904968,272,741,1108,1181,931,1695,2140,2228,2241,1124,21.98,71.57,61.16
68.50471591949463,286,781,1169,1246,975,1780,2250,2344,2357,1112,21.98,71.57,61.17
69.5280225276947,304,831,1244,1327,1033,1890,2390,2490,2505,1111,21.98,71.57,61.18
70.55151414871216,320,881,1319,1407,1084,1991,2523,2629,2644,1124,21.99,71.57,61.18
71.560711145401,328,902,1351,1441,1109,2039,2583,2692,2707,1109,21.99,71.57,61.18
72.58388113975525,332,910,1362,1452,1125,2062,2610,2720,2736,1102,21.99,71.58,61.18
73.6071846485138,334,917,1373,1465,1135,2080,2633,2743,2759,1093,21.99,71.57,61.18
74.61612486839294,336,919,1375,1466,1148,2095,2647,2758,2774,1069,21.99,71.58,61.18
75.63929224014282,339,922,1379,1470,1166,2116,2669,2780,2796,1047,21.99,71.58,61.19
76.66259551048279,342,930,1390,1482,1176,2135,2692,2804,2820,1073,21.99,71.58,61.19
77.67154836654663,345,938,1401,1494,1187,2153,2715,2828,2844,1079,21.99,71.57,61.20
78.69465160369873,355,962,1438,1533,1225,2217,2793,2908,2925,1076,21.99,71.57,61.20
79.71819472312927,359,976,1458,1555,1235,2241,2825,2942,2959,1099,21.99,71.57,61.21
80.7416365146637,364,987,1474,1572,1256,2273,2864,2982,2999,1074,21.99,71.57,61.21
81.75076127052307,368,999,1493,1592,1272,2302,2901,3020,3037,1095,21.99,71.58,61.21
82.77392888069153,376,1021,1526,1627,1293,2345,2957,3079,3097,1107,21.99,71.57,61.21
83.79728555679321,385,1044,1560,1663,1330,2406,3031,3156,3174,1075,21.98,71.57,61.22
84.80580735206604,392,1062,1586,1691,1356,2450,3085,3212,3230,1095,21.98,71.57,61.22
85.8289737701416,398,1079,1612,1719,1372,2484,3130,3259,3277,1107,21.98,71.57,61.21
86.85258960723877,403,1091,1630,1737,1395,2520,3172,3302,3321,1088,21.98,71.57,61.22
87.86160707473755,408,1107,1654,1764,1410,2551,3214,3346,3366,1113,21.98,71.57,61.22
88.88468599319458,415,1125,1680,1791,1434,2593,3266,3400,3420,1101,21.98,71.57,61.24
89.90818405151367,421,1146,1713,1827,1450,2631,3318,3456,3475,1121,21.98,71.57,61.25
90.91712999343872,429,1166,1742,1857,1478,2679,3378,3517,3537,1096,21.98,71.57,61.24
91.94024610519409,437,1187,1773,1891,1509,2732,3442,3584,3605,1102,21.98,71.57,61.25
92.96358704566956,457,1237,1848,1970,1581,2856,3596,3744,3765,1088,21.98,71.57,61.25
93.98709654808044,477,1289,1924,2051,1657,2985,3754,3908,3930,1089,21.98,71.57,61.25
94.99622964859009,489,1325,1980,2111,1689,3055,3848,4006,4029,1134,21.98,71.57,61.26
96.0193407535553,496,1346,2011,2144,1709,3096,3902,4063,4087,1121,21.98,71.57,61.25
97.04270434379578,500,1354,2022,2156,1735,3130,3940,4101,4125,1081,21.98,71.56,61.26
98.05165338516235,506,1363,2033,2167,1765,3169,3982,4144,4167,1069,21.98,71.56,61.27
99.07475233078003,509,1373,2049,2184,1779,3193,4012,4175,4199,1084,21.98,71.56,61.27
100.09818720817566,512,1381,2060,2196,1787,3210,4033,4197,4221,1097,21.98,71.56,61.28
101.12167286872864,515,1387,2069,2205,1803,3232,4059,4224,4248,1079,21.98,71.57,61.28
102.13092374801636,520,1401,2090,2228,1817,3261,4096,4262,4287,1094,21.98,71.56,61.28
103.15401911735535,525,1411,2104,2243,1837,3291,4131,4298,4323,1074,21.98,71.57,61.29
104.17739653587341,529,1424,2124,2264,1849,3316,4164,4334,4358,1093,21.98,71.56,61.29
105.20088005065918,533,1439,2148,2290,1851,3334,4193,4365,4390,1113,21.98,71.56,61.30
106.21023106575012,538,1458,2178,2322,1860,3363,4235,4409,4435,1102,21.98,71.56,61.30
107.233558177948,543,1474,2202,2347,1875,3394,4276,4452,4478,1091,21.98,71.56,61.31
108.25787329673767,550,1491,2227,2374,1900,3436,4328,4506,4532,1084,21.98,71.56,61.31
109.28113389015198,557,1509,2254,2403,1926,3481,4383,4564,4590,1084,21.98,71.56,61.31
110.30448150634766,562,1521,2272,2422,1949,3517,4426,4608,4634,1083,21.98,71.56,61.30
111.32795429229736,568,1536,2292,2444,1974,3556,4473,4656,4683,1095,21.98,71.56,61.32
112.33712315559387,574,1547,2307,2459,2004,3597,4519,4703,4730,1079,21.98,71.56,61.31
113.36039423942566,578,1556,2320,2473,2025,3628,4554,4740,4766,1089,21.98,71.56,61.32
