time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
0.02037978172302246,151,336,479,507,678,1022,1196,1231,1236,1037,23.32,73.98,65.11
1.1402721405029297,156,350,501,531,687,1046,1230,1266,1272,1030,21.48,70.67,58.72
2.162806987762451,161,367,526,557,702,1077,1271,1310,1316,1032,21.48,70.66,58.73
3.1718480587005615,165,380,547,580,709,1099,1302,1343,1349,1043,21.47,70.65,58.75
4.194984436035156,170,396,572,607,719,1126,1340,1382,1388,1051,21.47,70.65,58.75
5.2182769775390625,181,428,620,658,756,1196,1429,1475,1482,1058,21.47,70.64,58.76
6.242704391479492,193,463,672,714,797,1273,1527,1578,1585,1065,21.47,70.64,58.76
7.266688823699951,201,485,706,750,820,1318,1587,1640,1648,1068,21.47,70.64,58.78
8.289963006973267,205,501,730,776,825,1339,1619,1674,1682,1089,21.46,70.63,58.78
9.313700199127197,211,521,762,811,837,1373,1666,1724,1733,1106,21.46,70.63,58.80
10.337319374084473,219,545,798,849,857,1416,1725,1786,1795,1114,21.46,70.62,58.81
11.362157821655273,223,560,823,875,861,1437,1756,1820,1829,1122,21.46,70.62,58.81
12.385605573654175,226,574,846,900,862,1453,1782,1848,1858,1119,21.45,70.62,58.83
13.408832788467407,230,590,871,927,869,1476,1817,1885,1894,1111,21.45,70.62,58.83
14.432386636734009,235,606,895,953,877,1500,1851,1921,1931,1108,21.45,70.61,58.85
15.45605731010437,243,628,929,989,904,1551,1916,1989,1999,1080,21.45,70.61,58.86
16.47983980178833,249,645,954,1016,920,1584,1959,2034,2045,1090,21.45,70.61,58.85
17.48893666267395,259,674,998,1062,953,1647,2040,2118,2130,1082,21.45,70.61,58.87
18.512216567993164,269,702,1039,1107,991,1714,2123,2205,2217,1065,21.45,70.60,58.88
19.535378456115723,277,721,1067,1136,1021,1763,2183,2267,2279,1052,21.44,70.60,58.89
20.55911350250244,283,740,1096,1168,1037,1799,2232,2318,2330,1087,21.44,70.60,58.92
21.568145513534546,287,752,1115,1187,1050,1824,2264,2352,2364,1074,21.44,70.59,58.90
22.59126591682434,290,757,1122,1195,1066,1845,2288,2376,2389,1033,21.44,70.59,58.91
23.614647388458252,297,773,1145,1220,1092,1888,2339,2429,2442,1060,21.44,70.59,58.92
24.62352156639099,306,795,1177,1254,1127,1945,2409,2501,2515,1065,21.44,70.58,58.93
25.646782159805298,312,812,1201,1279,1150,1986,2459,2553,2567,1076,21.43,70.58,58.95
26.670080184936523,321,839,1243,1324,1174,2037,2528,2626,2640,1100,21.43,70.58,58.95
27.678934574127197,330,866,1285,1368,1202,2093,2601,2702,2717,1100,21.43,70.58,58.96
