time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0256266593933105,16,48,73,78,48,97,127,133,134,1120,23.32,73.98,65.11
2.145484685897827,50,178,279,299,82,266,388,413,416,1262,22.36,72.25,56.75
3.1689019203186035,71,243,379,406,136,388,552,585,590,1260,22.36,72.24,56.75
4.192548036575317,94,310,480,514,212,533,738,780,785,1216,22.35,72.23,56.74
5.215822219848633,123,401,621,665,279,695,960,1013,1021,1187,22.35,72.23,56.75
6.224836349487305,154,503,778,833,357,878,1210,1276,1286,1185,22.35,72.23,56.74
7.248067617416382,172,555,858,918,407,982,1347,1420,1431,1152,22.35,72.23,56.74
8.271347284317017,182,583,900,963,443,1046,1428,1505,1516,1135,22.35,72.24,56.74
9.280379056930542,204,648,998,1068,506,1177,1599,1684,1696,1133,22.35,72.24,56.74
10.303545713424683,216,684,1052,1126,545,1253,1697,1786,1799,1154,22.36,72.24,56.73
11.32694935798645,228,717,1102,1179,585,1326,1791,1884,1897,1157,22.36,72.25,56.73
12.335892915725708,238,741,1137,1216,625,1392,1870,1965,1979,1131,22.36,72.26,56.72
13.359118223190308,248,764,1169,1250,668,1457,1947,2045,2059,1119,22.37,72.26,56.71
14.38259506225586,256,783,1197,1279,703,1512,2012,2112,2127,1132,22.37,72.26,56.71
15.405982494354248,260,789,1206,1289,719,1535,2038,2139,2154,1152,22.37,72.27,56.71
16.430541515350342,262,792,1210,1293,732,1550,2055,2156,2170,1150,22.37,72.27,56.71
17.45460271835327,265,799,1219,1303,744,1570,2078,2179,2194,1147,22.37,72.27,56.70
18.478976726531982,268,810,1236,1321,757,1593,2108,2211,2226,1155,22.37,72.27,56.71
19.502152919769287,272,820,1251,1337,771,1618,2139,2243,2258,1158,22.37,72.27,56.70
20.526723861694336,275,826,1259,1346,781,1635,2158,2263,2278,1159,22.37,72.27,56.71
21.55049729347229,276,828,1261,1347,793,1648,2172,2276,2292,1147,22.37,72.27,56.69
22.574352502822876,278,828,1260,1347,808,1663,2185,2290,2305,1130,22.38,72.28,56.68
23.59833550453186,280,826,1255,1341,826,1679,2198,2302,2317,1102,22.38,72.28,56.69
24.621421575546265,282,826,1253,1339,847,1699,2216,2319,2334,1108,22.38,72.28,56.68
25.644766330718994,285,827,1253,1338,873,1727,2242,2345,2360,1087,22.37,72.27,56.70
26.653712511062622,288,828,1252,1337,896,1751,2264,2367,2382,1088,22.37,72.27,56.71
27.676544666290283,292,830,1253,1337,925,1781,2293,2395,2410,1075,22.37,72.26,56.72
28.685421466827393,297,838,1262,1347,959,1824,2337,2440,2454,1063,22.36,72.25,56.74
29.70852541923523,309,867,1304,1392,1010,1904,2433,2539,2555,1075,22.36,72.25,56.75
30.731852054595947,318,887,1332,1421,1053,1967,2506,2614,2629,1060,22.36,72.25,56.75
31.740954399108887,326,903,1355,1446,1084,2015,2563,2672,2688,1087,22.36,72.25,56.75
32.76419544219971,331,917,1376,1467,1108,2053,2609,2720,2736,1098,22.36,72.25,56.75
33.7876136302948,337,932,1397,1490,1131,2092,2655,2768,2784,1095,22.36,72.26,56.73
34.79646849632263,344,947,1419,1513,1159,2135,2707,2821,2838,1092,22.37,72.26,56.74
35.819597244262695,352,967,1448,1544,1190,2187,2770,2886,2903,1085,22.37,72.27,56.73
36.84297513961792,366,1007,1509,1609,1235,2272,2880,3002,3019,1106,22.38,72.28,56.73
37.852041482925415,380,1046,1568,1673,1278,2357,2989,3115,3133,1115,22.38,72.28,56.72
38.87516117095947,398,1108,1664,1776,1313,2455,3129,3264,3283,1148,22.38,72.29,56.72
39.89847469329834,401,1119,1681,1793,1325,2478,3159,3295,3314,1113,22.38,72.29,56.71
40.907567739486694,403,1122,1685,1798,1334,2491,3173,3309,3329,1099,22.38,72.29,56.70
41.930835485458374,406,1131,1698,1811,1346,2511,3198,3336,3356,1111,22.38,72.29,56.71
42.95413327217102,409,1133,1700,1814,1364,2533,3219,3357,3377,1083,22.39,72.29,56.70
43.96310091018677,411,1134,1700,1813,1382,2551,3237,3374,3393,1085,22.38,72.29,56.69
44.98631191253662,413,1134,1698,1811,1396,2565,3248,3385,3405,1094,22.38,72.29,56.70
46.0096595287323,414,1136,1701,1814,1403,2573,3258,3395,3415,1117,22.38,72.28,56.72
47.018630266189575,416,1142,1710,1823,1409,2585,3273,3411,3431,1142,22.38,72.28,56.72
48.04160714149475,419,1148,1719,1833,1426,2610,3301,3439,3459,1111,22.37,72.27,56.74
49.06488013267517,424,1158,1732,1847,1446,2640,3336,3475,3495,1103,22.37,72.26,56.75
50.07413983345032,427,1169,1749,1865,1455,2660,3363,3503,3524,1106,22.37,72.26,56.76
51.097567319869995,431,1180,1767,1884,1469,2685,3395,3537,3558,1091,22.37,72.26,56.76
52.12078332901001,436,1191,1782,1900,1488,2715,3431,3574,3595,1089,22.36,72.25,56.77
53.129700660705566,442,1208,1808,1928,1508,2753,3479,3625,3646,1097,22.36,72.25,56.77
54.15286874771118,446,1217,1819,1940,1530,2784,3514,3660,3681,1069,22.36,72.25,56.78
55.176281452178955,452,1226,1832,1953,1565,2829,3562,3709,3730,1051,22.36,72.25,56.79
56.1849946975708,458,1240,1852,1975,1587,2865,3607,3755,3776,1084,22.36,72.24,56.79
57.20815944671631,467,1264,1888,2013,1617,2920,3676,3827,3849,1094,22.36,72.24,56.80
58.231698989868164,488,1323,1975,2106,1689,3052,3843,4001,4024,1109,22.35,72.24,56.81
59.24076700210571,508,1376,2056,2192,1757,3176,3999,4163,4187,1102,22.35,72.23,56.82
60.26398968696594,522,1416,2115,2255,1803,3262,4109,4278,4303,1114,22.35,72.23,56.82
61.28754281997681,531,1445,2159,2302,1827,3315,4181,4354,4379,1127,22.35,72.23,56.83
62.31107950210571,539,1463,2185,2330,1860,3367,4243,4418,4443,1081,22.35,72.23,56.83
63.32025337219238,544,1476,2206,2351,1879,3400,4284,4460,4486,1085,22.35,72.23,56.84
64.34303951263428,550,1496,2235,2383,1895,3436,4332,4511,4537,1104,22.35,72.23,56.85
65.36670589447021,556,1514,2263,2413,1908,3467,4375,4557,4583,1109,22.35,72.23,56.85
66.39027333259583,559,1527,2285,2436,1911,3485,4403,4586,4613,1119,22.35,72.23,56.85
67.39958667755127,562,1535,2296,2448,1919,3501,4423,4608,4634,1103,22.35,72.23,56.86
68.42285013198853,564,1537,2299,2451,1931,3516,4438,4623,4650,1092,22.34,72.22,56.87
69.44625091552734,565,1538,2298,2450,1944,3528,4450,4634,4661,1099,22.34,72.21,56.87
70.46978616714478,567,1536,2294,2446,1960,3543,4461,4645,4672,1085,22.33,72.20,56.89
71.47897100448608,569,1539,2297,2449,1976,3561,4480,4664,4690,1089,22.33,72.20,56.90
72.50210928916931,574,1553,2319,2472,1992,3592,4520,4706,4733,1091,22.33,72.19,56.91
73.52546215057373,579,1565,2337,2491,2009,3621,4556,4743,4770,1093,22.33,72.19,56.92
74.53451943397522,584,1577,2354,2509,2036,3661,4602,4790,4818,1072,22.33,72.19,56.92
75.55800533294678,590,1593,2378,2534,2056,3697,4648,4838,4865,1106,22.33,72.20,56.91
76.5816490650177,595,1603,2392,2549,2081,3733,4688,4879,4907,1083,22.33,72.20,56.92
77.60533928871155,599,1621,2420,2580,2080,3750,4719,4912,4940,1128,22.33,72.19,56.93
78.62893056869507,603,1643,2456,2619,2067,3760,4746,4943,4971,1151,22.33,72.19,56.93
79.65245938301086,613,1679,2512,2679,2086,3816,4826,5028,5057,1135,22.33,72.19,56.92
80.66158843040466,625,1714,2567,2738,2116,3883,4916,5123,5153,1112,22.33,72.20,56.92
81.68478083610535,631,1735,2599,2772,2132,3921,4967,5177,5207,1104,22.33,72.20,56.93
82.70838689804077,641,1755,2627,2801,2176,3985,5042,5253,5284,1085,22.34,72.21,56.92
83.7318503856659,645,1763,2637,2812,2204,4021,5080,5292,5322,1085,22.34,72.22,56.92
84.74095630645752,650,1766,2639,2813,2240,4059,5117,5328,5359,1057,22.35,72.22,56.91
85.7641065120697,654,1773,2649,2824,2265,4092,5153,5365,5396,1066,22.35,72.22,56.92
86.78755497932434,660,1784,2664,2839,2289,4127,5193,5406,5437,1082,22.34,72.21,56.92
87.79645991325378,664,1801,2691,2869,2297,4153,5231,5446,5477,1112,22.33,72.20,56.95
88.81960201263428,670,1823,2724,2905,2304,4182,5274,5493,5524,1145,22.33,72.19,56.94
89.84293913841248,674,1842,2756,2939,2299,4198,5305,5526,5559,1143,22.32,72.18,56.97
90.8520336151123,678,1857,2780,2965,2307,4221,5339,5562,5594,1116,22.32,72.18,56.99
91.87532258033752,682,1862,2786,2970,2328,4247,5366,5590,5622,1082,22.31,72.17,57.00
92.89863729476929,686,1876,2808,2994,2335,4269,5397,5623,5656,1115,22.31,72.17,57.00
93.92212867736816,689,1879,2810,2996,2360,4296,5424,5649,5682,1073,22.31,72.16,57.02
94.93139815330505,691,1881,2813,2999,2374,4313,5441,5666,5699,1093,22.31,72.17,57.00
95.95462322235107,693,1883,2814,3000,2388,4329,5457,5682,5715,1077,22.31,72.17,57.01
96.9781141281128,697,1892,2827,3015,2401,4350,5484,5710,5743,1090,22.31,72.17,57.01
98.00164914131165,700,1899,2837,3025,2419,4376,5513,5740,5773,1098,22.32,72.17,57.02
99.01089763641357,707,1917,2864,3053,2447,4423,5569,5799,5832,1107,22.32,72.17,57.02
100.03401494026184,713,1933,2887,3078,2469,4461,5617,5848,5881,1111,22.32,72.17,57.02
101.05737781524658,717,1939,2894,3085,2492,4490,5647,5879,5912,1088,22.32,72.18,57.02
102.08096361160278,721,1950,2912,3104,2499,4508,5673,5906,5940,1110,22.32,72.18,57.03
103.09021186828613,724,1957,2922,3115,2512,4528,5697,5931,5964,1105,22.32,72.18,57.02
104.11340951919556,726,1958,2921,3114,2533,4550,5717,5951,5984,1083,22.32,72.17,57.03
105.1367712020874,728,1959,2921,3113,2549,4567,5733,5966,6000,1080,22.32,72.17,57.03
106.16048169136047,730,1962,2925,3118,2558,4579,5746,5980,6014,1089,22.31,72.16,57.05
107.169673204422,731,1960,2920,3112,2575,4593,5757,5990,6024,1073,22.31,72.16,57.07
108.19279789924622,733,1957,2914,3105,2594,4610,5770,6002,6035,1075,22.30,72.15,57.08
109.21612453460693,734,1962,2921,3113,2599,4620,5783,6015,6049,1086,22.30,72.14,57.09
110.2398087978363,736,1978,2948,3142,2583,4620,5796,6031,6065,1114,22.30,72.14,57.10
111.24893975257874,738,1988,2966,3161,2582,4631,5815,6052,6086,1099,22.30,72.14,57.10
112.27212333679199,741,1999,2982,3179,2582,4641,5833,6071,6105,1103,22.30,72.14,57.11
113.29547929763794,744,2012,3003,3202,2581,4654,5855,6095,6130,1110,22.30,72.14,57.11
114.31913423538208,749,2031,3033,3234,2592,4685,5900,6142,6178,1100,22.30,72.14,57.11
115.32838296890259,754,2049,3063,3265,2596,4708,5936,6181,6217,1112,22.30,72.15,57.11
116.35158324241638,758,2063,3084,3288,2607,4733,5969,6216,6252,1099,22.31,72.15,57.10
117.37493944168091,762,2067,3088,3292,2633,4762,5999,6246,6282,1086,22.31,72.15,57.10
