time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
0.027736186981201172,53,69,78,80,344,412,425,428,428,758,23.32,73.98,65.11
1.1466302871704102,60,78,90,92,381,459,475,478,478,773,21.37,70.47,60.97
2.155360698699951,67,90,105,108,424,514,534,538,539,804,21.36,70.45,60.96
3.178765058517456,74,102,122,126,464,566,591,596,597,840,21.35,70.43,60.96
4.202985763549805,77,110,133,137,475,585,615,620,621,862,21.35,70.43,60.97
5.226439476013184,79,115,141,146,478,594,627,633,634,866,21.35,70.42,60.97
6.250668048858643,83,126,156,162,499,626,664,671,673,897,21.34,70.42,60.97
7.274040937423706,96,153,195,203,557,712,764,775,776,922,21.34,70.42,60.98
8.297313451766968,106,176,227,237,603,781,845,858,860,958,21.34,70.42,60.98
9.320726871490479,134,230,301,315,741,974,1063,1081,1083,985,21.34,70.42,60.99
10.329817533493042,146,261,347,364,789,1054,1161,1182,1185,1004,21.34,70.42,60.99
11.353774785995483,149,276,371,390,787,1068,1185,1209,1212,1019,21.34,70.42,61.00
12.377146482467651,152,291,396,417,783,1079,1208,1234,1238,1039,21.34,70.42,61.01
13.40031123161316,158,311,428,451,790,1107,1250,1278,1283,1048,21.34,70.42,61.01
14.424186944961548,166,337,468,494,807,1151,1311,1343,1348,1063,21.34,70.41,61.01
15.447870254516602,171,359,502,531,813,1180,1356,1391,1396,1076,21.34,70.42,61.02
16.47269630432129,177,379,534,566,818,1206,1396,1434,1440,1075,21.34,70.42,61.01
17.49605965614319,189,414,587,622,857,1281,1493,1535,1541,1071,21.34,70.42,61.02
18.519359827041626,199,445,634,672,885,1341,1572,1618,1625,1077,21.34,70.41,61.02
19.54270911216736,205,468,671,712,892,1372,1619,1669,1676,1104,21.34,70.41,61.03
20.55194401741028,208,486,701,744,885,1383,1645,1697,1704,1115,21.34,70.41,61.03
21.575515508651733,212,504,731,776,883,1401,1676,1731,1739,1108,21.34,70.42,61.03
22.59896731376648,216,518,752,799,886,1418,1703,1760,1768,1083,21.34,70.42,61.04
23.62244701385498,222,537,782,832,898,1450,1748,1808,1816,1077,21.34,70.41,61.04
24.646138429641724,228,558,815,866,911,1484,1797,1859,1868,1086,21.34,70.41,61.04
25.66955542564392,232,575,842,896,916,1508,1832,1897,1906,1105,21.34,70.41,61.04
26.67872381210327,237,591,867,922,927,1535,1869,1936,1946,1088,21.34,70.41,61.06
