time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.025294542312622,2,9,15,16,0,6,13,14,14,1630,23.32,73.98,65.11
2.1451659202575684,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
3.1685636043548584,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
4.191768169403076,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
5.215190649032593,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
6.224256753921509,0,0,0,0,0,0,0,0,0,1630,21.22,70.19,62.23
7.247514486312866,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
8.270640850067139,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
9.279640674591064,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
10.3029944896698,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
11.326497793197632,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
12.349852561950684,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
13.373444318771362,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
14.398622989654541,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
15.421799898147583,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
16.445086002349854,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
17.454177618026733,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
18.47725796699524,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
19.501591205596924,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
20.525091648101807,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
21.54852867126465,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
22.5721697807312,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
23.595537424087524,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.24
24.61921262741089,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.22
25.628387928009033,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
26.651514291763306,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
27.67500138282776,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
28.698400259017944,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
29.723586320877075,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.22
30.746761083602905,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
31.770061016082764,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
32.778956174850464,0,0,0,0,0,0,0,0,0,1630,21.22,70.20,62.23
