time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0208396911621094,67,205,314,336,185,397,528,555,558,1149,23.32,73.98,65.11
2.1404001712799072,98,240,349,371,398,644,777,804,808,987,20.81,69.45,63.71
3.163533926010132,118,301,445,473,443,753,927,961,966,1035,20.81,69.45,63.71
4.186880111694336,143,366,540,575,538,914,1126,1168,1174,1045,20.81,69.45,63.71
5.19614577293396,170,436,644,686,636,1084,1337,1387,1394,1073,20.81,69.45,63.71
6.219277858734131,187,484,715,762,697,1195,1476,1532,1540,1088,20.81,69.45,63.71
7.242591857910156,201,520,768,818,744,1279,1581,1641,1650,1084,20.81,69.45,63.71
8.251574516296387,208,542,802,854,767,1325,1640,1703,1713,1106,20.81,69.45,63.72
9.274810552597046,213,555,822,876,781,1353,1677,1742,1751,1091,20.81,69.45,63.71
10.298226594924927,215,563,834,888,787,1367,1696,1761,1771,1085,20.81,69.45,63.71
11.307056188583374,220,575,853,908,802,1394,1731,1798,1808,1083,20.80,69.45,63.71
12.330233812332153,221,580,860,916,809,1406,1745,1813,1823,1072,20.80,69.45,63.72
13.353672742843628,223,583,865,921,813,1414,1755,1823,1833,1086,20.80,69.45,63.71
14.378700017929077,224,585,866,922,822,1424,1765,1833,1843,1047,20.80,69.45,63.72
15.401866674423218,225,584,865,921,828,1429,1770,1838,1848,1055,20.80,69.45,63.71
16.425166606903076,225,584,865,921,832,1433,1773,1841,1851,1066,20.80,69.45,63.73
17.448683738708496,225,583,862,918,839,1438,1777,1845,1854,1045,20.80,69.45,63.72
18.457862377166748,226,582,861,916,841,1440,1778,1845,1855,1069,20.80,69.45,63.73
19.480957984924316,226,582,860,916,842,1441,1779,1846,1856,1063,20.80,69.45,63.73
20.50422167778015,226,582,860,916,844,1443,1781,1848,1858,1059,20.80,69.45,63.72
21.51339864730835,226,583,862,917,844,1444,1782,1850,1860,1066,20.80,69.44,63.72
22.5365731716156,226,585,865,921,842,1444,1784,1852,1861,1082,20.80,69.44,63.73
23.55989718437195,227,589,871,928,837,1443,1786,1854,1864,1114,20.80,69.44,63.73
24.568919897079468,227,593,879,936,831,1442,1788,1857,1867,1121,20.80,69.44,63.73
25.591991901397705,227,597,885,943,826,1440,1790,1860,1870,1125,20.80,69.44,63.73
26.615350008010864,227,600,890,949,821,1439,1791,1862,1872,1107,20.80,69.44,63.73
27.639012336730957,228,603,897,956,815,1436,1792,1863,1874,1127,20.80,69.44,63.73
28.64818572998047,228,609,907,967,804,1432,1793,1865,1876,1157,20.80,69.44,63.73
29.671483516693115,228,613,914,974,797,1429,1794,1866,1877,1141,20.80,69.44,63.73
30.695014476776123,228,614,916,976,794,1426,1793,1866,1876,1114,20.80,69.43,63.72
31.718384265899658,228,615,918,978,794,1427,1794,1867,1878,1099,20.80,69.43,63.73
32.74215221405029,228,616,919,980,796,1430,1798,1871,1882,1097,20.79,69.43,63.73
33.76597547531128,229,617,921,982,797,1433,1802,1875,1886,1090,20.79,69.43,63.74
34.78980350494385,229,621,927,989,795,1435,1806,1880,1891,1121,20.79,69.43,63.74
35.8135826587677,230,626,935,997,793,1437,1812,1887,1898,1126,20.79,69.43,63.74
36.83734130859375,231,629,941,1003,792,1441,1818,1894,1905,1122,20.79,69.43,63.74
37.8613498210907,232,634,949,1011,791,1444,1825,1901,1912,1134,20.79,69.43,63.74
38.88511276245117,233,638,955,1018,793,1451,1835,1912,1923,1118,20.80,69.43,63.74
39.89427661895752,234,639,957,1020,795,1454,1838,1915,1926,1116,20.80,69.43,63.74
40.91753888130188,234,642,961,1025,796,1457,1844,1921,1933,1135,20.79,69.43,63.73
41.94079875946045,235,644,965,1029,799,1463,1851,1928,1940,1119,20.79,69.43,63.74
42.964564085006714,236,647,970,1034,800,1467,1858,1936,1947,1125,20.79,69.43,63.74
43.988258838653564,237,649,972,1037,805,1474,1865,1943,1955,1108,20.79,69.43,63.75
45.01197290420532,238,651,974,1039,811,1481,1873,1951,1963,1095,20.79,69.43,63.75
46.03578782081604,239,654,979,1044,813,1487,1881,1960,1971,1115,20.79,69.43,63.75
47.06103754043579,240,657,984,1049,815,1492,1888,1967,1979,1120,20.79,69.43,63.75
48.084627866744995,241,658,985,1050,821,1500,1895,1974,1986,1097,20.79,69.43,63.75
49.108256578445435,242,660,988,1053,825,1505,1902,1981,1993,1099,20.79,69.43,63.75
50.13154864311218,242,661,988,1054,830,1511,1908,1987,1999,1091,20.79,69.43,63.75
51.1552369594574,243,663,992,1058,832,1516,1914,1993,2005,1117,20.79,69.42,63.76
52.17899560928345,244,665,994,1060,835,1520,1919,1999,2011,1101,20.79,69.42,63.76
53.20277142524719,245,666,996,1062,839,1526,1925,2005,2017,1109,20.79,69.42,63.76
54.22646903991699,245,667,997,1063,844,1531,1931,2011,2022,1102,20.79,69.42,63.76
55.25022912025452,246,668,998,1064,847,1535,1935,2015,2027,1103,20.79,69.42,63.76
56.259485483169556,247,671,1004,1070,847,1538,1941,2021,2033,1120,20.79,69.42,63.76
57.28291845321655,247,674,1008,1075,848,1543,1947,2028,2040,1110,20.79,69.42,63.76
58.30621790885925,248,676,1011,1078,852,1549,1955,2036,2048,1099,20.79,69.42,63.77
59.329691886901855,249,678,1013,1080,859,1558,1963,2045,2056,1086,20.79,69.43,63.77
60.338940382003784,250,679,1014,1081,866,1565,1972,2053,2065,1089,20.79,69.43,63.77
61.362014293670654,251,682,1018,1085,869,1571,1979,2061,2072,1103,20.79,69.43,63.76
62.385281801223755,252,684,1022,1090,872,1577,1986,2068,2080,1109,20.79,69.43,63.77
63.40900254249573,253,688,1027,1095,872,1581,1993,2075,2087,1127,20.79,69.42,63.76
64.41814470291138,254,692,1035,1104,872,1585,2001,2084,2096,1131,20.79,69.42,63.78
65.44224905967712,255,698,1044,1113,871,1590,2009,2093,2105,1131,20.79,69.42,63.77
66.46534085273743,256,705,1057,1127,864,1591,2017,2102,2115,1156,20.79,69.42,63.77
67.48862051963806,257,711,1066,1137,862,1595,2025,2111,2123,1130,20.79,69.42,63.77
68.5121967792511,258,714,1072,1143,860,1597,2030,2116,2129,1123,20.79,69.42,63.78
69.52130627632141,259,718,1077,1149,862,1602,2037,2124,2136,1123,20.79,69.42,63.77
70.54446244239807,260,719,1079,1151,866,1608,2043,2131,2143,1118,20.79,69.42,63.77
71.56792068481445,260,720,1080,1152,869,1611,2047,2134,2147,1120,20.79,69.42,63.77
72.59137868881226,261,723,1085,1157,871,1616,2055,2142,2155,1121,20.79,69.42,63.77
73.60053277015686,262,729,1095,1168,864,1615,2059,2147,2160,1161,20.79,69.42,63.78
74.6237063407898,262,733,1101,1175,861,1617,2063,2152,2165,1142,20.79,69.42,63.78
75.64706087112427,263,740,1114,1188,854,1617,2070,2160,2173,1172,20.79,69.42,63.78
76.65602827072144,264,745,1121,1197,853,1621,2077,2168,2181,1156,20.79,69.42,63.79
77.6791398525238,265,749,1129,1205,852,1625,2084,2176,2190,1155,20.79,69.42,63.77
78.70254230499268,267,757,1141,1218,853,1634,2099,2192,2205,1155,20.79,69.42,63.80
79.71151566505432,268,757,1141,1218,859,1640,2105,2198,2211,1123,20.79,69.41,63.79
80.73461961746216,269,760,1145,1221,863,1647,2113,2206,2219,1137,20.79,69.41,63.79
81.75795793533325,269,762,1148,1225,867,1653,2120,2213,2227,1147,20.78,69.41,63.78
82.78166031837463,271,764,1150,1227,875,1662,2130,2223,2237,1132,20.78,69.41,63.80
83.79088139533997,272,767,1154,1232,879,1669,2139,2233,2246,1142,20.78,69.41,63.80
84.81405782699585,273,769,1157,1235,883,1676,2146,2240,2254,1135,20.78,69.41,63.78
85.83745121955872,274,774,1166,1245,882,1681,2156,2250,2264,1151,20.78,69.41,63.80
86.86097049713135,275,780,1177,1256,879,1685,2164,2260,2274,1157,20.78,69.41,63.80
87.87012147903442,276,784,1183,1263,881,1690,2172,2269,2283,1140,20.78,69.41,63.81
88.89330649375916,277,786,1186,1266,886,1697,2180,2277,2291,1126,20.78,69.41,63.80
89.91664719581604,278,788,1188,1268,890,1703,2187,2284,2298,1124,20.78,69.41,63.80
90.92561030387878,279,789,1188,1268,896,1710,2194,2290,2304,1116,20.78,69.40,63.81
91.94888663291931,280,792,1194,1275,898,1715,2202,2299,2313,1133,20.78,69.41,63.80
92.97219467163086,281,796,1200,1281,899,1720,2209,2306,2320,1131,20.78,69.41,63.81
93.98109579086304,281,797,1201,1282,902,1724,2213,2311,2325,1120,20.78,69.40,63.81
95.00421476364136,282,799,1205,1286,903,1728,2219,2317,2331,1130,20.78,69.40,63.81
96.02844619750977,283,803,1211,1292,900,1729,2222,2321,2335,1149,20.78,69.40,63.81
97.05197644233704,283,808,1220,1302,893,1727,2226,2325,2340,1168,20.78,69.40,63.82
98.07539296150208,284,813,1228,1311,889,1728,2230,2331,2345,1166,20.78,69.40,63.81
99.09892272949219,284,815,1231,1315,887,1728,2232,2333,2347,1146,20.78,69.40,63.82
100.10813736915588,284,819,1239,1323,881,1727,2235,2337,2351,1180,20.78,69.40,63.81
101.1312837600708,285,822,1243,1327,881,1728,2238,2340,2355,1169,20.78,69.40,63.82
102.15463638305664,285,820,1240,1324,886,1733,2241,2342,2357,1134,20.78,69.40,63.82
103.17814540863037,285,817,1234,1318,894,1737,2242,2343,2358,1120,20.78,69.40,63.82
104.18737077713013,285,815,1231,1314,900,1741,2244,2344,2359,1130,20.78,69.40,63.82
105.21048641204834,285,816,1232,1315,899,1741,2245,2345,2360,1146,20.78,69.40,63.82
106.23379039764404,286,817,1234,1317,898,1741,2246,2347,2361,1166,20.78,69.40,63.82
107.24285674095154,286,816,1231,1314,904,1746,2248,2349,2363,1114,20.78,69.40,63.82
108.2659764289856,286,812,1223,1306,917,1755,2253,2353,2367,1092,20.78,69.40,63.82
109.28936338424683,287,806,1213,1294,935,1766,2258,2357,2371,1073,20.78,69.40,63.82
110.29843854904175,288,800,1200,1280,955,1779,2264,2361,2376,1055,20.78,69.40,63.82
