time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0164825916290283,4,16,26,28,4,20,32,34,34,1223,23.32,73.98,65.11
2.136598587036133,60,119,164,173,301,423,478,489,490,858,20.56,69.02,66.55
3.16005277633667,72,173,252,268,291,469,565,584,587,1007,20.57,69.02,66.56
4.1835551261901855,89,232,343,366,330,569,704,731,735,1064,20.57,69.02,66.55
5.20693826675415,112,292,433,462,411,712,883,917,922,1099,20.57,69.02,66.55
6.216087579727173,129,340,504,537,471,821,1020,1060,1066,1091,20.57,69.02,66.55
7.239327907562256,147,386,573,610,531,928,1155,1200,1207,1090,20.57,69.03,66.55
8.26275110244751,164,433,643,685,591,1037,1291,1342,1350,1081,20.57,69.03,66.55
9.286226034164429,184,487,723,770,663,1164,1450,1507,1516,1074,20.57,69.03,66.54
10.29513931274414,190,503,747,796,682,1199,1495,1554,1563,1075,20.57,69.03,66.54
11.318387269973755,193,512,761,811,691,1218,1520,1580,1589,1075,20.57,69.03,66.55
12.34184193611145,196,521,776,827,699,1236,1544,1606,1614,1080,20.57,69.03,66.55
13.351148843765259,200,533,793,845,707,1256,1572,1635,1644,1091,20.57,69.03,66.55
14.374361276626587,210,562,838,893,740,1319,1653,1720,1730,1105,20.57,69.03,66.55
15.397785425186157,215,577,860,917,757,1351,1694,1763,1773,1095,20.58,69.04,66.54
16.42209219932556,218,587,876,933,763,1368,1718,1787,1798,1096,20.58,69.04,66.55
17.44634175300598,222,597,890,949,777,1393,1748,1819,1829,1077,20.58,69.04,66.54
18.470407247543335,225,607,905,965,785,1411,1772,1845,1855,1097,20.58,69.04,66.54
19.49449896812439,228,617,922,982,787,1423,1792,1865,1876,1117,20.58,69.04,66.54
20.51773762702942,230,628,939,1001,788,1435,1812,1887,1898,1134,20.58,69.04,66.54
21.541064023971558,232,636,952,1015,787,1443,1825,1902,1913,1140,20.58,69.04,66.54
22.56467294692993,234,645,966,1030,785,1450,1839,1917,1928,1156,20.58,69.04,66.54
23.573830604553223,237,659,988,1054,791,1470,1869,1949,1960,1135,20.58,69.04,66.55
24.597261905670166,240,669,1005,1072,796,1485,1892,1973,1985,1123,20.58,69.04,66.54
