time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.032942295074463,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.152688980102539,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.07
3.175827741622925,0,0,0,0,0,0,0,0,0,1630,21.90,71.43,56.07
4.199200868606567,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.06
5.222715139389038,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.06
6.231696605682373,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.07
7.254942893981934,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.07
8.278493881225586,0,0,0,0,0,0,0,0,0,1630,21.90,71.43,56.07
9.30215048789978,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.06
10.325852394104004,0,0,0,0,0,0,0,0,0,1630,21.91,71.43,56.05
11.349562883377075,0,0,0,0,0,0,0,0,0,1630,21.91,71.44,56.05
12.373275518417358,0,0,0,0,0,0,0,0,0,1630,21.91,71.44,56.05
13.39706802368164,0,0,0,0,0,0,0,0,0,1630,21.91,71.44,56.05
14.406388998031616,0,0,0,0,0,0,0,0,0,1630,21.91,71.44,56.06
15.429736375808716,0,0,0,0,0,0,0,0,0,1630,21.91,71.45,56.05
16.45301342010498,0,0,0,0,0,0,0,0,0,1630,21.91,71.45,56.04
17.476382970809937,0,0,0,0,0,0,0,0,0,1630,21.91,71.45,56.05
18.485398530960083,1,1,1,1,6,6,6,6,6,280,21.91,71.44,56.06
19.509186267852783,1,1,1,1,5,6,6,6,6,280,21.91,71.44,56.05
20.532567739486694,1,1,1,1,5,6,6,6,6,280,21.91,71.44,56.06
21.55584955215454,1,1,1,1,5,6,6,6,6,280,21.91,71.44,56.06
22.579466342926025,1,1,1,1,5,6,6,6,6,280,21.91,71.44,56.03
23.603029012680054,1,1,1,1,5,6,6,6,6,280,21.91,71.44,56.06
24.626828908920288,1,1,1,1,5,5,5,5,5,280,21.91,71.44,56.06
25.636012315750122,1,1,1,1,4,5,5,5,5,280,21.91,71.44,56.06
26.65909767150879,1,1,1,1,4,5,5,5,5,280,21.91,71.44,56.06
27.68247151374817,1,1,1,1,4,5,5,5,5,280,21.91,71.44,56.04
28.691368103027344,1,1,1,1,4,4,4,4,4,280,21.91,71.45,56.06
29.714499711990356,1,1,1,1,4,4,4,4,4,280,21.92,71.45,56.06
30.73778986930847,0,1,1,1,3,4,4,4,4,280,21.92,71.45,56.06
31.761394500732422,0,0,0,0,3,4,4,4,4,280,21.91,71.45,56.08
32.77054142951965,0,0,0,0,3,3,4,4,4,280,21.91,71.45,56.08
33.796873331069946,0,0,0,0,3,3,3,3,3,280,21.91,71.44,56.06
34.81815147399902,0,0,0,0,3,3,3,3,3,280,21.91,71.44,56.06
35.84130263328552,0,0,0,0,2,3,3,3,3,280,21.91,71.45,56.06
36.86464500427246,0,0,0,0,2,2,2,2,2,280,21.91,71.45,56.06
37.87352395057678,0,0,0,0,2,2,2,2,2,280,21.91,71.45,56.06
38.896703004837036,0,0,0,0,2,2,2,2,2,280,21.92,71.45,56.06
39.92003154754639,0,0,0,0,2,2,2,2,2,280,21.91,71.45,56.05
40.92889714241028,0,0,0,0,2,2,2,2,2,280,21.91,71.44,56.05
41.95204186439514,0,0,0,0,1,2,2,2,2,280,21.91,71.44,56.06
42.97549510002136,0,0,0,0,1,2,2,2,2,280,21.91,71.44,56.05
43.98426914215088,0,0,0,0,1,1,1,1,1,280,21.91,71.44,56.06
45.007367849349976,0,0,0,0,1,1,1,1,1,280,21.91,71.44,56.06
46.03067111968994,0,0,0,0,1,1,1,1,1,280,21.91,71.44,56.06
47.05456495285034,0,0,0,0,1,1,1,1,1,280,21.91,71.44,56.06
48.078266620635986,0,0,1,1,1,1,1,1,1,675,21.91,71.44,56.06
49.102123737335205,0,0,1,1,1,1,1,1,1,675,21.91,71.44,56.05
50.11108994483948,0,0,1,1,0,1,1,1,1,675,21.91,71.44,56.04
51.13441205024719,0,0,1,1,0,1,1,1,1,675,21.91,71.45,56.04
52.15772771835327,0,0,0,1,0,1,1,1,1,675,21.91,71.44,56.05
53.181097745895386,0,0,0,0,0,1,1,1,1,675,21.91,71.44,56.05
54.19025897979736,0,0,0,0,0,1,1,1,1,675,21.91,71.44,56.05
55.213335037231445,0,0,0,0,0,1,1,1,1,776,21.91,71.45,56.04
56.23660850524902,2,4,6,6,5,10,12,12,12,1010,21.91,71.45,56.05
57.24564504623413,6,15,23,25,20,36,45,47,47,1026,21.91,71.45,56.05
58.268747329711914,10,27,41,43,34,62,79,82,82,1097,21.91,71.45,56.05
59.29213523864746,13,40,62,66,35,77,102,108,108,1200,21.91,71.45,56.05
60.315715312957764,16,49,76,81,41,92,124,131,131,1231,21.92,71.45,56.06
61.33946442604065,22,69,105,112,60,131,175,184,185,1188,21.92,71.45,56.05
62.363253116607666,28,86,131,140,80,169,224,234,236,1164,21.91,71.45,56.06
63.38705897331238,37,107,162,173,113,223,290,303,305,1148,21.92,71.45,56.06
64.39629244804382,49,138,208,222,158,301,385,402,404,1118,21.91,71.45,56.05
65.41972184181213,57,157,235,251,188,350,445,464,466,1112,21.91,71.45,56.06
66.44331932067871,59,163,245,262,197,365,464,484,487,1092,21.91,71.45,56.08
67.46682453155518,67,185,278,296,225,415,527,550,553,1084,21.91,71.45,56.07
68.49024271965027,73,202,302,323,245,453,575,600,603,1100,21.91,71.45,56.08
69.49931788444519,78,215,322,344,261,483,613,638,642,1113,21.91,71.44,56.06
70.52239108085632,85,234,350,374,285,525,667,695,699,1104,21.91,71.44,56.08
71.5456702709198,93,255,382,408,313,576,730,760,765,1105,21.91,71.44,56.08
72.55465817451477,97,267,400,427,328,604,765,797,802,1115,21.91,71.45,56.08
73.57780241966248,99,273,409,436,333,614,779,812,817,1133,21.91,71.45,56.08
74.60105729103088,103,284,426,454,347,640,812,846,851,1126,21.91,71.45,56.08
75.6100561618805,120,330,495,528,402,742,941,981,987,1124,21.91,71.45,56.07
76.63320469856262,132,366,548,584,445,822,1043,1087,1093,1103,21.91,71.44,56.08
77.65659952163696,138,379,568,606,463,854,1083,1128,1135,1093,21.91,71.44,56.08
78.66544795036316,142,393,589,628,478,883,1121,1168,1175,1117,21.91,71.45,56.09
79.68854784965515,148,408,611,652,498,918,1165,1214,1221,1088,21.91,71.44,56.10
80.71185779571533,155,425,636,678,523,960,1216,1268,1275,1078,21.91,71.44,56.10
81.72090530395508,163,444,664,708,557,1014,1280,1334,1341,1058,21.91,71.44,56.10
82.74395418167114,167,452,675,720,580,1046,1316,1370,1378,1042,21.91,71.44,56.10
83.767254114151,171,459,684,729,603,1075,1348,1402,1410,1032,21.91,71.44,56.11
84.77631258964539,174,462,687,732,618,1094,1367,1422,1430,1028,21.91,71.44,56.11
85.79955768585205,176,466,692,737,632,1112,1386,1441,1449,1032,21.91,71.44,56.12
86.82279253005981,180,475,705,751,651,1140,1418,1474,1482,1044,21.91,71.44,56.11
87.84631991386414,184,482,714,761,669,1165,1448,1504,1512,1031,21.91,71.44,56.13
88.85546708106995,188,493,730,778,689,1196,1485,1542,1551,1044,21.91,71.44,56.13
89.87871813774109,192,502,743,792,707,1224,1517,1575,1584,1056,21.91,71.44,56.12
90.90205883979797,197,513,760,809,722,1250,1550,1609,1618,1063,21.91,71.43,56.13
91.92550563812256,204,532,788,840,751,1298,1609,1671,1680,1054,21.91,71.44,56.14
92.94929790496826,214,558,827,880,783,1358,1684,1749,1758,1064,21.91,71.44,56.15
93.95850348472595,220,575,852,907,806,1398,1733,1801,1810,1064,21.91,71.44,56.15
94.9818160533905,225,590,874,931,822,1429,1774,1843,1853,1076,21.91,71.43,56.15
96.00507235527039,229,602,892,950,834,1453,1806,1876,1886,1074,21.91,71.43,56.14
97.0286066532135,234,616,915,974,849,1483,1845,1918,1928,1085,21.91,71.43,56.16
98.03769731521606,241,635,942,1003,871,1525,1897,1972,1983,1073,21.91,71.43,56.17
99.06079912185669,254,665,986,1051,923,1608,1998,2075,2087,1038,21.91,71.43,56.16
100.08408951759338,268,699,1035,1102,983,1702,2110,2192,2203,1035,21.91,71.43,56.17
101.09308528900146,280,726,1074,1143,1034,1781,2203,2288,2300,1042,21.91,71.43,56.17
102.11639618873596,286,742,1098,1169,1061,1825,2257,2343,2356,1057,21.91,71.43,56.18
103.13963675498962,293,758,1120,1193,1087,1867,2307,2394,2407,1052,21.90,71.43,56.19
104.14853811264038,298,772,1143,1217,1103,1898,2347,2437,2450,1090,21.90,71.43,56.20
105.17167234420776,302,787,1165,1241,1111,1921,2380,2471,2485,1111,21.90,71.43,56.20
106.19506335258484,310,812,1204,1282,1131,1967,2443,2537,2551,1107,21.90,71.42,56.19
107.21862387657166,316,830,1232,1312,1149,2004,2491,2589,2603,1090,21.90,71.42,56.20
108.22771763801575,324,853,1266,1348,1177,2056,2556,2656,2671,1094,21.90,71.42,56.21
