time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.024376392364502,7,32,51,55,0,27,51,56,56,1439,23.32,73.98,65.11
2.144148588180542,34,135,216,232,30,171,267,287,289,1365,21.39,70.50,58.61
3.167282819747925,43,143,221,237,95,242,337,356,359,1234,21.39,70.49,58.63
4.190643072128296,57,173,264,282,155,334,444,466,469,1182,21.39,70.49,58.62
5.2140891551971436,71,214,327,350,199,421,557,584,588,1176,21.39,70.49,58.64
6.223315477371216,88,265,405,433,245,519,688,722,727,1191,21.38,70.49,58.63
7.246381998062134,99,301,459,491,278,588,780,818,823,1192,21.38,70.49,58.64
8.270944118499756,105,318,485,518,297,626,828,868,874,1151,21.38,70.49,58.64
9.294087171554565,112,334,509,544,319,664,876,918,924,1130,21.38,70.48,58.65
10.317323446273804,120,358,544,581,351,721,946,991,998,1104,21.38,70.48,58.68
11.340941667556763,125,369,560,598,371,752,983,1030,1036,1092,21.37,70.47,58.68
12.364713668823242,129,377,572,611,389,778,1013,1060,1067,1093,21.37,70.47,58.69
13.373864650726318,134,391,592,632,409,813,1056,1105,1112,1102,21.37,70.47,58.69
14.397068500518799,138,397,600,641,426,836,1082,1131,1138,1071,21.37,70.47,58.71
15.420355319976807,139,399,603,643,438,849,1096,1145,1152,1075,21.37,70.47,58.71
16.42929172515869,141,402,607,648,447,862,1110,1160,1167,1085,21.37,70.46,58.70
17.452383518218994,144,408,616,657,460,881,1132,1182,1189,1077,21.37,70.47,58.73
18.476896047592163,150,423,638,681,480,917,1176,1228,1236,1105,21.37,70.46,58.74
19.50000023841858,158,448,675,720,508,970,1245,1300,1307,1126,21.37,70.46,58.75
20.5233256816864,174,493,742,792,560,1068,1371,1431,1440,1113,21.36,70.45,58.74
21.54693627357483,184,521,784,837,594,1131,1450,1514,1523,1123,21.36,70.45,58.75
22.556101083755493,193,543,817,872,626,1186,1518,1585,1594,1098,21.36,70.45,58.74
23.579416275024414,202,570,857,915,657,1244,1593,1662,1672,1127,21.36,70.44,58.79
24.602779388427734,209,587,883,942,681,1286,1645,1716,1727,1111,21.36,70.44,58.80
25.626174449920654,219,616,927,989,711,1346,1722,1798,1809,1138,21.36,70.44,58.81
26.63525390625,225,631,950,1014,729,1381,1767,1844,1855,1124,21.35,70.44,58.82
27.658474922180176,229,645,970,1036,743,1408,1802,1881,1893,1136,21.35,70.43,58.78
28.682863235473633,233,657,988,1055,758,1435,1837,1917,1928,1131,21.35,70.43,58.79
29.706037282943726,237,669,1007,1075,769,1459,1868,1950,1962,1141,21.35,70.43,58.81
30.729321718215942,241,679,1022,1091,778,1478,1894,1977,1989,1140,21.35,70.43,58.82
31.75277042388916,245,688,1036,1105,797,1507,1927,2011,2024,1104,21.35,70.43,58.82
32.76205539703369,252,706,1061,1133,821,1549,1980,2066,2078,1100,21.35,70.42,58.83
33.7859263420105,258,721,1083,1156,848,1592,2030,2118,2131,1078,21.34,70.42,58.84
34.80904674530029,265,737,1106,1180,875,1634,2082,2171,2184,1083,21.34,70.42,58.83
35.83229374885559,270,750,1126,1201,898,1672,2127,2218,2231,1081,21.34,70.41,58.85
36.84121346473694,286,786,1177,1255,965,1775,2249,2344,2357,1087,21.34,70.41,58.86
37.864402532577515,290,793,1187,1266,991,1809,2286,2381,2395,1062,21.34,70.41,58.89
38.888806104660034,295,802,1199,1278,1017,1844,2324,2420,2434,1057,21.34,70.40,58.90
39.911946535110474,299,808,1207,1287,1036,1869,2352,2449,2463,1073,21.33,70.40,58.90
40.93535017967224,303,818,1221,1302,1054,1897,2386,2483,2497,1080,21.33,70.40,58.91
41.95877695083618,307,826,1231,1313,1073,1923,2415,2513,2528,1074,21.33,70.40,58.92
42.967965841293335,312,836,1247,1329,1096,1958,2455,2554,2568,1077,21.33,70.39,58.92
43.991262435913086,318,849,1264,1347,1124,1998,2502,2602,2617,1074,21.33,70.39,58.94
45.014492988586426,325,866,1290,1374,1152,2045,2558,2660,2675,1083,21.33,70.39,58.92
46.03804421424866,335,891,1326,1413,1193,2111,2638,2743,2758,1076,21.32,70.38,58.95
47.047197341918945,342,910,1353,1441,1222,2158,2696,2803,2819,1078,21.32,70.38,58.96
48.070351362228394,347,927,1380,1471,1230,2185,2734,2844,2860,1118,21.32,70.38,58.96
49.0937180519104,352,943,1405,1498,1237,2209,2769,2881,2897,1137,21.32,70.38,58.97
50.1172091960907,356,958,1429,1524,1245,2232,2803,2917,2934,1140,21.32,70.38,58.98
51.12645697593689,359,969,1446,1542,1254,2253,2831,2946,2963,1124,21.32,70.38,58.98
52.14968752861023,363,981,1465,1562,1263,2274,2860,2977,2994,1132,21.32,70.37,59.00
53.17292642593384,367,995,1486,1584,1268,2293,2888,3007,3024,1144,21.32,70.37,59.00
54.197641372680664,371,1010,1510,1610,1271,2311,2917,3038,3056,1145,21.32,70.37,58.99
55.22090291976929,375,1025,1534,1636,1279,2335,2952,3075,3093,1137,21.32,70.37,59.00
56.2445068359375,380,1038,1554,1657,1296,2366,2990,3115,3133,1101,21.31,70.36,59.01
57.26813888549805,386,1055,1579,1684,1313,2400,3035,3162,3180,1103,21.31,70.36,59.03
58.29172205924988,390,1069,1601,1707,1324,2425,3069,3198,3217,1111,21.31,70.36,59.03
59.300843477249146,393,1082,1620,1728,1328,2443,3095,3226,3245,1108,21.31,70.35,59.04
60.32404065132141,400,1104,1656,1766,1342,2480,3148,3282,3301,1124,21.31,70.35,59.05
61.34843039512634,406,1116,1672,1783,1372,2522,3195,3330,3349,1059,21.31,70.35,59.06
62.372302532196045,414,1135,1700,1813,1406,2576,3260,3397,3417,1079,21.31,70.35,59.07
63.39623236656189,423,1161,1739,1854,1436,2633,3333,3472,3493,1111,21.31,70.35,59.07
64.41985440254211,433,1189,1781,1899,1468,2694,3411,3554,3574,1098,21.30,70.35,59.04
65.44372057914734,441,1210,1811,1932,1495,2742,3471,3616,3637,1103,21.30,70.34,59.07
66.46685695648193,448,1229,1841,1963,1515,2782,3523,3671,3693,1136,21.30,70.34,59.06
67.49126362800598,453,1241,1858,1982,1541,2820,3567,3717,3738,1111,21.30,70.34,59.07
68.51521182060242,457,1251,1873,1997,1555,2844,3597,3748,3770,1110,21.30,70.34,59.08
69.53860354423523,462,1269,1901,2027,1565,2874,3639,3791,3814,1129,21.30,70.34,59.09
70.56204915046692,466,1279,1915,2043,1577,2895,3666,3820,3843,1124,21.30,70.33,59.09
71.58582735061646,470,1289,1930,2058,1591,2920,3697,3852,3874,1120,21.29,70.33,59.10
72.60921692848206,473,1297,1942,2071,1602,2939,3721,3877,3899,1113,21.29,70.33,59.10
73.6328353881836,477,1311,1963,2093,1616,2967,3757,3915,3938,1124,21.29,70.33,59.12
74.64191889762878,487,1340,2008,2142,1639,3021,3830,3992,4016,1136,21.29,70.32,59.13
75.66513204574585,505,1391,2085,2224,1701,3136,3976,4144,4168,1091,21.29,70.32,59.14
76.68845772743225,515,1422,2133,2275,1728,3195,4055,4227,4252,1127,21.29,70.32,59.14
77.69734978675842,524,1444,2165,2309,1762,3251,4124,4298,4323,1111,21.29,70.32,59.14
78.72067332267761,531,1456,2180,2325,1802,3303,4180,4355,4381,1081,21.28,70.31,59.15
79.74406456947327,535,1467,2196,2342,1819,3331,4215,4391,4417,1110,21.28,70.31,59.16
80.76763010025024,539,1475,2207,2353,1835,3355,4242,4419,4445,1110,21.28,70.31,59.16
81.79130363464355,543,1486,2223,2371,1851,3382,4275,4454,4480,1124,21.28,70.30,59.16
82.800532579422,546,1488,2225,2373,1874,3408,4301,4479,4505,1094,21.28,70.30,59.18
83.82380104064941,549,1486,2219,2366,1903,3435,4323,4501,4526,1066,21.28,70.30,59.19
84.8476288318634,555,1496,2232,2380,1933,3475,4367,4545,4571,1081,21.28,70.30,59.18
85.87125277519226,562,1509,2249,2398,1973,3527,4425,4604,4630,1073,21.28,70.30,59.20
86.8950035572052,567,1524,2272,2421,1989,3558,4465,4646,4672,1105,21.27,70.29,59.21
87.9187798500061,573,1535,2287,2438,2021,3603,4514,4697,4723,1080,21.27,70.29,59.22
88.94248270988464,581,1557,2321,2474,2042,3647,4572,4757,4784,1108,21.27,70.29,59.22
89.9661295413971,590,1590,2371,2527,2061,3699,4646,4835,4863,1140,21.27,70.28,59.26
90.98999452590942,601,1622,2421,2581,2091,3762,4730,4923,4951,1121,21.27,70.28,59.26
92.01395726203918,610,1647,2459,2621,2121,3818,4801,4998,5026,1104,21.26,70.28,59.25
93.03793168067932,617,1666,2486,2650,2147,3864,4858,5056,5085,1111,21.26,70.27,59.25
94.06161212921143,627,1700,2539,2706,2170,3921,4938,5141,5170,1127,21.26,70.27,59.25
95.08533048629761,634,1718,2566,2735,2194,3964,4991,5196,5226,1101,21.26,70.27,59.27
96.10899376869202,641,1735,2591,2762,2223,4011,5048,5255,5285,1093,21.26,70.26,59.28
97.13274264335632,647,1742,2598,2770,2260,4054,5092,5300,5330,1077,21.26,70.26,59.28
98.15646767616272,651,1751,2611,2783,2278,4081,5124,5332,5363,1089,21.26,70.26,59.29
99.18034934997559,656,1761,2625,2798,2303,4117,5165,5374,5405,1084,21.26,70.26,59.29
100.20431303977966,661,1775,2646,2820,2323,4151,5207,5418,5448,1104,21.25,70.26,59.30
101.22805070877075,666,1791,2670,2846,2331,4175,5241,5454,5485,1116,21.25,70.26,59.30
102.25181293487549,671,1810,2700,2879,2340,4204,5284,5499,5531,1123,21.25,70.26,59.31
103.2755835056305,675,1824,2723,2903,2349,4229,5318,5535,5567,1112,21.25,70.25,59.31
104.29926323890686,679,1839,2745,2927,2355,4249,5348,5568,5600,1122,21.25,70.25,59.33
105.32302355766296,683,1844,2751,2933,2379,4279,5379,5598,5630,1084,21.25,70.25,59.33
106.33208799362183,687,1845,2751,2932,2413,4314,5412,5631,5663,1069,21.25,70.25,59.34
107.35574316978455,692,1859,2771,2953,2432,4346,5452,5672,5704,1094,21.25,70.24,59.34
108.37919425964355,697,1866,2780,2962,2461,4383,5491,5712,5744,1076,21.25,70.24,59.35
109.40274691581726,701,1871,2785,2968,2490,4417,5525,5746,5778,1073,21.24,70.24,59.35
110.42642021179199,704,1878,2795,2979,2499,4433,5546,5768,5800,1087,21.24,70.24,59.36
111.45020627975464,706,1882,2800,2984,2510,4448,5562,5784,5816,1083,21.24,70.24,59.37
112.4739511013031,709,1887,2808,2992,2521,4465,5581,5804,5837,1081,21.24,70.24,59.37
