time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0224294662475586,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.142213821411133,0,0,0,0,0,0,0,0,0,1630,23.38,74.08,44.26
3.165693759918213,2,14,23,25,0,8,19,21,22,1630,23.39,74.10,44.25
4.18885350227356,2,13,21,23,0,9,19,21,21,1630,23.40,74.11,44.25
5.212329626083374,2,12,20,22,0,9,19,21,21,1630,23.40,74.12,44.24
6.235945224761963,2,12,19,20,0,10,19,20,21,1630,23.40,74.12,44.24
7.245229721069336,2,11,18,20,0,10,18,20,20,1630,23.40,74.13,44.24
8.268607378005981,2,11,18,20,0,10,18,20,20,1630,23.41,74.13,44.24
9.292433261871338,2,11,18,19,0,9,18,19,19,1630,23.41,74.13,44.22
10.316123723983765,2,10,17,18,0,9,17,19,19,1630,23.41,74.14,44.22
11.339475393295288,2,10,17,18,0,9,16,18,18,1630,23.41,74.14,44.22
12.362914562225342,2,10,16,17,0,8,16,17,18,1630,23.41,74.14,44.22
13.386643648147583,2,9,15,17,0,8,15,17,17,1630,23.41,74.14,44.22
14.395830869674683,2,9,15,16,0,8,15,16,16,1630,23.41,74.14,44.22
15.41896367073059,2,9,14,15,0,7,14,15,16,1630,23.41,74.14,44.21
16.442317008972168,2,8,14,15,0,7,13,15,15,1630,23.41,74.14,44.21
17.46588134765625,2,8,13,14,0,7,13,14,14,1630,23.41,74.14,44.21
18.47505021095276,2,8,13,13,0,6,12,13,13,1630,23.41,74.15,44.20
19.498438596725464,1,7,12,13,0,6,12,13,13,1630,23.42,74.15,44.21
20.52173376083374,1,7,11,12,0,6,11,12,12,1630,23.42,74.15,44.21
21.545087575912476,1,7,11,12,0,6,11,12,12,1630,23.42,74.15,44.20
22.554274797439575,1,6,10,11,0,5,10,11,11,1630,23.42,74.15,44.20
23.577415943145752,1,6,10,10,0,5,10,10,11,1630,23.42,74.15,44.20
24.60092854499817,1,6,9,10,0,5,9,10,10,1630,23.42,74.16,44.20
25.624314785003662,1,5,9,10,0,5,9,10,10,1630,23.42,74.16,44.20
26.633524894714355,1,5,8,9,0,4,8,9,9,1630,23.42,74.16,44.19
27.656697750091553,1,5,8,9,0,4,8,9,9,1630,23.43,74.17,44.19
28.680001497268677,1,5,8,8,0,4,8,8,8,1630,23.43,74.17,44.20
29.68893027305603,1,5,8,8,0,4,7,8,8,1630,23.43,74.17,44.19
30.71235418319702,1,4,7,8,0,4,7,8,8,1630,23.43,74.17,44.19
31.735616207122803,1,4,7,8,0,4,7,7,8,1630,23.43,74.17,44.19
32.75968909263611,1,4,7,7,0,3,7,7,7,1630,23.43,74.17,44.18
33.783631563186646,1,4,7,7,0,3,6,7,7,1630,23.43,74.17,44.19
34.80758285522461,1,4,6,7,0,3,6,7,7,1630,23.43,74.17,44.18
35.83098483085632,1,4,6,7,0,3,6,7,7,1630,23.43,74.17,44.19
36.8546085357666,1,4,6,6,0,3,6,6,7,1576,23.43,74.18,44.18
37.87802195549011,1,4,6,6,0,3,6,7,7,1579,23.43,74.18,44.18
38.887221574783325,1,4,6,7,0,3,6,7,7,1582,23.43,74.18,44.18
39.910346031188965,1,4,6,7,0,3,6,7,7,1582,23.43,74.18,44.18
40.933648109436035,1,4,6,7,0,3,6,7,7,1582,23.43,74.18,44.18
41.94265651702881,1,4,6,7,0,3,6,7,7,1587,23.43,74.18,44.17
42.96576166152954,1,4,7,7,0,4,7,7,7,1588,23.44,74.18,44.17
43.98907828330994,4,18,29,31,0,18,31,34,34,1564,23.44,74.19,44.18
44.998064279556274,15,57,90,96,15,74,114,122,123,1430,23.44,74.19,44.19
46.02132797241211,26,86,134,144,54,144,201,213,215,1303,23.44,74.19,44.19
47.04481482505798,45,146,225,241,103,254,350,369,372,1275,23.44,74.19,44.19
48.06844186782837,64,198,303,324,172,376,503,529,532,1210,23.44,74.19,44.19
49.09197497367859,89,272,416,445,240,522,696,731,736,1173,23.44,74.19,44.19
50.101125955581665,117,356,544,582,323,691,919,964,971,1139,23.44,74.19,44.19
51.12444806098938,145,439,670,716,409,862,1141,1197,1205,1140,23.44,74.19,44.20
52.14799952507019,162,487,742,793,465,968,1276,1338,1346,1127,23.44,74.20,44.20
53.17171049118042,167,495,752,804,488,999,1311,1373,1382,1111,23.44,74.20,44.21
54.195308446884155,196,575,872,932,586,1179,1539,1611,1622,1095,23.44,74.20,44.21
55.21898818016052,200,580,879,939,609,1208,1570,1642,1653,1092,23.45,74.20,44.21
56.242541790008545,231,666,1007,1075,719,1406,1819,1901,1913,1087,23.45,74.20,44.22
57.251795530319214,244,696,1050,1120,775,1493,1921,2007,2019,1070,23.45,74.20,44.22
58.274932861328125,253,714,1075,1147,820,1557,1994,2081,2094,1060,23.45,74.20,44.23
59.2984299659729,279,777,1167,1245,923,1724,2196,2291,2304,1051,23.45,74.20,44.23
60.32180905342102,293,808,1211,1291,985,1818,2306,2404,2418,1069,23.45,74.21,44.23
61.34707045555115,295,805,1204,1284,1013,1843,2326,2423,2437,1038,23.45,74.21,44.23
62.37019991874695,297,801,1195,1274,1033,1858,2336,2431,2445,1061,23.45,74.21,44.24
63.39365100860596,300,805,1199,1278,1056,1885,2363,2459,2472,1064,23.45,74.21,44.25
64.41704559326172,316,842,1253,1335,1127,1994,2492,2591,2606,1048,23.45,74.21,44.25
65.42628216743469,326,864,1284,1368,1166,2055,2565,2666,2681,1065,23.45,74.21,44.26
66.44949293136597,352,932,1384,1475,1264,2224,2773,2882,2898,1068,23.45,74.21,44.26
67.47280216217041,383,1009,1498,1596,1383,2422,3015,3133,3151,1063,23.45,74.21,44.28
68.48172640800476,404,1056,1565,1667,1477,2564,3182,3305,3323,1045,23.45,74.21,44.28
69.50491976737976,430,1114,1647,1754,1592,2738,3386,3515,3534,1028,23.45,74.20,44.28
70.52824854850769,450,1156,1707,1817,1688,2878,3546,3680,3699,1031,23.45,74.21,44.30
71.55179214477539,482,1235,1822,1939,1820,3090,3803,3945,3965,1049,23.45,74.20,44.30
72.57560920715332,504,1287,1897,2019,1911,3235,3976,4124,4145,1054,23.45,74.21,44.30
73.58480501174927,514,1311,1931,2056,1954,3302,4056,4206,4228,1064,23.45,74.21,44.31
74.60820007324219,526,1339,1973,2100,2002,3379,4149,4302,4325,1071,23.45,74.21,44.32
75.63162899017334,535,1365,2012,2142,2024,3428,4214,4371,4394,1102,23.45,74.21,44.31
76.65533471107483,554,1412,2081,2215,2106,3559,4370,4533,4556,1062,23.45,74.21,44.32
77.67874717712402,566,1430,2104,2238,2171,3642,4460,4623,4647,1028,23.45,74.21,44.32
78.68790602684021,575,1446,2125,2260,2226,3713,4537,4701,4725,1034,23.45,74.21,44.33
79.71114134788513,581,1453,2131,2267,2264,3757,4581,4746,4770,1019,23.45,74.21,44.33
80.73444986343384,587,1461,2141,2277,2305,3807,4633,4798,4822,1048,23.45,74.21,44.34
81.75800251960754,591,1471,2156,2293,2319,3831,4664,4830,4854,1073,23.45,74.21,44.34
82.78177428245544,595,1482,2173,2311,2333,3856,4695,4862,4887,1073,23.45,74.21,44.35
83.80562424659729,602,1500,2198,2338,2359,3901,4749,4919,4944,1065,23.45,74.21,44.37
84.82956290245056,610,1521,2230,2371,2383,3946,4808,4979,5004,1065,23.45,74.21,44.37
85.85338759422302,623,1555,2281,2427,2429,4028,4910,5086,5112,1049,23.45,74.21,44.38
86.86247324943542,645,1610,2362,2512,2516,4172,5085,5267,5294,1040,23.45,74.21,44.39
87.8855848312378,672,1690,2482,2640,2601,4338,5300,5492,5520,1105,23.45,74.21,44.39
88.90895128250122,693,1747,2568,2732,2673,4469,5466,5665,5694,1082,23.45,74.21,44.40
