time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0278420448303223,87,272,417,446,224,505,681,716,721,1249,23.32,73.98,65.11
2.1477413177490234,237,472,652,688,1170,1652,1873,1917,1924,936,24.40,75.93,44.10
3.170882225036621,278,563,781,824,1361,1936,2203,2256,2264,1010,24.39,75.90,44.10
4.194183588027954,343,707,986,1042,1654,2376,2718,2785,2795,1045,24.38,75.89,44.10
5.217682838439941,425,891,1247,1319,2019,2929,3366,3453,3466,1038,24.38,75.89,44.11
6.226921796798706,504,1070,1505,1592,2360,3454,3987,4092,4108,1029,24.38,75.88,44.12
7.250201940536499,557,1204,1702,1802,2562,3795,4403,4524,4542,1072,24.38,75.88,44.12
8.27350664138794,590,1299,1844,1953,2672,4002,4668,4801,4820,1081,24.38,75.88,44.12
9.296892166137695,621,1382,1970,2087,2775,4191,4908,5051,5072,1056,24.37,75.87,44.13
10.306190252304077,656,1469,2096,2222,2914,4419,5184,5337,5359,1011,24.37,75.87,44.15
11.3294198513031,689,1554,2222,2356,3039,4631,5446,5609,5632,1031,24.37,75.87,44.15
12.352774143218994,712,1620,2323,2463,3108,4769,5625,5796,5821,1050,24.37,75.86,44.16
13.376208066940308,725,1667,2396,2542,3129,4839,5727,5904,5930,1065,24.37,75.86,44.16
14.385437965393066,744,1731,2494,2647,3171,4946,5877,6062,6089,1081,24.37,75.86,44.16
15.408604383468628,743,1745,2521,2676,3131,4922,5867,6055,6083,1099,24.37,75.86,44.15
16.431968688964844,751,1782,2580,2740,3131,4959,5932,6125,6154,1101,24.37,75.86,44.16
17.45570135116577,758,1811,2629,2792,3129,4989,5983,6182,6211,1071,24.37,75.86,44.15
18.479215383529663,765,1843,2681,2848,3124,5017,6035,6238,6268,1091,24.37,75.86,44.16
19.488564252853394,766,1850,2692,2860,3124,5024,6048,6252,6282,1047,24.37,75.86,44.18
20.511738061904907,779,1881,2737,2908,3178,5111,6151,6359,6389,1034,24.37,75.86,44.18
21.535041093826294,791,1909,2777,2951,3228,5189,6245,6456,6486,1038,24.36,75.85,44.20
22.558472394943237,802,1935,2815,2991,3270,5257,6327,6541,6572,1038,24.36,75.85,44.20
23.567753553390503,811,1962,2857,3036,3296,5311,6399,6616,6647,1062,24.36,75.85,44.22
24.590876579284668,820,1988,2895,3077,3326,5368,6472,6692,6724,1051,24.36,75.84,44.23
