time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0239605903625488,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.144077777862549,2,13,22,24,0,9,19,21,21,1630,25.66,78.20,38.25
3.167496681213379,2,13,22,24,0,8,19,21,21,1630,25.66,78.19,38.25
4.190945863723755,2,13,21,22,0,9,19,21,21,1630,25.66,78.19,38.26
5.214572191238403,2,12,19,21,0,10,18,20,20,1630,25.66,78.18,38.26
6.223989009857178,2,11,18,20,0,10,18,20,20,1630,25.65,78.17,38.28
7.247856616973877,2,11,18,19,0,10,18,19,20,1630,25.64,78.16,38.29
8.271527767181396,2,11,18,19,0,9,17,19,19,1630,25.64,78.15,38.29
9.295551300048828,2,11,17,19,0,9,17,19,19,1630,25.64,78.15,38.29
10.31923246383667,2,11,17,19,0,9,17,18,19,1630,25.64,78.15,38.31
11.342721462249756,2,10,17,18,0,8,16,18,18,1630,25.64,78.15,38.30
12.352099418640137,2,10,16,18,0,8,16,17,18,1630,25.64,78.16,38.30
13.37582278251648,2,10,16,17,0,8,15,17,17,1630,25.64,78.16,38.31
14.399375915527344,2,9,15,16,0,8,15,16,16,1630,25.64,78.15,38.33
15.423074007034302,2,9,14,16,0,7,14,15,16,1630,25.63,78.13,38.35
16.446611166000366,2,9,14,15,0,7,14,15,15,1630,25.61,78.10,38.37
17.456066846847534,2,8,14,15,0,7,13,14,15,1630,25.61,78.09,38.40
18.479532718658447,2,8,13,14,0,7,13,14,14,1630,25.60,78.07,38.41
19.50317692756653,2,8,13,14,0,6,12,14,14,1630,25.59,78.06,38.42
20.526852130889893,2,8,13,14,0,6,12,13,13,1630,25.58,78.05,38.42
21.53615665435791,2,8,12,13,0,6,12,13,13,1630,25.58,78.05,38.43
22.55957269668579,1,7,12,13,0,6,12,13,13,1630,25.58,78.05,38.42
23.583027362823486,2,7,12,13,0,6,12,13,13,1543,25.59,78.06,38.41
24.592146396636963,2,8,12,13,0,7,13,14,14,1551,25.60,78.08,38.40
25.615310192108154,8,33,53,57,2,37,61,66,66,1482,25.62,78.11,38.39
26.63900136947632,17,60,94,101,27,90,131,139,140,1321,25.62,78.12,38.39
27.648199319839478,29,97,150,161,61,161,225,238,240,1264,25.63,78.13,38.39
28.671429872512817,39,124,191,204,97,225,306,322,324,1224,25.63,78.13,38.40
29.694847345352173,46,145,222,238,121,270,364,383,385,1201,25.63,78.13,38.40
30.704249620437622,66,200,306,327,184,391,518,544,548,1186,25.63,78.13,38.42
31.72745442390442,83,251,383,409,233,492,652,684,688,1151,25.62,78.12,38.44
32.75090479850769,99,296,451,483,282,588,775,813,818,1140,25.63,78.14,38.40
33.76036024093628,127,377,574,614,367,756,994,1042,1049,1135,25.64,78.16,38.39
34.783408880233765,139,410,622,665,412,835,1092,1143,1151,1094,25.65,78.17,38.38
35.79231786727905,155,450,682,728,472,937,1217,1273,1282,1051,25.65,78.17,38.39
36.81584358215332,161,464,702,749,503,982,1269,1327,1335,1066,25.65,78.17,38.39
37.83945393562317,162,462,697,744,516,993,1277,1334,1342,1067,25.65,78.17,38.40
38.86325216293335,181,508,765,817,584,1109,1420,1482,1491,1069,25.65,78.17,38.40
39.88710975646973,222,615,923,985,736,1370,1743,1818,1829,1090,25.64,78.16,38.43
40.91115474700928,241,664,995,1062,811,1496,1897,1977,1989,1068,25.63,78.14,38.46
41.920504331588745,246,677,1014,1081,832,1530,1938,2020,2032,1098,25.63,78.14,38.46
42.94406199455261,250,684,1024,1092,853,1559,1970,2052,2064,1074,25.63,78.13,38.46
43.96766805648804,253,688,1029,1097,871,1580,1993,2075,2087,1062,25.63,78.13,38.47
44.99111986160278,261,706,1053,1123,909,1636,2057,2142,2154,1063,25.62,78.12,38.48
46.01507592201233,269,721,1074,1144,946,1688,2116,2202,2214,1059,25.63,78.13,38.49
47.02450180053711,280,745,1109,1181,1000,1768,2208,2296,2309,1044,25.63,78.13,38.49
48.0481231212616,297,786,1168,1244,1065,1874,2337,2430,2443,1090,25.63,78.13,38.49
49.07176685333252,330,870,1292,1376,1195,2091,2602,2704,2719,1080,25.63,78.13,38.51
50.09543490409851,354,932,1383,1473,1285,2244,2791,2901,2917,1093,25.62,78.12,38.52
51.119325160980225,379,994,1474,1570,1376,2400,2982,3099,3116,1093,25.62,78.11,38.53
52.128649950027466,414,1083,1605,1710,1514,2629,3262,3389,3407,1071,25.62,78.11,38.53
53.15187096595764,429,1118,1655,1762,1580,2730,3382,3512,3531,1063,25.62,78.12,38.52
54.17570233345032,435,1130,1672,1780,1612,2775,3432,3563,3582,1071,25.63,78.13,38.51
55.19954323768616,439,1136,1679,1788,1634,2803,3462,3594,3613,1064,25.64,78.15,38.51
56.22350716590881,441,1134,1674,1782,1653,2819,3475,3606,3625,1052,25.64,78.15,38.51
57.232553243637085,445,1141,1683,1792,1672,2846,3505,3636,3655,1066,25.64,78.15,38.52
58.255812644958496,449,1148,1692,1801,1697,2877,3538,3670,3690,1047,25.64,78.15,38.53
59.27940630912781,456,1160,1709,1818,1737,2930,3596,3729,3748,1051,25.63,78.14,38.55
60.28881120681763,471,1195,1759,1872,1799,3028,3713,3850,3870,1058,25.63,78.14,38.55
61.31228017807007,490,1241,1825,1942,1880,3156,3866,4007,4028,1052,25.63,78.13,38.55
62.33591294288635,508,1285,1889,2010,1953,3274,4008,4154,4176,1063,25.63,78.13,38.57
63.359700202941895,539,1359,1998,2125,2077,3474,4250,4405,4427,1049,25.62,78.12,38.59
64.38353180885315,557,1400,2056,2187,2160,3600,4396,4555,4578,1040,25.62,78.12,38.59
65.3929533958435,586,1465,2149,2286,2282,3788,4619,4785,4809,1044,25.63,78.13,38.56
66.41645669937134,597,1488,2180,2319,2340,3869,4711,4879,4903,1037,25.64,78.15,38.55
67.44004559516907,606,1502,2200,2339,2386,3930,4778,4947,4972,1040,25.64,78.16,38.57
68.46375679969788,613,1516,2219,2359,2427,3985,4839,5009,5034,1039,25.65,78.16,38.57
69.48773121833801,628,1550,2267,2411,2491,4084,4955,5129,5154,1048,25.64,78.16,38.58
70.5117039680481,640,1572,2296,2441,2551,4166,5047,5222,5248,1037,25.64,78.15,38.61
71.52117252349854,655,1607,2347,2495,2618,4269,5169,5348,5374,1037,25.63,78.14,38.61
72.54449820518494,677,1654,2414,2566,2719,4419,5342,5526,5553,1016,25.63,78.14,38.61
73.56797313690186,728,1776,2591,2753,2930,4754,5744,5942,5971,1034,25.63,78.14,38.62
74.57731652259827,765,1864,2718,2889,3086,5001,6039,6246,6276,1029,25.63,78.13,38.65
75.60070276260376,785,1911,2785,2960,3173,5135,6198,6410,6441,1034,25.61,78.11,38.68
76.62418699264526,804,1963,2863,3043,3235,5251,6345,6564,6595,1067,25.61,78.09,38.70
77.64790344238281,819,2002,2921,3105,3290,5347,6464,6687,6719,1051,25.60,78.08,38.71
78.65733647346497,836,2041,2978,3165,3359,5456,6595,6822,6855,1038,25.60,78.07,38.71
79.680655002594,847,2067,3016,3206,3406,5529,6683,6913,6946,1041,25.59,78.06,38.71
80.7041380405426,852,2083,3040,3232,3418,5558,6722,6954,6988,1055,25.59,78.07,38.71
81.71343159675598,857,2095,3057,3250,3438,5590,6760,6994,7027,1037,25.60,78.07,38.70
82.73671627044678,861,2105,3072,3265,3456,5618,6794,7028,7062,1029,25.60,78.08,38.71
83.75999188423157,878,2152,3141,3339,3517,5728,6931,7171,7206,1033,25.60,78.08,38.73
84.78324913978577,887,2168,3164,3363,3561,5788,6999,7240,7275,1037,25.59,78.06,38.77
85.80591917037964,900,2204,3218,3421,3604,5868,7101,7346,7382,1053,25.58,78.05,38.79
86.82888674736023,914,2246,3283,3490,3642,5950,7209,7461,7497,1071,25.57,78.02,38.81
87.83709740638733,922,2263,3306,3515,3682,6008,7275,7528,7565,1020,25.56,78.01,38.82
88.85965609550476,928,2266,3307,3515,3726,6054,7319,7572,7608,1007,25.56,78.01,38.80
89.88261818885803,934,2282,3329,3538,3757,6101,7374,7628,7665,1035,25.57,78.02,38.81
90.90541672706604,943,2295,3346,3557,3802,6160,7438,7693,7730,1028,25.57,78.03,38.81
91.92835807800293,950,2310,3367,3579,3837,6210,7495,7752,7789,1057,25.57,78.03,38.82
92.95121550559998,961,2343,3417,3632,3868,6275,7581,7842,7880,1072,25.57,78.03,38.84
93.9599175453186,977,2386,3480,3699,3928,6378,7709,7975,8013,1072,25.57,78.03,38.84
94.98268532752991,1002,2451,3576,3802,4020,6538,7907,8180,8219,1081,25.56,78.01,38.87
96.00532293319702,1026,2522,3684,3917,4093,6684,8097,8379,8420,1088,25.56,78.00,38.87
97.02815365791321,1044,2585,3783,4023,4126,6783,8239,8529,8571,1089,25.56,78.00,38.87
98.05131149291992,1055,2615,3829,4072,4157,6845,8320,8614,8657,1069,25.56,78.00,38.87
99.07431721687317,1063,2645,3876,4122,4171,6889,8385,8683,8727,1078,25.56,78.00,38.89
100.09761357307434,1068,2647,3876,4122,4207,6928,8421,8719,8763,1034,25.55,78.00,38.91
