time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0306146144866943,14,15,15,15,99,114,115,115,115,479,23.32,73.98,65.11
2.1504874229431152,129,315,460,488,520,844,1019,1054,1059,1043,25.53,77.95,37.24
3.1739957332611084,129,343,509,542,465,818,1020,1060,1066,1094,25.52,77.93,37.26
4.19724178314209,133,350,520,554,479,839,1045,1086,1092,1083,25.51,77.92,37.25
5.2208662033081055,172,450,668,711,625,1088,1352,1405,1412,1062,25.51,77.92,37.25
6.244749546051025,211,548,811,864,779,1343,1662,1726,1735,1023,25.50,77.91,37.27
7.268435001373291,236,609,900,958,880,1506,1859,1930,1940,1032,25.50,77.89,37.31
8.292050123214722,255,653,963,1025,965,1637,2014,2089,2100,1018,25.49,77.88,37.31
9.315810680389404,266,677,998,1062,1013,1710,2099,2177,2188,1041,25.49,77.87,37.31
10.32500433921814,292,738,1085,1154,1123,1882,2303,2387,2399,1027,25.49,77.88,37.32
11.348353385925293,323,808,1185,1261,1255,2086,2544,2636,2649,1001,25.49,77.88,37.34
12.371909618377686,349,866,1268,1349,1376,2266,2755,2852,2866,993,25.48,77.87,37.37
13.39563798904419,365,897,1311,1394,1451,2373,2877,2977,2992,997,25.48,77.86,37.37
14.419222116470337,388,953,1392,1480,1548,2527,3061,3167,3183,1026,25.48,77.86,37.37
15.44282841682434,404,991,1447,1538,1617,2635,3189,3300,3316,1035,25.48,77.87,37.35
16.466656923294067,412,1011,1477,1570,1649,2688,3254,3367,3383,1041,25.49,77.88,37.35
17.490542888641357,417,1023,1495,1589,1667,2718,3291,3406,3422,1047,25.49,77.89,37.35
18.51400589942932,419,1031,1506,1601,1668,2727,3306,3421,3438,1057,25.50,77.89,37.34
19.53789710998535,423,1044,1527,1623,1677,2750,3336,3454,3471,1062,25.50,77.90,37.34
20.561629056930542,427,1058,1549,1647,1684,2772,3368,3487,3505,1069,25.51,77.91,37.35
21.570884466171265,434,1075,1574,1674,1710,2815,3421,3542,3560,1052,25.50,77.91,37.38
22.594223976135254,446,1105,1618,1721,1756,2892,3516,3640,3658,1069,25.50,77.90,37.38
23.617717027664185,466,1155,1691,1798,1837,3025,3676,3806,3825,1055,25.49,77.89,37.39
24.64133858680725,478,1188,1740,1851,1880,3101,3772,3906,3926,1077,25.49,77.88,37.41
25.664729118347168,492,1223,1791,1905,1931,3187,3878,4016,4036,1063,25.48,77.87,37.43
26.688504457473755,516,1283,1880,1999,2024,3342,4068,4213,4234,1067,25.48,77.87,37.44
27.712644577026367,555,1383,2027,2156,2174,3595,4378,4534,4557,1072,25.48,77.86,37.44
28.73638892173767,595,1489,2184,2324,2315,3845,4690,4859,4884,1091,25.47,77.84,37.46
29.760202169418335,616,1548,2273,2418,2383,3974,4855,5031,5057,1099,25.46,77.82,37.46
30.78400993347168,632,1596,2347,2497,2428,4069,4981,5163,5190,1111,25.46,77.82,37.48
31.80774974822998,651,1642,2414,2569,2505,4194,5131,5319,5346,1070,25.46,77.82,37.48
32.831430435180664,667,1675,2460,2617,2584,4307,5260,5450,5478,1023,25.46,77.83,37.48
33.85530209541321,677,1699,2494,2653,2630,4377,5342,5535,5563,1045,25.46,77.83,37.50
34.87911415100098,690,1728,2536,2697,2687,4464,5445,5641,5669,1052,25.45,77.81,37.53
35.90292763710022,711,1774,2600,2766,2783,4606,5610,5811,5840,1057,25.45,77.80,37.53
36.926676511764526,720,1790,2622,2789,2827,4667,5678,5880,5909,1035,25.44,77.79,37.53
37.95040202140808,725,1798,2633,2800,2853,4701,5716,5919,5948,1048,25.43,77.77,37.55
38.95967078208923,728,1794,2622,2788,2893,4736,5743,5944,5974,1014,25.42,77.76,37.56
