time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0315797328948975,24,81,127,136,45,129,185,196,197,1356,23.32,73.98,65.11
2.15130615234375,85,186,264,279,390,581,675,694,697,1072,25.68,78.22,39.61
3.174376964569092,109,289,430,458,388,686,857,891,896,1155,25.67,78.20,39.62
4.197734832763672,145,384,570,607,522,917,1143,1188,1195,1112,25.66,78.18,39.63
5.221132040023804,193,509,755,805,697,1221,1520,1580,1588,1106,25.65,78.18,39.63
6.230364561080933,239,628,932,993,868,1515,1884,1957,1968,1097,25.65,78.17,39.65
7.253523588180542,269,705,1045,1113,983,1709,2121,2204,2216,1096,25.64,78.16,39.64
8.276835203170776,286,746,1105,1177,1054,1822,2257,2344,2357,1070,25.65,78.16,39.63
9.300212860107422,283,732,1083,1153,1048,1801,2227,2312,2324,1056,25.65,78.17,39.63
10.309334516525269,292,754,1115,1188,1085,1861,2299,2387,2400,1085,25.65,78.17,39.63
11.332541942596436,313,807,1192,1269,1168,1998,2466,2559,2573,1074,25.66,78.18,39.63
12.355884552001953,323,827,1221,1299,1218,2070,2547,2642,2656,1043,25.66,78.18,39.65
13.379247426986694,340,864,1271,1353,1301,2189,2684,2782,2797,1010,25.65,78.18,39.65
14.388387441635132,356,896,1316,1400,1376,2297,2807,2909,2924,1009,25.65,78.17,39.66
15.411476850509644,368,919,1348,1434,1435,2380,2901,3005,3020,1004,25.64,78.16,39.67
16.434849500656128,378,938,1374,1461,1486,2450,2980,3086,3101,1005,25.64,78.16,39.67
17.458232641220093,393,973,1425,1515,1549,2549,3098,3207,3223,1038,25.65,78.17,39.67
18.467451333999634,404,993,1452,1544,1606,2626,3184,3295,3311,1017,25.65,78.18,39.66
19.49049973487854,416,1020,1489,1583,1660,2708,3278,3392,3409,1021,25.66,78.20,39.64
20.51371955871582,424,1036,1512,1607,1700,2765,3343,3459,3476,1019,25.68,78.22,39.61
21.5228374004364,428,1041,1517,1612,1730,2799,3378,3493,3510,995,25.68,78.23,39.60
22.545957326889038,437,1054,1533,1629,1786,2869,3452,3568,3585,977,25.70,78.25,39.62
23.56925868988037,445,1072,1560,1657,1817,2918,3511,3629,3646,1039,25.70,78.26,39.61
24.592655658721924,457,1105,1608,1708,1862,2997,3609,3731,3749,1059,25.70,78.26,39.62
25.60177755355835,485,1172,1705,1812,1978,3181,3830,3959,3978,1050,25.70,78.26,39.63
26.624901056289673,509,1225,1782,1893,2078,3337,4014,4149,4168,1039,25.70,78.26,39.62
27.648212432861328,517,1243,1807,1919,2118,3394,4080,4216,4236,1026,25.70,78.26,39.61
28.657115697860718,530,1274,1851,1966,2171,3479,4182,4322,4342,1025,25.71,78.27,39.60
29.680400609970093,553,1327,1928,2049,2270,3633,4365,4510,4532,1020,25.71,78.28,39.60
30.70372247695923,568,1369,1990,2115,2325,3731,4487,4638,4660,1040,25.71,78.28,39.59
31.727043390274048,587,1415,2059,2188,2393,3846,4629,4785,4808,1047,25.72,78.30,39.58
32.73632836341858,607,1466,2134,2267,2473,3979,4791,4953,4976,1069,25.73,78.31,39.58
33.75962257385254,623,1505,2190,2327,2540,4085,4918,5084,5109,1055,25.73,78.31,39.58
34.78295564651489,636,1532,2227,2366,2599,4172,5018,5187,5211,1037,25.73,78.31,39.58
35.80639147758484,646,1550,2252,2393,2654,4246,5100,5270,5295,1021,25.73,78.32,39.58
36.82984232902527,662,1587,2304,2447,2727,4356,5229,5403,5428,1025,25.74,78.33,39.58
37.839154958724976,675,1615,2345,2491,2782,4440,5328,5505,5531,1019,25.74,78.33,39.60
38.86256170272827,686,1639,2378,2526,2836,4518,5418,5597,5623,1019,25.74,78.32,39.60
39.885741233825684,711,1700,2468,2622,2930,4676,5610,5797,5824,1052,25.74,78.32,39.58
40.909197092056274,718,1719,2496,2652,2954,4719,5664,5853,5880,1041,25.74,78.34,39.57
41.932727336883545,725,1738,2524,2681,2984,4768,5724,5915,5943,1028,25.75,78.35,39.57
42.9419059753418,733,1764,2564,2724,3005,4817,5790,5984,6012,1042,25.75,78.35,39.57
43.965110540390015,744,1795,2610,2773,3041,4884,5876,6073,6102,1048,25.75,78.36,39.58
44.98844003677368,751,1806,2624,2788,3080,4934,5930,6128,6157,1017,25.75,78.35,39.57
46.01226830482483,755,1819,2645,2810,3091,4959,5963,6163,6193,1039,25.75,78.35,39.60
47.035680294036865,761,1822,2646,2811,3131,5002,6004,6204,6233,993,25.74,78.34,39.62
48.0448739528656,769,1828,2649,2814,3196,5072,6072,6271,6300,982,25.74,78.33,39.62
49.06803226470947,795,1886,2732,2901,3315,5251,6280,6486,6516,1019,25.74,78.33,39.64
50.09140586853027,826,1960,2839,3015,3440,5451,6522,6735,6766,1023,25.73,78.31,39.67
51.114808082580566,848,2019,2928,3109,3517,5590,6696,6916,6948,1046,25.71,78.29,39.70
52.12394332885742,867,2068,3000,3186,3590,5713,6847,7073,7106,1046,25.71,78.28,39.70
53.14718556404114,897,2143,3109,3302,3709,5908,7084,7319,7353,1036,25.70,78.25,39.75
54.17052173614502,928,2220,3223,3424,3823,6102,7322,7566,7601,1039,25.68,78.23,39.77
55.19393014907837,955,2280,3308,3514,3945,6286,7537,7786,7823,1009,25.67,78.20,39.79
56.20309376716614,985,2346,3402,3613,4083,6492,7777,8033,8071,994,25.67,78.20,39.79
57.22620391845703,1001,2377,3444,3657,4168,6608,7906,8165,8203,990,25.66,78.18,39.81
58.24953269958496,1012,2392,3462,3676,4235,6690,7993,8253,8291,983,25.65,78.17,39.82
59.25844717025757,1018,2410,3489,3705,4254,6727,8041,8303,8341,1027,25.65,78.17,39.81
60.281545639038086,1023,2423,3509,3726,4270,6757,8079,8342,8381,1034,25.65,78.18,39.82
61.30496597290039,1026,2439,3535,3755,4259,6763,8097,8363,8402,1072,25.66,78.19,39.79
62.32835865020752,1027,2446,3547,3767,4258,6769,8109,8376,8415,1045,25.67,78.20,39.79
63.337557792663574,1028,2456,3564,3785,4249,6770,8118,8387,8426,1047,25.67,78.21,39.79
64.36069440841675,1032,2467,3580,3803,4261,6794,8148,8418,8458,1036,25.68,78.22,39.80
65.38403296470642,1036,2482,3604,3828,4262,6809,8175,8447,8487,1050,25.68,78.22,39.79
66.3929808139801,1039,2502,3638,3865,4248,6817,8199,8475,8515,1067,25.68,78.22,39.82
67.41612648963928,1048,2528,3677,3907,4281,6877,8275,8554,8594,1038,25.67,78.21,39.84
68.43962240219116,1060,2549,3706,3937,4341,6958,8365,8646,8687,1008,25.67,78.21,39.84
69.4631450176239,1071,2577,3746,3979,4389,7034,8456,8740,8781,1042,25.67,78.21,39.84
70.48667621612549,1081,2600,3779,4015,4425,7095,8529,8816,8857,1051,25.67,78.21,39.84
71.49593591690063,1090,2623,3814,4052,4459,7153,8601,8890,8932,1045,25.68,78.22,39.85
72.51915097236633,1105,2660,3868,4110,4518,7250,8719,9012,9055,1038,25.68,78.22,39.86
73.54271173477173,1129,2728,3970,4218,4600,7401,8911,9213,9256,1069,25.67,78.21,39.86
74.56603336334229,1155,2787,4054,4308,4714,7576,9117,9424,9469,1034,25.66,78.20,39.87
75.57510781288147,1185,2859,4158,4418,4839,7775,9355,9671,9717,1034,25.66,78.19,39.88
76.59837222099304,1210,2923,4253,4519,4933,7935,9552,9875,9922,1045,25.66,78.18,39.89
77.62172055244446,1220,2958,4307,4577,4953,7990,9632,9959,10007,1057,25.65,78.17,39.91
78.6452705860138,1232,2992,4360,4633,4986,8059,9722,10054,10102,1061,25.64,78.16,39.93
79.66880774497986,1241,3013,4390,4665,5021,8116,9790,10124,10173,1052,25.64,78.14,39.94
80.67821455001831,1249,3039,4429,4708,5040,8162,9853,10190,10239,1042,25.63,78.14,39.95
81.70141553878784,1255,3060,4461,4742,5060,8203,9907,10248,10297,1039,25.63,78.14,39.97
82.72576665878296,1264,3075,4482,4764,5102,8261,9972,10314,10363,1036,25.63,78.13,39.97
83.7489378452301,1276,3112,4539,4824,5140,8337,10072,10418,10468,1045,25.63,78.13,39.97
84.77233123779297,1282,3138,4580,4868,5141,8364,10118,10467,10518,1071,25.62,78.12,39.99
85.79577088356018,1289,3157,4609,4899,5159,8402,10167,10519,10570,1058,25.62,78.12,39.99
86.81938171386719,1297,3184,4651,4944,5179,8450,10233,10589,10641,1070,25.62,78.11,40.00
87.8286485671997,1309,3220,4705,5002,5217,8525,10330,10691,10743,1053,25.61,78.10,40.02
88.85184121131897,1320,3257,4763,5064,5238,8585,10415,10781,10834,1059,25.61,78.10,40.04
89.8752064704895,1329,3272,4783,5085,5288,8651,10487,10853,10907,1030,25.61,78.09,40.06
90.89868140220642,1345,3292,4806,5109,5388,8770,10611,10978,11031,1019,25.61,78.09,40.06
91.90782570838928,1358,3316,4838,5142,5457,8863,10714,11083,11137,1024,25.61,78.10,40.03
92.93107771873474,1377,3364,4908,5217,5535,8991,10868,11243,11297,1036,25.62,78.11,40.04
93.95444750785828,1397,3407,4970,5282,5621,9122,11021,11401,11456,1039,25.62,78.11,40.04
94.97812819480896,1415,3450,5031,5347,5698,9242,11164,11548,11604,1051,25.62,78.12,40.04
96.00186681747437,1439,3502,5106,5426,5805,9402,11352,11741,11797,1036,25.62,78.12,40.04
97.02566838264465,1461,3564,5198,5525,5881,9542,11529,11926,11983,1046,25.63,78.13,40.04
98.04945421218872,1479,3606,5259,5589,5960,9664,11673,12074,12133,1044,25.63,78.13,40.03
99.07358407974243,1490,3629,5291,5624,6010,9738,11759,12162,12221,1041,25.62,78.12,40.04
100.09693217277527,1497,3636,5298,5631,6057,9791,11813,12216,12274,1023,25.62,78.11,40.07
101.1206681728363,1502,3663,5342,5678,6049,9812,11853,12261,12320,1064,25.61,78.10,40.08
102.14440727233887,1506,3670,5352,5689,6065,9835,11881,12289,12348,1051,25.60,78.08,40.09
103.16815423965454,1509,3706,5414,5755,6023,9831,11907,12321,12382,1088,25.60,78.08,40.09
104.17734909057617,1512,3733,5460,5805,5996,9832,11931,12350,12411,1085,25.60,78.09,40.08
105.20075178146362,1515,3746,5482,5829,5993,9843,11952,12373,12435,1060,25.61,78.10,40.07
106.22431063652039,1519,3746,5478,5825,6028,9878,11983,12403,12464,1023,25.62,78.12,40.06
107.24784541130066,1522,3741,5466,5811,6064,9908,12005,12424,12485,1027,25.63,78.13,40.04
108.27141189575195,1524,3736,5456,5800,6097,9936,12026,12443,12504,1020,25.63,78.14,40.04
109.29509663581848,1526,3740,5461,5805,6107,9950,12042,12459,12520,1045,25.64,78.15,40.03
110.30417895317078,1528,3743,5465,5809,6116,9961,12054,12472,12533,1053,25.64,78.16,40.02
111.3275785446167,1530,3752,5480,5825,6113,9968,12069,12488,12549,1059,25.65,78.16,40.02
112.351154088974,1531,3747,5469,5814,6137,9986,12080,12498,12559,1032,25.65,78.17,40.01
113.3744490146637,1532,3741,5458,5801,6162,10005,12092,12508,12569,1034,25.66,78.19,39.99
114.38345694541931,1533,3739,5453,5796,6174,10016,12100,12515,12576,1032,25.66,78.20,39.99
115.4064998626709,1534,3733,5441,5783,6192,10026,12104,12518,12579,1028,25.67,78.20,39.97
116.42980527877808,1534,3727,5430,5770,6206,10034,12105,12518,12578,1026,25.67,78.21,39.97
117.43883943557739,1534,3724,5425,5765,6213,10038,12107,12519,12579,1034,25.68,78.23,39.96
118.4620954990387,1533,3720,5418,5757,6216,10036,12102,12513,12573,1041,25.69,78.24,39.95
119.48541498184204,1532,3704,5390,5727,6237,10040,12091,12501,12560,1019,25.69,78.25,39.94
120.49424719810486,1531,3704,5391,5729,6227,10030,12083,12492,12552,1048,25.70,78.25,39.93
121.51740312576294,1530,3702,5388,5725,6226,10027,12078,12487,12546,1028,25.69,78.25,39.94
122.54071307182312,1529,3688,5363,5698,6247,10034,12072,12478,12537,1022,25.69,78.24,39.95
123.56433176994324,1529,3693,5374,5710,6229,10022,12066,12474,12533,1044,25.69,78.24,39.94
124.57350611686707,1528,3694,5376,5713,6220,10014,12060,12468,12527,1052,25.69,78.24,39.95
125.59729027748108,1527,3705,5396,5735,6186,9991,12048,12459,12518,1035,25.69,78.24,39.94
126.6204469203949,1525,3686,5364,5699,6209,9994,12035,12442,12502,1015,25.70,78.25,39.93
127.64382719993591,1523,3666,5330,5662,6234,9999,12022,12426,12485,1014,25.70,78.26,39.92
128.65276885032654,1521,3659,5318,5650,6230,9986,12005,12408,12466,1042,25.70,78.27,39.92
129.67595767974854,1518,3653,5310,5641,6218,9968,11984,12386,12445,1043,25.71,78.27,39.91
130.69932103157043,1515,3639,5287,5616,6221,9957,11962,12362,12420,1028,25.70,78.26,39.93
131.72295546531677,1512,3622,5258,5586,6228,9946,11938,12335,12393,1021,25.69,78.25,39.94
132.74655866622925,1509,3609,5238,5564,6226,9930,11913,12308,12366,1027,25.69,78.24,39.96
133.75578093528748,1506,3607,5236,5562,6206,9909,11892,12287,12345,1038,25.68,78.22,39.94
134.7791714668274,1504,3609,5243,5570,6179,9884,11872,12268,12326,1044,25.68,78.23,39.93
135.80285930633545,1501,3609,5245,5573,6155,9861,11851,12249,12306,1033,25.69,78.24,39.92
136.82613945007324,1499,3623,5273,5603,6101,9822,11829,12229,12287,1074,25.70,78.26,39.89
137.83504509925842,1496,3616,5262,5592,6090,9804,11807,12206,12264,1044,25.70,78.27,39.89
138.85819911956787,1493,3604,5243,5570,6091,9792,11785,12183,12241,1036,25.70,78.27,39.90
139.8814992904663,1489,3594,5228,5554,6076,9766,11754,12150,12208,1050,25.70,78.27,39.90
140.89049792289734,1484,3578,5204,5529,6064,9738,11716,12110,12168,1033,25.70,78.26,39.90
141.91362690925598,1480,3554,5163,5485,6073,9721,11680,12070,12127,1020,25.70,78.27,39.90
142.9381799697876,1476,3536,5135,5454,6076,9707,11652,12040,12096,1025,25.70,78.26,39.91
143.9613857269287,1472,3511,5093,5410,6091,9695,11621,12004,12060,989,25.70,78.26,39.91
144.98475909233093,1469,3514,5100,5417,6063,9670,11600,11985,12041,1054,25.70,78.25,39.91
146.0082607269287,1466,3503,5083,5399,6053,9649,11572,11955,12011,1024,25.69,78.24,39.92
147.01742672920227,1463,3494,5070,5386,6044,9631,11549,11931,11987,1013,25.69,78.23,39.93
148.0408399105072,1460,3475,5038,5350,6059,9626,11528,11907,11963,1003,25.68,78.22,39.93
149.06425642967224,1456,3447,4990,5299,6083,9620,11499,11874,11928,990,25.68,78.22,39.94
150.08778309822083,1451,3427,4958,5264,6081,9597,11461,11833,11887,1011,25.68,78.22,39.93
151.11134791374207,1445,3415,4942,5248,6049,9553,11413,11783,11837,1049,25.68,78.22,39.93
152.12050127983093,1441,3402,4923,5227,6032,9524,11375,11744,11798,1026,25.68,78.22,39.94
153.1436607837677,1437,3380,4887,5188,6041,9510,11344,11710,11763,1009,25.68,78.23,39.93
154.16700434684753,1433,3365,4862,5161,6043,9496,11318,11682,11735,1015,25.69,78.23,39.91
155.1904776096344,1430,3377,4885,5187,5994,9459,11295,11661,11715,1070,25.70,78.26,39.89
156.19978666305542,1428,3384,4901,5204,5952,9425,11272,11640,11693,1062,25.70,78.27,39.89
157.22300362586975,1425,3376,4888,5191,5944,9409,11250,11617,11671,1022,25.71,78.29,39.86
158.2463822364807,1422,3375,4890,5193,5923,9387,11231,11598,11652,1031,25.72,78.29,39.86
159.269873380661,1420,3367,4877,5179,5914,9370,11208,11574,11628,1025,25.72,78.30,39.86
160.27902603149414,1416,3380,4904,5208,5854,9324,11178,11548,11602,1069,25.72,78.30,39.86
161.3022816181183,1412,3368,4885,5188,5841,9298,11145,11513,11567,1012,25.72,78.29,39.87
162.32562899589539,1409,3375,4900,5206,5798,9262,11119,11489,11543,1064,25.72,78.29,39.88
163.34913039207458,1405,3386,4925,5233,5737,9214,11086,11459,11514,1072,25.71,78.27,39.88
164.35836267471313,1401,3380,4916,5223,5721,9192,11060,11433,11487,1041,25.70,78.27,39.89
165.38153624534607,1398,3363,4888,5193,5729,9182,11038,11408,11462,1026,25.70,78.26,39.89
166.40491604804993,1395,3352,4871,5175,5721,9163,11011,11380,11434,1045,25.70,78.26,39.89
167.42834973335266,1392,3338,4848,5150,5722,9148,10986,11353,11406,1023,25.69,78.25,39.91
168.43764400482178,1386,3299,4783,5080,5747,9133,10939,11299,11352,1013,25.69,78.24,39.91
169.4608190059662,1383,3293,4774,5071,5733,9113,10916,11276,11328,1022,25.68,78.23,39.92
170.48418974876404,1380,3278,4750,5044,5743,9108,10899,11256,11308,993,25.68,78.23,39.93
171.5077109336853,1378,3282,4759,5054,5716,9085,10882,11241,11293,1048,25.67,78.21,39.93
172.51688313484192,1376,3286,4767,5063,5691,9064,10866,11226,11278,1056,25.67,78.21,39.94
173.5401632785797,1374,3276,4751,5045,5693,9055,10850,11208,11260,1028,25.67,78.21,39.94
