time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.022101640701294,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.142268180847168,0,0,0,0,0,0,0,0,0,1630,24.83,76.70,39.11
3.165388822555542,0,0,0,0,0,0,0,0,0,1630,24.83,76.70,39.11
4.188703536987305,0,0,0,0,0,0,0,0,0,1630,24.84,76.71,39.10
5.212129354476929,0,0,0,0,0,0,0,0,0,1630,24.84,76.71,39.10
6.237259149551392,0,0,0,0,0,0,0,0,0,1630,24.85,76.72,39.09
7.2603559494018555,0,0,0,0,0,0,0,0,0,1630,24.85,76.73,39.08
8.283846855163574,0,0,0,0,0,0,0,0,0,1630,24.85,76.73,39.08
9.307500123977661,0,0,0,0,0,0,0,0,0,1630,24.85,76.73,39.07
10.330916166305542,0,0,0,0,0,0,0,0,0,1630,24.85,76.74,39.07
11.356054306030273,0,0,0,0,0,0,0,0,0,1630,24.86,76.74,39.07
12.379518747329712,0,0,0,0,0,0,0,0,0,1630,24.85,76.74,39.08
13.403266906738281,0,0,0,0,0,0,0,0,0,1630,24.86,76.74,39.08
14.427069664001465,0,0,0,0,0,0,0,0,0,1630,24.86,76.74,39.08
15.45078706741333,0,0,0,0,0,0,0,0,0,1630,24.86,76.74,39.08
16.476213455200195,0,0,0,0,0,0,0,0,0,1630,24.85,76.74,39.09
17.499936819076538,0,0,0,0,0,0,0,0,0,1630,24.85,76.73,39.09
18.523192644119263,0,0,0,0,0,0,0,0,0,1630,24.85,76.72,39.11
19.54693031311035,0,0,0,0,0,0,0,0,0,1630,24.84,76.71,39.11
20.556331872940063,0,0,0,0,0,0,0,0,0,1630,24.83,76.70,39.12
21.579609155654907,4,9,13,14,18,27,32,33,33,881,24.83,76.69,39.14
22.60300374031067,4,7,9,10,22,29,32,33,33,929,24.83,76.69,39.15
23.612385272979736,4,10,14,15,20,30,35,36,37,1070,24.82,76.68,39.16
24.635608434677124,11,21,29,31,55,76,86,88,88,976,24.82,76.67,39.16
25.658995866775513,16,31,43,45,82,114,128,131,131,961,24.81,76.66,39.17
26.668490886688232,24,53,75,80,110,164,191,197,197,1033,24.81,76.66,39.18
27.691987991333008,36,76,107,113,173,251,288,296,297,1001,24.81,76.66,39.19
28.71562695503235,49,102,142,150,233,337,387,397,398,989,24.81,76.66,39.20
29.739254236221313,74,151,209,221,362,516,587,602,604,963,24.81,76.65,39.22
30.74855351448059,100,204,283,299,486,694,792,811,814,974,24.81,76.66,39.21
31.771839141845703,120,246,343,362,582,834,952,976,979,983,24.82,76.67,39.20
32.79523706436157,136,279,389,411,657,942,1076,1103,1107,972,24.83,76.70,39.17
33.80458211898804,154,318,444,469,741,1066,1220,1251,1255,974,24.85,76.73,39.13
34.82778286933899,173,361,505,533,827,1196,1372,1407,1412,1012,24.86,76.75,39.12
35.85128116607666,185,391,548,580,874,1274,1467,1505,1511,1037,24.88,76.78,39.10
36.860597133636475,201,429,605,640,936,1376,1590,1633,1639,1054,24.89,76.81,39.10
37.88383960723877,264,578,820,868,1200,1792,2088,2146,2155,1035,24.90,76.82,39.11
38.90731453895569,292,648,923,978,1307,1971,2306,2373,2383,1071,24.90,76.82,39.10
39.91641330718994,310,696,994,1054,1372,2085,2449,2521,2532,1062,24.91,76.83,39.08
