time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0245425701141357,23,45,63,66,111,157,178,183,183,821,23.32,73.98,65.11
2.1603407859802246,79,199,293,311,306,511,624,647,650,1112,25.66,78.18,40.08
3.184246778488159,102,241,350,371,426,674,806,832,836,1035,25.64,78.16,40.08
4.207468509674072,139,328,475,504,580,917,1096,1131,1137,1036,25.64,78.15,40.07
5.23076868057251,169,400,578,614,709,1120,1337,1380,1387,1018,25.64,78.14,40.07
6.254205942153931,202,475,687,730,846,1334,1592,1643,1651,1031,25.63,78.14,40.08
7.263625860214233,220,520,752,798,924,1458,1740,1796,1805,1043,25.63,78.13,40.11
8.286762714385986,239,561,811,861,1004,1579,1884,1944,1953,1009,25.62,78.12,40.10
9.310075283050537,259,608,879,933,1094,1718,2047,2113,2123,1015,25.62,78.11,40.11
10.31907844543457,276,647,935,992,1166,1830,2180,2250,2260,1027,25.62,78.11,40.11
11.342925548553467,303,711,1026,1089,1281,2010,2394,2471,2482,1025,25.62,78.12,40.09
12.36605954170227,325,763,1102,1170,1371,2153,2566,2648,2660,1032,25.62,78.12,40.11
13.389382600784302,336,791,1143,1213,1412,2223,2652,2738,2750,1042,25.63,78.13,40.11
14.398486375808716,341,804,1163,1235,1432,2258,2695,2782,2795,1021,25.63,78.13,40.11
15.421743392944336,351,828,1198,1272,1473,2323,2773,2863,2876,1024,25.63,78.14,40.09
16.44614577293396,370,874,1263,1341,1554,2450,2925,3020,3033,1023,25.64,78.15,40.07
17.469354391098022,369,871,1259,1337,1550,2444,2917,3011,3025,1016,25.65,78.18,40.06
18.492829084396362,369,869,1257,1334,1552,2444,2916,3010,3024,1011,25.66,78.19,40.05
19.51630687713623,373,879,1271,1349,1563,2465,2943,3038,3052,1040,25.67,78.20,40.05
20.52515172958374,404,955,1382,1468,1689,2669,3190,3293,3308,1048,25.67,78.20,40.06
21.548391580581665,454,1076,1558,1655,1896,3001,3588,3705,3722,1058,25.67,78.21,40.06
22.571800470352173,494,1170,1693,1798,2064,3264,3902,4029,4047,1033,25.67,78.21,40.05
23.581027269363403,511,1207,1747,1855,2140,3379,4036,4167,4186,1032,25.68,78.22,40.04
24.60449719429016,526,1242,1797,1908,2204,3478,4154,4289,4309,1034,25.68,78.22,40.04
25.62776494026184,521,1231,1782,1892,2184,3447,4117,4251,4270,1027,25.68,78.23,40.04
26.65120506286621,521,1238,1794,1905,2165,3435,4112,4247,4266,1063,25.68,78.23,40.03
27.660513877868652,520,1246,1809,1922,2141,3420,4106,4242,4262,1079,25.69,78.24,40.04
28.683627367019653,524,1259,1829,1943,2153,3446,4140,4278,4298,1065,25.68,78.23,40.06
29.707013845443726,532,1275,1851,1966,2188,3496,4198,4338,4358,1034,25.68,78.23,40.06
30.730671167373657,559,1341,1948,2069,2299,3676,4414,4561,4583,1057,25.68,78.23,40.08
31.75582718849182,591,1419,2062,2191,2428,3885,4667,4823,4846,1044,25.68,78.22,40.08
32.77907681465149,630,1508,2189,2326,2598,4147,4976,5141,5165,1005,25.68,78.22,40.09
33.802265644073486,658,1573,2283,2425,2719,4335,5198,5371,5396,1023,25.67,78.21,40.08
34.811418294906616,675,1611,2337,2482,2796,4449,5333,5509,5535,1016,25.68,78.22,40.07
35.8347442150116,681,1620,2348,2493,2827,4490,5376,5553,5578,1004,25.69,78.24,40.04
36.85813617706299,683,1625,2355,2501,2836,4503,5392,5570,5596,1037,25.70,78.26,40.04
37.8817572593689,688,1635,2370,2516,2862,4541,5434,5613,5639,1021,25.70,78.27,40.04
38.90566802024841,696,1654,2397,2546,2897,4595,5499,5679,5705,1033,25.70,78.27,40.04
39.92910122871399,704,1678,2434,2585,2917,4640,5559,5743,5769,1051,25.71,78.27,40.04
40.9528751373291,711,1695,2458,2611,2946,4686,5615,5801,5828,1023,25.71,78.27,40.04
41.97822022438049,721,1714,2484,2638,2992,4751,5689,5876,5903,1019,25.71,78.27,40.06
43.001367807388306,730,1732,2509,2664,3043,4821,5766,5955,5982,1017,25.70,78.27,40.07
44.024826526641846,740,1757,2545,2703,3079,4882,5842,6033,6061,1031,25.70,78.26,40.08
45.048423528671265,749,1776,2572,2731,3122,4945,5914,6107,6135,1015,25.70,78.25,40.08
46.05765652656555,757,1800,2608,2770,3149,4997,5981,6177,6205,1033,25.70,78.26,40.07
47.080888986587524,763,1813,2628,2790,3173,5034,6025,6223,6252,1029,25.71,78.27,40.06
48.104248046875,776,1839,2664,2829,3234,5122,6126,6326,6355,1029,25.71,78.28,40.07
49.12770414352417,844,2002,2899,3079,3515,5570,6663,6880,6912,1030,25.72,78.29,40.07
50.136964321136475,883,2102,3047,3236,3662,5819,6970,7199,7233,1044,25.72,78.30,40.06
51.16013193130493,896,2140,3105,3297,3704,5901,7075,7309,7343,1044,25.72,78.30,40.06
52.183507442474365,909,2171,3151,3347,3751,5980,7172,7410,7445,1048,25.72,78.30,40.06
53.2070198059082,913,2189,3179,3377,3758,6005,7210,7450,7485,1066,25.72,78.30,40.06
54.21636486053467,918,2209,3211,3411,3763,6031,7250,7493,7528,1073,25.73,78.31,40.06
55.239583253860474,923,2213,3214,3414,3793,6065,7283,7526,7561,1033,25.73,78.31,40.07
56.26301074028015,932,2237,3251,3453,3826,6123,7356,7602,7638,1046,25.73,78.32,40.07
57.287938356399536,940,2263,3289,3495,3848,6172,7421,7670,7706,1055,25.73,78.32,40.07
58.311113119125366,947,2288,3329,3537,3856,6205,7472,7724,7761,1057,25.74,78.32,40.06
59.33450746536255,953,2310,3364,3575,3867,6239,7521,7777,7814,1057,25.73,78.32,40.08
60.35806918144226,956,2321,3380,3592,3876,6259,7548,7805,7843,1040,25.73,78.32,40.09
61.36725473403931,962,2340,3410,3624,3889,6292,7594,7853,7891,1058,25.73,78.31,40.11
62.39118146896362,973,2369,3453,3670,3924,6357,7676,7939,7977,1052,25.72,78.30,40.14
63.41444945335388,991,2415,3521,3743,3993,6473,7819,8087,8126,1045,25.71,78.28,40.14
64.4378297328949,1041,2530,3687,3918,4207,6806,8213,8493,8534,1029,25.71,78.28,40.13
65.46115207672119,1068,2590,3772,4009,4327,6987,8425,8712,8754,1024,25.71,78.28,40.13
66.47054290771484,1088,2641,3846,4087,4411,7124,8590,8882,8925,1037,25.72,78.29,40.12
67.49450302124023,1103,2670,3887,4131,4481,7223,8703,8999,9042,1028,25.72,78.29,40.14
68.51774859428406,1117,2699,3927,4172,4553,7324,8818,9116,9159,1026,25.72,78.30,40.13
69.54127764701843,1127,2717,3951,4198,4607,7397,8898,9198,9241,1028,25.73,78.31,40.12
70.56465077400208,1135,2715,3941,4186,4680,7467,8959,9256,9299,1002,25.73,78.32,40.11
71.57370853424072,1148,2742,3978,4226,4742,7556,9061,9361,9405,1032,25.74,78.34,40.08
72.5969865322113,1159,2772,4024,4275,4782,7628,9151,9455,9499,1051,25.75,78.35,40.09
73.62028741836548,1173,2810,4080,4334,4833,7718,9263,9571,9616,1042,25.75,78.36,40.10
74.64373302459717,1183,2834,4116,4372,4866,7776,9335,9646,9692,1048,25.75,78.35,40.12
75.65320348739624,1196,2870,4169,4429,4914,7861,9441,9757,9803,1047,25.74,78.34,40.15
76.67672419548035,1220,2937,4271,4537,4990,8007,9629,9952,9999,1062,25.73,78.32,40.17
77.70015144348145,1249,3008,4373,4646,5111,8200,9861,10192,10240,1016,25.73,78.32,40.17
78.72344923019409,1277,3076,4472,4751,5225,8384,10082,10421,10470,1025,25.72,78.30,40.19
79.74712300300598,1314,3164,4601,4888,5373,8623,10370,10719,10770,1017,25.71,78.28,40.22
80.75645208358765,1324,3185,4629,4918,5424,8694,10451,10802,10853,1031,25.70,78.26,40.24
81.77966332435608,1329,3207,4664,4956,5426,8719,10492,10846,10898,1047,25.70,78.25,40.24
82.80408573150635,1335,3232,4705,4999,5427,8746,10538,10895,10947,1056,25.69,78.24,40.26
83.82733368873596,1341,3254,4740,5037,5432,8774,10581,10942,10994,1074,25.68,78.23,40.27
84.85063934326172,1343,3270,4767,5066,5421,8779,10599,10963,11015,1054,25.68,78.22,40.28
85.87414169311523,1345,3272,4769,5068,5435,8795,10615,10978,11031,1028,25.68,78.23,40.27
86.88351702690125,1351,3271,4762,5060,5490,8849,10663,11025,11077,996,25.69,78.24,40.27
87.90727686882019,1356,3266,4750,5047,5541,8895,10700,11060,11112,999,25.69,78.24,40.27
88.93050813674927,1361,3282,4774,5072,5553,8924,10739,11101,11153,1049,25.68,78.23,40.28
89.95404481887817,1365,3295,4794,5093,5564,8948,10771,11134,11187,1032,25.68,78.23,40.29
90.97747611999512,1370,3303,4804,5104,5597,8989,10815,11179,11232,1021,25.68,78.23,40.27
91.98665595054626,1375,3313,4818,5119,5624,9026,10856,11221,11275,1013,25.69,78.24,40.28
93.00991487503052,1381,3329,4841,5143,5643,9061,10901,11268,11321,1037,25.69,78.24,40.28
94.03331518173218,1389,3358,4887,5193,5652,9101,10960,11331,11385,1064,25.69,78.24,40.29
95.0567626953125,1399,3385,4927,5235,5686,9162,11038,11412,11466,1054,25.69,78.24,40.29
96.06604194641113,1411,3409,4961,5271,5749,9250,11137,11514,11569,1033,25.69,78.25,40.29
97.08932042121887,1433,3464,5042,5357,5832,9390,11308,11691,11747,1048,25.70,78.26,40.27
98.11377143859863,1448,3503,5099,5418,5891,9489,11430,11817,11873,1039,25.71,78.28,40.27
99.1369309425354,1462,3522,5120,5440,5980,9596,11541,11929,11986,1001,25.72,78.29,40.26
100.16031241416931,1473,3549,5160,5483,6021,9665,11626,12017,12074,1043,25.73,78.31,40.26
101.18368268013,1488,3581,5206,5531,6090,9768,11744,12139,12196,1031,25.73,78.31,40.26
