time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0214381217956543,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.141303062438965,0,0,0,0,0,0,0,0,0,1630,24.86,76.75,39.49
3.1647610664367676,0,0,0,0,0,0,0,0,0,1630,24.86,76.75,39.48
4.188357830047607,0,0,0,0,0,0,0,0,0,1630,24.87,76.76,39.48
5.212022066116333,0,0,0,0,0,0,0,0,0,1630,24.87,76.77,39.48
6.235568523406982,0,0,0,0,0,0,0,0,0,1630,24.87,76.77,39.48
7.259297132492065,0,0,0,0,0,0,0,0,0,1630,24.87,76.77,39.48
8.283092737197876,0,0,0,0,0,0,0,0,0,1630,24.88,76.78,39.48
9.306890487670898,0,0,0,0,0,0,0,0,0,1630,24.88,76.78,39.47
10.316214799880981,0,0,0,0,0,0,0,0,0,1630,24.88,76.78,39.47
11.339363098144531,0,0,0,0,0,0,0,0,0,1630,24.88,76.79,39.47
12.362671136856079,0,0,0,0,0,0,0,0,0,1630,24.88,76.79,39.46
13.371763467788696,0,0,0,0,0,0,0,0,0,1630,24.89,76.79,39.46
14.39516305923462,0,0,0,0,0,0,0,0,0,1630,24.89,76.80,39.46
15.418720245361328,0,0,0,0,0,0,0,0,0,1630,24.89,76.80,39.45
16.44213628768921,0,0,0,0,0,0,0,0,0,1630,24.89,76.80,39.47
17.451207876205444,0,0,0,0,0,0,0,0,0,1630,24.88,76.79,39.47
18.47457242012024,0,0,0,0,0,0,0,0,0,1630,24.88,76.78,39.48
19.49781346321106,0,0,0,0,0,0,0,0,0,1630,24.87,76.77,39.48
20.50678515434265,1,1,1,1,6,6,6,6,6,280,24.87,76.77,39.48
21.529982089996338,1,1,1,1,5,6,6,6,6,280,24.87,76.76,39.51
22.553451776504517,3,12,19,20,5,18,26,27,28,1318,24.86,76.76,39.49
23.57693839073181,8,24,36,39,21,46,61,64,65,1241,24.86,76.75,39.51
24.586228847503662,18,51,76,82,59,111,142,148,149,1204,24.86,76.74,39.51
25.60936188697815,29,85,129,138,88,176,229,239,241,1225,24.85,76.74,39.52
26.632771968841553,40,116,175,187,121,241,313,327,329,1215,24.85,76.74,39.52
27.64179491996765,44,123,184,197,143,270,345,360,362,1185,24.86,76.74,39.52
28.664937019348145,55,144,214,227,201,349,434,451,453,1132,24.86,76.76,39.50
29.688323736190796,70,183,272,289,257,446,553,574,577,1124,24.88,76.78,39.49
30.697367668151855,84,220,326,347,311,537,666,691,695,1104,24.88,76.79,39.49
31.720504999160767,101,263,389,414,375,645,798,829,833,1102,24.89,76.81,39.47
32.74385118484497,119,309,458,488,440,759,939,975,980,1115,24.91,76.83,39.45
33.7529571056366,130,337,499,532,478,825,1021,1061,1066,1114,24.92,76.85,39.44
34.77607536315918,146,379,561,597,538,927,1148,1192,1199,1095,24.92,76.85,39.44
35.79942083358765,161,418,619,659,594,1025,1268,1317,1324,1098,24.92,76.86,39.46
36.80852484703064,176,459,680,724,650,1123,1390,1444,1451,1097,24.92,76.86,39.49
37.83164405822754,208,542,802,854,763,1320,1636,1700,1709,1114,24.92,76.85,39.49
38.855003118515015,260,682,1011,1077,949,1651,2050,2130,2141,1127,24.92,76.85,39.49
39.864235162734985,275,720,1067,1137,1000,1741,2163,2247,2259,1101,24.91,76.84,39.51
40.88734173774719,289,758,1124,1197,1053,1833,2277,2366,2379,1093,24.91,76.83,39.52
41.910693883895874,309,808,1197,1275,1129,1960,2433,2527,2541,1079,24.90,76.82,39.54
42.9342360496521,356,928,1374,1463,1310,2265,2806,2914,2930,1060,24.90,76.81,39.54
43.943530559539795,393,1017,1503,1601,1463,2509,3099,3217,3234,1027,24.89,76.80,39.56
44.9666428565979,409,1050,1550,1650,1534,2615,3222,3343,3361,1033,24.88,76.79,39.57
45.989989280700684,413,1057,1559,1660,1557,2644,3254,3375,3393,1052,24.88,76.78,39.59
46.999128103256226,414,1055,1555,1654,1573,2659,3265,3386,3404,1042,24.87,76.77,39.60
48.02231955528259,421,1067,1570,1671,1608,2705,3317,3439,3457,1045,24.87,76.76,39.62
49.045690059661865,434,1098,1616,1720,1660,2789,3418,3544,3562,1082,24.86,76.75,39.64
50.069236040115356,454,1151,1695,1804,1734,2918,3578,3710,3729,1081,24.86,76.74,39.65
51.078490257263184,470,1185,1743,1854,1807,3026,3703,3838,3858,1037,24.86,76.74,39.65
52.10169982910156,483,1217,1789,1903,1860,3112,3806,3945,3965,1051,24.85,76.74,39.65
53.125044107437134,494,1241,1822,1938,1910,3186,3892,4033,4054,1057,24.85,76.73,39.65
54.13408327102661,501,1252,1837,1954,1952,3239,3950,4092,4112,1039,24.85,76.73,39.66
55.157193422317505,510,1272,1865,1984,1996,3304,4024,4168,4189,1044,24.86,76.75,39.65
56.180625915527344,522,1300,1906,2027,2041,3377,4113,4260,4282,1057,24.86,76.75,39.65
57.20434546470642,535,1335,1958,2083,2091,3464,4221,4372,4394,1055,24.87,76.76,39.64
58.21363306045532,542,1356,1990,2116,2111,3505,4275,4429,4451,1076,24.87,76.77,39.65
59.237008810043335,547,1371,2011,2139,2130,3539,4317,4472,4495,1060,24.87,76.76,39.67
60.260438680648804,557,1397,2051,2181,2159,3595,4389,4548,4571,1061,24.87,76.76,39.68
61.28395342826843,569,1436,2111,2246,2194,3670,4490,4654,4678,1082,24.86,76.75,39.72
62.30749559402466,592,1496,2200,2341,2278,3816,4671,4842,4866,1066,24.85,76.74,39.74
63.316874980926514,626,1580,2324,2473,2407,4032,4935,5115,5141,1067,24.85,76.72,39.74
64.3399407863617,664,1682,2474,2633,2546,4276,5238,5430,5458,1072,24.84,76.72,39.75
65.36333847045898,686,1735,2553,2716,2632,4417,5410,5608,5637,1055,24.84,76.71,39.75
66.37235808372498,703,1777,2613,2780,2705,4532,5547,5750,5779,1053,24.83,76.70,39.76
67.39570808410645,714,1803,2650,2820,2748,4602,5632,5837,5867,1071,24.84,76.71,39.76
68.41898131370544,720,1818,2673,2844,2770,4639,5678,5885,5915,1075,24.84,76.71,39.75
69.4278793334961,723,1825,2684,2856,2782,4659,5702,5910,5940,1074,24.85,76.72,39.74
70.45080137252808,727,1838,2703,2876,2795,4685,5736,5945,5976,1068,24.85,76.73,39.75
71.45958113670349,735,1863,2742,2917,2810,4726,5793,6006,6037,1095,24.85,76.73,39.77
