time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.018913984298706,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.1387124061584473,0,0,0,0,0,0,0,0,0,1630,25.60,78.07,40.66
3.162153720855713,0,0,0,0,0,0,0,0,0,1630,25.59,78.07,40.65
4.185833930969238,1,1,1,1,6,6,6,6,6,280,25.59,78.06,40.65
5.2091224193573,1,1,1,1,5,6,6,6,6,280,25.59,78.06,40.65
6.2325358390808105,1,1,1,1,5,6,6,6,6,280,25.59,78.06,40.65
7.241656303405762,1,1,1,1,5,6,6,6,6,280,25.59,78.07,40.65
8.264772176742554,1,1,1,1,5,6,6,6,6,280,25.60,78.07,40.64
9.288115978240967,1,1,1,1,5,6,6,6,6,280,25.60,78.07,40.64
10.297035932540894,1,1,1,1,5,5,5,5,5,280,25.60,78.08,40.63
11.32034969329834,1,1,1,1,4,5,5,5,5,280,25.60,78.08,40.63
12.343652486801147,1,1,1,1,4,5,5,5,5,280,25.60,78.09,40.62
13.367055654525757,1,2,2,2,2,4,5,5,5,675,25.60,78.09,40.63
14.376237392425537,1,1,2,2,2,4,5,5,5,675,25.61,78.09,40.62
15.399357795715332,1,1,2,2,2,4,4,5,5,675,25.61,78.09,40.61
16.42380976676941,1,1,2,2,2,3,4,4,4,675,25.61,78.09,40.62
17.447235345840454,0,1,2,2,2,3,4,4,4,675,25.61,78.09,40.66
18.47042965888977,0,1,1,1,2,3,4,4,4,776,25.61,78.09,40.62
19.493839263916016,0,1,1,1,2,3,4,4,4,776,25.60,78.09,40.63
20.503000736236572,0,1,1,1,2,3,3,4,4,776,25.60,78.08,40.63
21.526596784591675,0,1,1,1,2,3,3,3,3,577,25.60,78.08,40.64
22.549813985824585,3,6,9,10,10,16,20,20,21,1009,25.60,78.08,40.64
23.573485374450684,6,13,18,19,25,38,44,46,46,957,25.60,78.07,40.64
24.596843242645264,12,23,32,34,59,83,94,96,96,812,25.59,78.07,40.66
25.606006622314453,28,53,73,76,145,199,223,227,228,843,25.59,78.06,40.68
26.629480361938477,37,73,99,105,189,264,297,303,304,867,25.59,78.06,40.68
27.65270447731018,55,115,161,170,260,377,434,445,446,908,25.58,78.05,40.70
28.67603087425232,69,153,217,230,310,467,546,561,564,939,25.57,78.03,40.70
29.684828996658325,84,187,266,282,378,570,667,686,689,963,25.57,78.02,40.73
30.707964658737183,94,210,299,317,421,636,745,767,770,968,25.57,78.02,40.73
31.731619834899902,107,239,341,361,476,720,845,869,873,992,25.57,78.02,40.73
32.755369424819946,124,278,396,420,547,832,977,1006,1010,1009,25.57,78.02,40.73
33.779035806655884,132,298,426,451,583,888,1044,1075,1080,1004,25.57,78.03,40.73
34.78824734687805,140,318,455,483,617,943,1110,1143,1148,1015,25.57,78.03,40.73
35.81144690513611,154,351,503,533,672,1031,1216,1253,1259,1021,25.58,78.04,40.72
36.83583879470825,207,476,684,726,892,1379,1633,1684,1691,1019,25.58,78.05,40.70
37.85895228385925,223,515,741,786,957,1484,1760,1815,1823,1018,25.59,78.07,40.71
38.88220500946045,233,544,784,832,992,1550,1842,1901,1909,1046,25.59,78.07,40.70
39.891207695007324,243,572,827,878,1018,1605,1915,1977,1986,1078,25.60,78.08,40.69
40.91429018974304,251,599,870,924,1037,1653,1982,2047,2057,1107,25.61,78.09,40.68
41.93881940841675,256,615,895,950,1047,1679,2018,2086,2096,1076,25.62,78.12,40.67
42.962024211883545,260,630,917,974,1057,1703,2052,2122,2132,1077,25.63,78.14,40.65
43.985618114471436,262,638,929,988,1059,1714,2069,2139,2150,1073,25.64,78.14,40.65
45.00922346115112,264,644,939,998,1064,1725,2084,2156,2166,1062,25.64,78.16,40.66
46.033018350601196,299,729,1063,1130,1207,1955,2361,2442,2454,1040,25.65,78.17,40.67
47.05755615234375,336,819,1195,1270,1353,2194,2651,2742,2755,1048,25.65,78.17,40.65
