time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0204577445983887,23,43,58,61,116,160,178,182,183,815,23.32,73.98,65.11
2.1402695178985596,104,331,510,546,256,599,815,858,864,1196,24.31,75.76,36.34
3.1636712551116943,129,366,552,589,408,786,1011,1056,1062,1122,24.31,75.75,36.36
4.187154054641724,166,468,706,753,533,1017,1304,1361,1370,1076,24.30,75.74,36.37
5.210510969161987,212,593,891,951,693,1304,1666,1738,1748,1056,24.29,75.72,36.38
6.234380722045898,249,692,1038,1108,828,1541,1961,2045,2057,1059,24.29,75.72,36.38
7.2580766677856445,272,753,1129,1204,913,1689,2144,2235,2249,1083,24.29,75.72,36.37
8.281767129898071,290,796,1192,1271,985,1805,2285,2381,2394,1064,24.29,75.73,36.37
9.29093050956726,304,828,1238,1320,1047,1900,2397,2496,2510,1048,24.30,75.73,36.37
10.314250469207764,310,836,1247,1329,1086,1947,2445,2544,2559,1029,24.30,75.74,36.37
11.337530612945557,332,888,1323,1410,1173,2088,2615,2720,2735,1067,24.30,75.74,36.39
12.360904693603516,348,929,1383,1474,1235,2192,2742,2852,2868,1085,24.30,75.73,36.39
13.370129823684692,360,958,1426,1519,1285,2272,2839,2952,2968,1085,24.30,75.73,36.40
14.39330244064331,366,965,1433,1527,1322,2316,2883,2997,3013,1037,24.29,75.73,36.41
15.416777849197388,376,982,1455,1549,1377,2387,2961,3076,3092,1027,24.29,75.72,36.43
16.44020390510559,381,984,1455,1549,1419,2432,3003,3117,3134,1011,24.28,75.70,36.45
17.44937300682068,388,995,1468,1563,1464,2488,3062,3177,3193,1014,24.28,75.70,36.45
18.472573280334473,403,1023,1505,1602,1541,2592,3178,3295,3312,992,24.27,75.69,36.47
19.495875597000122,431,1083,1591,1692,1669,2782,3399,3522,3540,984,24.27,75.69,36.48
20.519366025924683,457,1142,1676,1783,1777,2952,3601,3730,3749,1024,24.26,75.67,36.49
21.52861785888672,472,1175,1721,1831,1851,3059,3723,3856,3875,1013,24.25,75.66,36.51
22.551806688308716,484,1203,1762,1873,1901,3137,3817,3952,3972,1040,24.25,75.65,36.52
23.575177431106567,494,1225,1794,1908,1948,3208,3899,4037,4057,1043,24.25,75.65,36.53
24.59865713119507,500,1237,1811,1925,1979,3250,3947,4086,4106,1049,24.25,75.65,36.53
25.607826709747314,504,1241,1814,1929,2007,3282,3979,4118,4138,1033,24.25,75.65,36.53
26.630971670150757,506,1244,1818,1932,2019,3298,3995,4134,4154,1042,24.25,75.66,36.52
27.65434741973877,511,1249,1823,1937,2052,3335,4032,4172,4192,1015,24.26,75.66,36.52
28.677878618240356,518,1261,1838,1953,2091,3386,4088,4228,4248,1027,24.26,75.67,36.52
29.687040328979492,525,1278,1863,1980,2121,3434,4145,4287,4308,1044,24.26,75.67,36.54
30.7104549407959,533,1300,1896,2016,2144,3479,4204,4349,4370,1057,24.26,75.66,36.54
