time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0277538299560547,38,48,54,55,250,298,306,308,308,605,23.32,73.98,65.11
2.1635563373565674,187,505,755,804,648,1169,1471,1531,1540,1059,25.14,77.25,35.59
3.1867854595184326,226,607,904,964,793,1418,1778,1851,1861,1029,25.13,77.23,35.63
4.210275173187256,292,780,1162,1239,1029,1833,2296,2388,2402,1067,25.12,77.21,35.67
5.233794927597046,355,951,1416,1509,1255,2234,2799,2911,2928,1095,25.11,77.20,35.68
6.258721351623535,414,1108,1651,1759,1464,2605,3263,3394,3413,1094,25.10,77.18,35.71
7.2826690673828125,465,1238,1843,1964,1652,2927,3660,3807,3828,1066,25.08,77.15,35.76
8.305859565734863,519,1378,2049,2183,1859,3278,4091,4254,4277,1063,25.07,77.13,35.76
9.329234838485718,542,1435,2132,2271,1951,3428,4273,4442,4467,1065,25.07,77.13,35.77
10.352893590927124,564,1486,2207,2351,2041,3571,4445,4619,4644,1063,25.07,77.12,35.78
11.376628160476685,582,1526,2263,2411,2119,3691,4585,4763,4789,1073,25.07,77.12,35.78
12.400356769561768,582,1519,2251,2397,2133,3697,4585,4762,4788,1074,25.07,77.13,35.79
13.424153327941895,581,1511,2237,2382,2142,3697,4577,4753,4779,1072,25.07,77.13,35.81
14.44794249534607,576,1489,2201,2344,2147,3679,4543,4716,4741,1048,25.07,77.13,35.81
15.47169804573059,580,1494,2206,2349,2168,3705,4570,4742,4768,1065,25.07,77.13,35.82
16.495482683181763,584,1503,2219,2362,2190,3736,4605,4778,4804,1077,25.07,77.13,35.83
17.519144535064697,594,1526,2253,2399,2227,3797,4679,4855,4881,1066,25.07,77.12,35.84
18.543001413345337,614,1576,2327,2477,2305,3926,4837,5019,5046,1070,25.07,77.12,35.85
19.566808700561523,632,1622,2395,2549,2374,4043,4981,5168,5195,1078,25.06,77.11,35.87
20.5905921459198,640,1640,2420,2576,2412,4099,5046,5235,5262,1057,25.05,77.09,35.91
21.614463806152344,655,1675,2470,2629,2476,4199,5164,5357,5385,1057,25.05,77.08,35.90
22.63811683654785,665,1700,2508,2669,2511,4260,5240,5436,5465,1066,25.05,77.09,35.89
23.661914110183716,676,1730,2551,2715,2555,4335,5332,5531,5560,1071,25.06,77.12,35.86
24.685770511627197,684,1747,2577,2742,2587,4384,5391,5592,5621,1056,25.09,77.16,35.82
25.70951271057129,688,1754,2585,2751,2614,4418,5427,5628,5657,1049,25.10,77.18,35.84
26.733171701431274,691,1756,2585,2751,2637,4443,5450,5651,5680,1042,25.10,77.18,35.85
27.757291078567505,695,1768,2604,2771,2643,4462,5477,5680,5709,1088,25.09,77.17,35.90
28.781208992004395,708,1809,2667,2839,2676,4537,5579,5787,5817,1098,25.08,77.15,35.91
29.804940938949585,739,1890,2787,2966,2791,4735,5824,6041,6073,1076,25.08,77.14,35.93
30.828898668289185,767,1969,2906,3093,2883,4909,6046,6273,6306,1101,25.07,77.12,35.95
31.85233974456787,783,2007,2962,3153,2950,5016,6174,6405,6439,1063,25.06,77.11,35.96
32.87596654891968,795,2037,3005,3198,2996,5091,6266,6501,6535,1076,25.04,77.07,36.00
33.88530230522156,805,2063,3044,3241,3030,5153,6344,6582,6616,1080,25.03,77.05,36.03
34.90837645530701,818,2100,3099,3299,3073,5233,6446,6688,6723,1082,25.01,77.02,36.06
35.93166208267212,849,2163,3188,3393,3225,5451,6694,6942,6978,1033,25.00,77.00,36.07
36.95539474487305,866,2204,3248,3456,3293,5560,6827,7079,7116,1076,24.98,76.97,36.10
37.97911620140076,881,2235,3290,3501,3364,5663,6944,7200,7237,1070,24.97,76.95,36.11
39.00278568267822,911,2307,3394,3612,3491,5864,7184,7448,7486,1056,24.97,76.95,36.11
40.026670694351196,931,2350,3456,3677,3583,6000,7342,7610,7649,1040,24.97,76.95,36.12
41.050450801849365,946,2385,3504,3728,3651,6103,7463,7735,7774,1038,24.97,76.95,36.14
42.05953335762024,956,2398,3520,3745,3715,6180,7544,7816,7855,1020,24.96,76.93,36.18
43.08294415473938,967,2418,3547,3773,3768,6253,7625,7899,7938,1028,24.95,76.91,36.19
44.10659599304199,975,2430,3563,3789,3815,6313,7689,7964,8004,1038,24.95,76.90,36.20
45.130202293395996,982,2440,3574,3801,3860,6368,7746,8021,8061,1030,24.94,76.89,36.22
46.15380239486694,991,2454,3593,3821,3909,6432,7815,8091,8132,1017,24.93,76.87,36.24
47.1774787902832,999,2462,3600,3828,3966,6496,7879,8155,8195,1025,24.92,76.86,36.26
48.2011821269989,1011,2492,3645,3875,4013,6574,7974,8254,8294,1056,24.91,76.84,36.31
49.224754333496094,1027,2535,3707,3942,4072,6677,8102,8386,8428,1040,24.90,76.83,36.33
50.2486777305603,1049,2597,3801,4042,4145,6815,8278,8570,8612,1074,24.89,76.80,36.38
51.27241039276123,1068,2651,3882,4128,4206,6930,8426,8725,8768,1065,24.87,76.77,36.39
52.296180963516235,1088,2714,3980,4233,4252,7042,8580,8887,8931,1088,24.86,76.75,36.43
53.319913148880005,1104,2753,4036,4292,4323,7153,8712,9023,9068,1047,24.86,76.75,36.41
54.34383296966553,1120,2806,4119,4381,4355,7240,8834,9153,9199,1096,24.86,76.74,36.41
55.3677396774292,1137,2858,4198,4466,4401,7340,8967,9292,9339,1089,24.86,76.74,36.43
56.391595125198364,1158,2916,4285,4559,4469,7467,9130,9462,9510,1079,24.86,76.74,36.43
57.4154851436615,1169,2945,4328,4605,4512,7540,9220,9555,9604,1062,24.85,76.74,36.43
58.43932485580444,1179,2974,4371,4651,4545,7603,9300,9639,9688,1066,24.85,76.73,36.45
59.4631142616272,1184,2974,4367,4645,4591,7648,9340,9678,9727,1033,24.85,76.73,36.46
60.48671913146973,1186,2966,4351,4628,4624,7673,9356,9691,9740,1030,24.85,76.72,36.48
61.510565996170044,1189,2970,4357,4634,4639,7693,9377,9714,9762,1047,24.84,76.72,36.48
62.534058570861816,1191,2971,4357,4634,4653,7707,9391,9727,9776,1048,24.84,76.72,36.49
63.557862520217896,1192,2977,4367,4645,4651,7711,9399,9736,9785,1066,24.84,76.72,36.49
64.58173251152039,1193,2987,4384,4663,4643,7714,9411,9750,9799,1070,24.84,76.71,36.50
65.60558462142944,1195,2992,4390,4670,4648,7723,9422,9762,9811,1058,24.83,76.70,36.52
66.62951302528381,1196,2991,4388,4668,4662,7737,9434,9773,9822,1047,24.83,76.69,36.52
67.653244972229,1198,2998,4399,4680,4664,7746,9448,9788,9837,1075,24.82,76.68,36.55
68.6771183013916,1200,3000,4401,4681,4675,7759,9461,9800,9850,1064,24.80,76.65,36.58
69.70084691047668,1201,3006,4411,4692,4678,7769,9475,9816,9866,1076,24.79,76.62,36.60
70.72460174560547,1203,3003,4405,4685,4696,7783,9485,9825,9875,1065,24.78,76.61,36.61
71.74830746650696,1204,3006,4409,4690,4700,7790,9495,9835,9884,1062,24.78,76.60,36.63
72.77224659919739,1204,3018,4429,4712,4682,7785,9499,9842,9891,1087,24.77,76.58,36.64
73.7813491821289,1205,3011,4417,4698,4702,7798,9506,9846,9896,1064,24.76,76.56,36.66
74.80454802513123,1205,2998,4393,4672,4727,7809,9504,9842,9892,1031,24.76,76.56,36.67
75.8279402256012,1205,2999,4396,4675,4723,7806,9503,9841,9890,1050,24.75,76.55,36.68
76.8513765335083,1204,3001,4400,4680,4711,7796,9495,9834,9883,1045,24.74,76.54,36.69
77.87661957740784,1203,3004,4406,4687,4695,7783,9487,9827,9876,1060,24.74,76.53,36.69
78.89987993240356,1201,3008,4415,4696,4673,7766,9475,9816,9865,1066,24.74,76.53,36.70
79.92287254333496,1200,3007,4415,4696,4661,7753,9463,9804,9853,1079,24.73,76.52,36.71
80.93195867538452,1199,3005,4412,4693,4654,7744,9453,9794,9843,1069,24.72,76.50,36.74
81.95550727844238,1197,3012,4426,4708,4627,7724,9441,9784,9833,1091,24.71,76.48,36.75
82.97882461547852,1196,3007,4418,4700,4625,7717,9430,9772,9822,1064,24.71,76.47,36.75
84.0024962425232,1194,2986,4380,4659,4657,7727,9421,9759,9808,1016,24.71,76.48,36.75
85.02639317512512,1193,2975,4361,4639,4665,7723,9408,9744,9793,1045,24.71,76.47,36.76
86.05018591880798,1191,2968,4351,4627,4664,7715,9395,9730,9779,1051,24.70,76.46,36.77
87.07396030426025,1189,2964,4344,4621,4656,7702,9380,9715,9763,1068,24.69,76.44,36.81
88.09731841087341,1187,2959,4337,4613,4644,7686,9361,9695,9744,1056,24.68,76.43,36.81
89.12093186378479,1185,2947,4318,4592,4650,7679,9345,9678,9726,1033,24.67,76.41,36.83
90.13015723228455,1182,2936,4301,4574,4650,7668,9326,9657,9706,1045,24.66,76.39,36.85
91.15315318107605,1180,2922,4277,4548,4659,7662,9309,9637,9685,1023,24.65,76.37,36.86
92.17619323730469,1177,2919,4273,4544,4643,7643,9289,9617,9665,1044,24.65,76.37,36.87
93.19918131828308,1176,2923,4282,4554,4618,7622,9274,9603,9651,1055,24.65,76.37,36.86
94.22214412689209,1174,2923,4284,4556,4603,7608,9262,9591,9639,1059,24.65,76.37,36.86
95.2451548576355,1172,2919,4278,4550,4595,7595,9247,9576,9624,1054,24.66,76.39,36.85
96.26814723014832,1170,2908,4260,4531,4597,7586,9230,9558,9605,1057,24.66,76.39,36.85
