time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0238449573516846,27,60,86,91,124,186,217,223,224,1076,23.32,73.98,65.11
2.1436309814453125,77,181,261,278,321,507,605,625,628,1018,24.33,75.79,37.66
3.167023181915283,96,231,335,356,391,627,755,780,784,1045,24.32,75.78,37.67
4.190473556518555,125,301,437,464,511,820,986,1019,1024,1043,24.32,75.77,37.69
5.21423864364624,159,381,553,587,652,1043,1253,1294,1300,1019,24.32,75.77,37.70
6.237601041793823,203,486,705,749,839,1338,1605,1658,1666,1014,24.31,75.76,37.72
7.246770620346069,230,549,797,846,951,1514,1816,1876,1885,1029,24.30,75.75,37.74
8.270012855529785,253,605,877,932,1045,1665,1997,2064,2073,1043,24.30,75.73,37.76
9.293435335159302,264,628,911,967,1093,1738,2082,2150,2160,1001,24.29,75.73,37.75
10.317140817642212,273,652,946,1005,1132,1801,2159,2230,2241,1029,24.29,75.71,37.77
11.340663433074951,287,688,998,1060,1182,1888,2266,2341,2352,1057,24.28,75.70,37.80
12.34981632232666,299,720,1047,1113,1226,1966,2363,2442,2454,1062,24.27,75.69,37.81
13.37314510345459,326,790,1150,1222,1326,2138,2575,2663,2675,1058,24.27,75.68,37.82
14.396507263183594,350,851,1240,1318,1416,2290,2763,2858,2871,1041,24.26,75.67,37.83
15.4198579788208,372,910,1329,1412,1492,2428,2936,3038,3053,1066,24.25,75.65,37.85
16.429136991500854,387,953,1393,1482,1535,2515,3050,3157,3172,1084,24.25,75.64,37.85
17.45235824584961,391,962,1405,1494,1557,2545,3084,3192,3207,1024,24.24,75.64,37.86
18.47564148902893,394,971,1419,1509,1568,2565,3110,3219,3235,1049,24.25,75.64,37.86
19.4990656375885,398,976,1426,1516,1588,2592,3139,3248,3264,1021,24.25,75.65,37.88
20.508336305618286,407,996,1454,1545,1629,2652,3208,3319,3336,1023,24.25,75.65,37.88
21.531474351882935,423,1035,1511,1607,1692,2756,3335,3450,3467,1035,24.25,75.66,37.87
22.554954528808594,438,1072,1564,1663,1757,2858,3457,3576,3594,1028,24.26,75.66,37.86
23.578585147857666,456,1121,1637,1741,1821,2972,3600,3726,3744,1074,24.27,75.68,37.86
24.602352380752563,476,1179,1726,1836,1881,3093,3757,3890,3909,1118,24.28,75.70,37.85
25.61121153831482,508,1264,1852,1969,1995,3294,4008,4151,4172,1085,24.28,75.70,37.86
26.634377002716064,527,1315,1928,2051,2060,3411,4156,4305,4327,1075,24.28,75.70,37.87
27.657872438430786,539,1345,1972,2098,2104,3487,4249,4401,4423,1053,24.28,75.70,37.88
28.68175721168518,553,1375,2013,2141,2176,3589,4365,4520,4542,1013,24.27,75.68,37.90
29.705312252044678,572,1422,2084,2216,2245,3707,4510,4671,4694,1054,24.26,75.67,37.93
30.714635133743286,593,1479,2169,2307,2321,3842,4680,4847,4872,1065,24.26,75.66,37.94
31.7381649017334,605,1513,2220,2362,2356,3912,4771,4943,4968,1087,24.25,75.66,37.93
32.76173543930054,616,1547,2272,2417,2384,3974,4855,5031,5056,1092,24.26,75.66,37.92
33.785239458084106,624,1573,2311,2459,2410,4027,4924,5103,5129,1068,24.26,75.67,37.92
34.808897495269775,635,1600,2352,2503,2449,4095,5008,5190,5217,1042,24.26,75.67,37.93
35.83251690864563,650,1644,2419,2574,2491,4182,5123,5311,5338,1069,24.26,75.67,37.95
36.8562171459198,668,1697,2498,2658,2552,4297,5270,5464,5492,1087,24.25,75.66,37.97
37.87977337837219,691,1751,2577,2743,2642,4443,5447,5647,5676,1044,24.25,75.66,37.96
38.889116048812866,719,1811,2662,2832,2771,4633,5667,5873,5903,1048,24.25,75.66,37.96
39.91223430633545,726,1821,2674,2844,2819,4691,5726,5933,5963,1026,24.25,75.65,37.96
40.935548067092896,730,1828,2682,2853,2843,4723,5761,5968,5998,1035,24.25,75.65,37.96
41.9590425491333,734,1830,2683,2854,2872,4753,5790,5997,6027,1018,24.25,75.66,37.98
42.96830606460571,737,1841,2701,2872,2879,4772,5816,6024,6055,1063,24.25,75.66,37.97
43.991734743118286,742,1853,2718,2891,2897,4802,5852,6062,6092,1051,24.25,75.65,38.01
45.015337228775024,760,1905,2796,2974,2955,4914,5996,6212,6243,1073,24.24,75.64,38.03
46.03887724876404,783,1973,2899,3084,3025,5053,6178,6403,6436,1086,24.24,75.63,38.04
47.06230354309082,810,2044,3005,3197,3119,5220,6387,6620,6654,1078,24.24,75.63,38.05
48.071357011795044,839,2123,3124,3324,3216,5399,6614,6857,6892,1094,24.24,75.63,38.06
49.09451127052307,870,2211,3257,3466,3316,5590,6859,7112,7149,1101,24.24,75.63,38.06
50.117948055267334,900,2291,3375,3592,3426,5782,7099,7361,7400,1069,24.24,75.63,38.06
51.14150834083557,917,2324,3420,3639,3509,5899,7230,7496,7535,1044,24.25,75.64,38.06
52.1506233215332,928,2349,3456,3678,3559,5975,7319,7588,7627,1053,24.25,75.64,38.06
53.1739706993103,937,2372,3490,3714,3592,6031,7389,7660,7699,1073,24.25,75.64,38.08
54.19725465774536,953,2403,3533,3759,3674,6146,7517,7791,7831,1043,24.24,75.63,38.11
55.22071361541748,975,2449,3597,3827,3779,6297,7691,7969,8010,1037,24.23,75.62,38.13
56.22988748550415,999,2505,3676,3911,3881,6455,7879,8163,8205,1033,24.23,75.61,38.14
57.253071784973145,1027,2582,3793,4035,3976,6631,8101,8395,8438,1062,24.22,75.59,38.16
58.27641010284424,1054,2646,3885,4132,4088,6808,8313,8613,8657,1041,24.21,75.58,38.16
59.285327434539795,1077,2695,3954,4206,4196,6966,8496,8801,8846,1037,24.21,75.57,38.16
60.30848455429077,1089,2719,3989,4243,4249,7044,8586,8894,8939,1046,24.20,75.57,38.17
61.331794023513794,1094,2736,4015,4270,4263,7076,8629,8939,8984,1069,24.20,75.56,38.18
62.340781927108765,1097,2746,4030,4286,4268,7091,8650,8961,9007,1066,24.20,75.56,38.20
63.36394119262695,1100,2775,4079,4340,4240,7093,8677,8994,9039,1102,24.19,75.55,38.22
64.3876461982727,1106,2798,4115,4379,4246,7123,8723,9042,9089,1074,24.19,75.55,38.22
65.41138958930969,1113,2818,4146,4411,4269,7167,8780,9101,9148,1062,24.19,75.55,38.22
66.43480634689331,1121,2844,4185,4454,4288,7213,8842,9167,9214,1076,24.20,75.55,38.23
67.443922996521,1131,2874,4232,4504,4316,7272,8920,9249,9297,1074,24.19,75.55,38.24
68.4672544002533,1145,2907,4279,4553,4375,7365,9031,9363,9412,1044,24.20,75.55,38.25
69.49064493179321,1159,2944,4334,4612,4426,7454,9141,9478,9527,1067,24.19,75.55,38.26
70.5142343044281,1180,2994,4407,4689,4507,7585,9301,9644,9694,1058,24.19,75.54,38.28
71.53782844543457,1198,3031,4458,4744,4599,7716,9449,9795,9846,1045,24.20,75.55,38.27
72.56300663948059,1216,3061,4498,4785,4694,7841,9586,9934,9985,1030,24.20,75.56,38.25
73.58620810508728,1228,3100,4557,4848,4729,7917,9687,10040,10091,1074,24.21,75.57,38.25
74.60956764221191,1234,3116,4581,4874,4750,7954,9734,10089,10140,1068,24.21,75.58,38.24
75.63320207595825,1239,3141,4623,4920,4740,7971,9770,10129,10182,1085,24.21,75.58,38.25
76.64224052429199,1241,3161,4656,4955,4721,7972,9788,10151,10203,1089,24.21,75.59,38.26
77.66539359092712,1247,3166,4661,4960,4764,8020,9835,10198,10250,1045,24.22,75.59,38.27
78.68868613243103,1254,3163,4649,4946,4836,8088,9893,10253,10305,1025,24.22,75.59,38.28
79.69784688949585,1264,3177,4667,4965,4891,8158,9968,10329,10381,1046,24.22,75.59,38.28
80.72107768058777,1281,3215,4720,5022,4971,8276,10105,10470,10523,1040,24.22,75.59,38.27
81.74442267417908,1312,3309,4864,5175,5056,8458,10347,10724,10778,1064,24.22,75.60,38.27
82.76785016059875,1331,3356,4933,5248,5129,8580,10495,10877,10933,1059,24.23,75.61,38.26
83.77707409858704,1343,3377,4961,5277,5196,8668,10592,10976,11032,1045,24.23,75.62,38.25
84.80025315284729,1355,3410,5009,5329,5241,8747,10689,11077,11134,1073,24.24,75.63,38.24
85.8235502243042,1367,3444,5062,5385,5278,8819,10783,11176,11232,1080,24.24,75.64,38.26
86.84699726104736,1376,3462,5086,5411,5317,8876,10849,11243,11300,1072,24.24,75.63,38.27
87.85615968704224,1389,3493,5130,5458,5376,8967,10956,11354,11411,1046,24.24,75.63,38.29
88.8792634010315,1402,3525,5178,5509,5424,9048,11056,11457,11515,1067,24.23,75.62,38.30
89.90263843536377,1418,3569,5245,5580,5473,9143,11179,11585,11644,1076,24.23,75.62,38.31
90.9261999130249,1430,3612,5311,5651,5501,9215,11279,11690,11750,1080,24.23,75.61,38.32
91.9354407787323,1452,3686,5426,5774,5548,9339,11452,11874,11935,1098,24.23,75.61,38.33
92.95857787132263,1469,3737,5503,5857,5598,9441,11586,12014,12076,1096,24.22,75.60,38.34
93.98183536529541,1492,3781,5564,5921,5710,9599,11764,12196,12259,1050,24.22,75.59,38.35
94.99088430404663,1508,3817,5616,5975,5781,9706,11890,12326,12389,1053,24.21,75.58,38.36
96.01402044296265,1520,3848,5661,6024,5824,9781,11984,12423,12487,1068,24.20,75.56,38.39
97.03746438026428,1529,3856,5669,6032,5888,9853,12055,12494,12558,1045,24.20,75.55,38.40
98.06089782714844,1541,3872,5687,6050,5969,9950,12155,12595,12659,1039,24.19,75.55,38.41
99.0702223777771,1553,3901,5729,6095,6012,10023,12244,12687,12751,1062,24.19,75.53,38.43
100.09330868721008,1564,3924,5761,6129,6065,10099,12331,12777,12841,1073,24.18,75.53,38.43
