time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0281445980072021,8,11,12,13,51,62,64,64,64,724,23.32,73.98,65.11
2.147885322570801,74,202,303,323,249,458,580,604,607,1108,24.41,75.94,39.90
3.171818971633911,77,179,259,275,324,508,605,624,627,979,24.41,75.94,39.91
4.195099830627441,90,217,315,335,367,590,710,734,737,1003,24.41,75.95,39.90
5.218254566192627,116,279,406,431,474,761,915,946,951,1001,24.41,75.95,39.90
6.243140697479248,151,363,527,560,616,988,1189,1229,1234,1018,24.41,75.95,39.92
7.266316890716553,185,445,647,688,757,1214,1460,1509,1516,1023,24.41,75.95,39.93
8.289551973342896,200,483,702,746,819,1315,1582,1635,1643,1022,24.41,75.94,39.93
9.298566818237305,204,492,716,761,833,1339,1612,1666,1674,1021,24.41,75.94,39.94
10.321734428405762,222,538,782,831,903,1455,1753,1812,1821,1038,24.41,75.94,39.94
11.346312999725342,238,578,842,894,965,1558,1879,1943,1953,1035,24.41,75.93,39.96
12.369405746459961,261,635,925,983,1057,1710,2063,2133,2143,1045,24.40,75.92,39.96
13.39271330833435,277,676,985,1047,1119,1813,2189,2264,2275,1058,24.40,75.92,39.98
14.40166425704956,291,709,1035,1100,1172,1901,2296,2375,2387,1054,24.39,75.91,39.99
15.42481255531311,305,744,1086,1154,1224,1989,2404,2487,2499,1060,24.39,75.90,39.99
16.449314832687378,316,772,1126,1197,1273,2066,2496,2582,2594,1029,24.39,75.91,39.99
17.472450733184814,332,812,1184,1259,1333,2167,2620,2711,2724,1053,24.40,75.91,39.99
18.4957537651062,375,915,1334,1418,1512,2451,2961,3063,3078,1024,24.40,75.91,40.01
19.51933717727661,421,1028,1500,1595,1692,2749,3323,3437,3454,1039,24.39,75.90,40.02
20.528584480285645,437,1070,1562,1660,1747,2846,3445,3564,3581,1047,24.39,75.89,40.04
21.552468061447144,441,1080,1577,1677,1766,2876,3480,3601,3618,1032,24.38,75.89,40.05
22.575607776641846,445,1087,1587,1687,1786,2903,3510,3631,3649,1017,24.38,75.88,40.05
23.598915815353394,449,1096,1599,1700,1806,2932,3544,3666,3683,1020,24.38,75.88,40.06
24.622613430023193,454,1102,1605,1705,1840,2971,3583,3705,3723,991,24.37,75.87,40.07
25.646301984786987,460,1114,1622,1724,1866,3010,3628,3751,3769,1015,24.37,75.87,40.09
26.671569108963013,476,1159,1689,1795,1924,3114,3759,3887,3906,1043,24.37,75.86,40.09
27.69491481781006,488,1188,1732,1840,1972,3192,3853,3985,4004,1020,24.36,75.86,40.11
