time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0338788032531738,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.153653144836426,0,0,0,0,0,0,0,0,0,1630,24.24,75.63,38.35
3.177107334136963,0,0,0,0,0,0,0,0,0,1630,24.23,75.62,38.35
4.200403690338135,0,0,0,0,0,0,0,0,0,1630,24.23,75.61,38.35
5.223723411560059,0,0,0,0,0,0,0,0,0,1630,24.23,75.61,38.35
6.248830318450928,0,0,0,0,0,0,0,0,0,1630,24.23,75.62,38.35
7.27227258682251,0,0,0,0,0,0,0,0,0,1630,24.23,75.62,38.34
8.295783042907715,0,0,0,0,0,0,0,0,0,1630,24.24,75.63,38.34
9.319353103637695,0,0,0,0,0,0,0,0,0,1630,24.24,75.63,38.34
10.342970132827759,0,0,0,0,0,0,0,0,0,1630,24.24,75.64,38.33
11.366435527801514,0,0,0,0,0,0,0,0,0,1630,24.25,75.64,38.33
12.375706434249878,0,0,0,0,0,0,0,0,0,1630,24.25,75.65,38.32
13.399051189422607,0,0,0,0,0,0,0,0,0,1630,24.25,75.65,38.32
14.422516107559204,0,0,0,0,0,0,0,0,0,1630,24.25,75.65,38.33
15.446011781692505,0,0,0,0,0,0,0,0,0,1630,24.25,75.64,38.33
16.469653129577637,1,4,7,8,0,3,6,7,7,1630,24.24,75.63,38.33
17.49333667755127,1,4,7,8,0,3,6,7,7,1630,24.24,75.62,38.34
18.51712942123413,1,4,7,8,0,3,6,7,7,1630,24.23,75.62,38.35
19.540783882141113,1,4,7,8,0,3,6,7,7,1630,24.23,75.62,38.35
20.5645170211792,1,4,7,7,0,3,6,6,7,1630,24.23,75.62,38.35
21.57376742362976,1,4,7,7,0,3,6,6,6,1630,24.23,75.61,38.35
22.597163438796997,1,4,6,7,0,3,5,6,6,1630,24.23,75.61,38.37
23.620504140853882,1,2,3,4,2,4,5,6,6,1079,24.22,75.60,38.38
24.64424204826355,1,2,3,3,3,5,6,6,6,1016,24.22,75.59,38.39
25.667636156082153,7,19,29,31,23,43,54,56,57,1087,24.21,75.57,38.41
26.677110195159912,18,49,73,78,66,116,145,151,152,1069,24.20,75.57,38.41
27.700215101242065,31,80,119,126,114,196,243,252,254,1077,24.20,75.56,38.42
28.723432064056396,42,106,157,167,159,268,329,342,343,1071,24.21,75.57,38.41
29.74693012237549,59,154,227,242,219,377,466,484,486,1078,24.21,75.58,38.41
30.75611925125122,76,197,291,310,280,483,597,620,623,1074,24.22,75.59,38.40
31.779215812683105,102,265,391,417,379,652,805,836,841,1053,24.22,75.60,38.39
32.8025598526001,110,284,419,446,410,702,866,899,904,1043,24.23,75.62,38.38
33.82596468925476,102,263,389,414,384,655,807,837,841,1043,24.24,75.64,38.37
34.83525013923645,113,289,427,454,428,726,893,926,931,1009,24.25,75.65,38.38
35.85891795158386,134,340,500,532,511,861,1056,1095,1100,1017,24.25,75.66,38.38
36.882246017456055,185,464,681,724,717,1194,1457,1510,1517,1033,24.26,75.66,38.39
37.90553545951843,215,538,789,840,837,1390,1695,1756,1765,1048,24.25,75.66,38.40
38.92892837524414,225,563,826,879,878,1457,1777,1841,1850,1053,24.26,75.66,38.39
39.93817758560181,252,629,923,981,980,1627,1984,2055,2065,1060,24.26,75.67,38.38
