time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.028313398361206,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.1481873989105225,0,0,0,0,0,0,0,0,0,1630,23.83,74.90,38.96
3.1712400913238525,1,5,8,8,0,3,6,7,7,1630,23.83,74.90,38.96
4.194693326950073,1,2,3,3,3,5,6,7,7,675,23.83,74.90,38.95
5.218562841415405,1,2,3,3,3,5,6,7,7,675,23.83,74.90,38.96
6.242356061935425,1,2,3,3,3,5,6,6,7,776,23.83,74.90,38.96
7.266136646270752,1,2,3,4,3,5,6,6,7,911,23.83,74.89,38.96
8.29004430770874,1,2,4,4,2,5,6,6,7,1020,23.83,74.89,38.96
9.29922890663147,1,3,4,4,2,5,6,7,7,1182,23.83,74.89,38.96
10.322427988052368,1,2,4,4,3,5,6,7,7,1057,23.83,74.90,38.96
11.345816135406494,1,2,4,4,3,5,7,7,7,1077,23.83,74.90,38.95
12.354554891586304,1,2,4,4,3,5,7,7,7,1077,23.83,74.90,38.94
13.37775707244873,1,2,3,3,3,5,7,7,7,983,23.83,74.90,38.95
14.401160717010498,1,2,3,4,3,5,7,7,7,1019,23.83,74.89,38.94
15.410309076309204,1,2,3,4,3,6,7,7,7,986,23.83,74.90,38.95
16.433510780334473,1,2,4,4,3,6,7,7,7,1026,23.83,74.90,38.95
17.456871509552002,1,2,3,4,4,6,7,8,8,926,23.83,74.90,38.95
18.480628490447998,1,3,4,4,4,6,8,8,8,971,23.83,74.90,38.95
19.504395246505737,1,3,4,4,4,6,8,8,8,992,23.83,74.90,38.95
20.51348376274109,3,8,12,12,8,16,21,22,22,1067,23.83,74.90,38.96
21.536690950393677,8,20,30,32,28,48,60,63,63,1065,23.83,74.90,38.96
22.560126066207886,17,44,65,70,59,104,130,135,136,1088,23.83,74.90,38.96
23.583556652069092,29,76,113,120,108,187,231,240,241,1093,23.83,74.90,38.96
24.592777967453003,44,108,158,168,173,284,345,357,359,1051,23.84,74.91,38.95
25.616520166397095,59,146,214,228,233,383,466,482,485,1048,23.84,74.91,38.95
26.639801025390625,73,181,265,282,290,476,579,599,602,1029,23.84,74.92,38.95
27.66309356689453,81,200,292,311,321,526,639,661,665,1029,23.85,74.92,38.95
28.686766624450684,93,230,337,358,370,607,736,762,766,1027,23.85,74.93,38.95
29.695754051208496,103,254,372,395,411,673,815,844,848,1018,23.86,74.94,38.95
30.718889236450195,119,292,426,453,476,776,939,971,976,1013,23.86,74.94,38.95
31.742292165756226,135,329,480,510,540,878,1061,1098,1103,1015,23.86,74.95,38.96
32.765788555145264,160,390,568,604,643,1043,1260,1303,1309,1014,23.86,74.95,38.96
33.77492690086365,184,447,652,693,745,1204,1453,1503,1510,995,23.86,74.95,38.97
34.79877066612244,214,518,754,802,867,1399,1686,1743,1752,1020,23.86,74.95,38.98
35.82190299034119,230,558,812,863,933,1505,1815,1877,1886,1026,23.86,74.94,38.98
36.84529781341553,235,570,830,882,952,1537,1854,1917,1926,1040,23.86,74.94,39.00
37.8686363697052,282,686,999,1062,1139,1843,2224,2300,2312,1066,23.86,74.94,39.00
