time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.027972936630249,1,4,7,8,0,3,6,7,7,1630,23.65,74.57,38.86
2.051297426223755,0,0,0,0,0,0,0,0,0,1630,23.65,74.57,38.86
3.074795722961426,1,4,7,8,0,3,6,7,7,1630,23.65,74.57,38.86
4.098310947418213,1,4,7,8,0,3,6,7,7,1630,23.65,74.57,38.86
5.1218578815460205,1,2,3,3,3,5,6,7,7,730,23.65,74.57,38.85
6.131066799163818,1,3,4,4,3,6,7,8,8,1060,23.65,74.57,38.86
7.154384613037109,1,3,4,4,3,6,8,8,8,1062,23.65,74.58,38.85
8.178010702133179,1,3,4,4,4,7,8,8,9,1013,23.65,74.58,38.86
9.201826095581055,3,7,10,11,12,19,23,24,24,996,23.65,74.58,38.85
10.225718975067139,9,21,30,32,38,59,70,73,73,938,23.65,74.58,38.86
11.249176263809204,21,51,75,79,87,140,168,174,175,1004,23.65,74.58,38.85
12.27391791343689,35,89,131,140,135,227,278,288,290,1071,23.65,74.57,38.87
13.297552347183228,51,127,186,197,198,328,400,414,416,1078,23.65,74.57,38.87
14.321189403533936,69,167,243,259,276,448,541,559,562,1066,23.65,74.57,38.87
15.344829797744751,83,201,293,312,335,542,654,676,680,1040,23.65,74.58,38.87
16.368353128433228,94,228,332,353,382,617,743,769,772,1034,23.65,74.58,38.88
17.392024755477905,103,249,363,385,417,673,811,838,842,1060,23.65,74.58,38.88
18.415773630142212,118,286,416,442,477,770,929,961,965,1053,23.65,74.57,38.89
19.43972611427307,139,337,491,521,563,909,1096,1133,1139,1041,23.65,74.57,38.90
20.463406801223755,159,385,560,595,644,1039,1252,1295,1301,1034,23.65,74.57,38.91
21.487213373184204,175,424,617,656,711,1146,1381,1428,1435,1035,23.65,74.56,38.91
22.511042594909668,179,434,632,671,727,1173,1413,1461,1468,1041,23.64,74.56,38.92
23.534730434417725,180,436,634,674,735,1182,1423,1471,1478,1017,23.65,74.56,38.93
24.55854892730713,203,490,712,757,833,1336,1606,1660,1668,1008,23.64,74.56,38.93
25.582234859466553,224,537,781,830,917,1469,1765,1824,1833,1022,23.64,74.56,38.93
26.60599637031555,242,581,844,896,995,1592,1911,1975,1985,1024,23.64,74.56,38.95
27.629886865615845,260,618,897,952,1078,1712,2051,2119,2128,972,23.64,74.55,38.95
28.6537504196167,267,633,917,973,1116,1766,2111,2180,2190,980,23.64,74.55,38.95
29.677736282348633,266,627,906,962,1119,1762,2103,2170,2180,978,23.64,74.55,38.96
30.701318979263306,265,622,899,954,1120,1759,2095,2163,2172,1005,23.64,74.55,38.97
31.710432291030884,272,635,916,972,1152,1803,2146,2214,2224,1000,23.64,74.55,38.98
32.73386836051941,292,679,979,1039,1242,1938,2304,2377,2387,1002,23.64,74.55,38.98
33.75744867324829,315,733,1056,1121,1340,2092,2486,2564,2576,1017,23.64,74.55,39.00
34.78100252151489,329,768,1107,1175,1401,2188,2601,2684,2696,1021,23.64,74.55,39.01
35.80465912818909,338,790,1141,1211,1435,2246,2673,2758,2770,1045,23.64,74.55,39.01
36.82842469215393,350,819,1182,1254,1482,2321,2763,2852,2864,1038,23.64,74.55,39.01
37.85226035118103,416,986,1427,1516,1738,2749,3287,3394,3410,1071,23.64,74.55,39.02
38.939695596694946,459,1091,1581,1679,1905,3025,3622,3741,3758,1053,23.63,74.54,39.03
39.94899892807007,473,1126,1632,1733,1965,3121,3737,3859,3877,1035,23.63,74.53,39.03
40.9722797870636,475,1130,1639,1741,1970,3130,3749,3872,3890,1040,23.63,74.53,39.03
41.99565649032593,478,1138,1650,1752,1984,3153,3776,3900,3918,1037,23.63,74.53,39.04
43.01921033859253,481,1144,1659,1762,1995,3170,3796,3921,3939,1037,23.63,74.53,39.05
44.04283618927002,483,1147,1662,1765,2011,3189,3815,3940,3958,1020,23.63,74.53,39.05
45.052013874053955,487,1156,1674,1778,2027,3213,3845,3971,3989,1024,23.62,74.52,39.06
46.07531142234802,493,1169,1693,1798,2054,3254,3892,4019,4038,1008,23.62,74.52,39.06
47.098724365234375,498,1179,1707,1813,2077,3287,3930,4058,4077,1007,23.62,74.52,39.07
48.122212648391724,508,1204,1744,1852,2122,3358,4015,4146,4165,1020,23.62,74.52,39.08
49.145981788635254,541,1281,1854,1968,2260,3575,4272,4412,4432,1020,23.62,74.52,39.08
50.16959047317505,560,1322,1912,2031,2343,3700,4419,4562,4583,997,23.62,74.52,39.08
51.17898392677307,576,1361,1969,2091,2410,3806,4547,4695,4716,1026,23.62,74.52,39.08
52.202311277389526,582,1372,1984,2107,2441,3849,4595,4743,4765,996,23.62,74.52,39.09
53.22574329376221,584,1385,2006,2130,2433,3854,4610,4761,4783,1054,23.62,74.52,39.09
