time,mPM1.0,mPM2.5,mPM4.0,mPM10,nPM0.5,nPM1.0,nPM2.5,nPM4.0,nPM10,typical,temp_C,temp_F,rh
1.0199832916259766,1,4,7,8,0,3,6,7,7,1630,23.32,73.98,65.11
2.1548879146575928,0,0,0,0,0,0,0,0,0,1630,23.19,73.75,39.13
3.178715705871582,1,4,7,8,0,3,6,7,7,1630,23.18,73.72,39.13
4.2022082805633545,1,4,7,8,0,3,6,7,7,1630,23.17,73.71,39.14
5.225754022598267,1,3,5,6,0,4,6,7,7,1630,23.17,73.70,39.14
6.234930038452148,1,4,6,7,0,4,6,7,7,1630,23.16,73.69,39.14
7.258735656738281,1,4,6,7,0,4,6,7,7,1630,23.16,73.69,39.14
8.282221794128418,1,4,6,7,0,4,6,7,7,1630,23.16,73.68,39.14
9.305864334106445,1,4,7,7,0,5,8,9,9,1401,23.16,73.68,39.14
10.329519510269165,4,14,22,23,9,24,33,35,35,1210,23.15,73.68,39.16
11.353023529052734,10,33,51,54,24,57,79,83,84,1221,23.15,73.67,39.17
12.376577377319336,18,54,83,88,49,104,139,146,147,1205,23.15,73.67,39.18
13.400192260742188,31,93,142,152,88,185,244,255,257,1184,23.15,73.67,39.18
14.40963888168335,48,139,211,225,151,294,381,398,400,1146,23.15,73.66,39.19
15.432990312576294,73,197,293,313,255,457,575,598,601,1100,23.15,73.66,39.20
16.45640993118286,93,251,375,399,324,583,733,762,767,1107,23.14,73.66,39.21
17.48015856742859,100,269,402,429,346,624,785,817,822,1110,23.14,73.66,39.20
18.504292726516724,114,306,457,487,396,712,895,931,936,1081,23.14,73.66,39.22
19.528529405593872,124,333,497,530,432,775,974,1013,1019,1101,23.14,73.65,39.23
20.552456855773926,143,384,572,610,499,894,1123,1168,1175,1095,23.14,73.65,39.24
21.575775861740112,175,470,700,747,613,1096,1376,1432,1440,1090,23.14,73.65,39.24
22.59889030456543,199,534,796,848,701,1251,1568,1632,1641,1087,23.14,73.65,39.25
23.622375011444092,203,542,806,859,718,1276,1597,1661,1670,1092,23.14,73.65,39.27
24.631455898284912,206,547,813,867,736,1299,1622,1686,1696,1075,23.14,73.64,39.28
25.65449333190918,218,575,854,910,785,1377,1715,1783,1793,1067,23.13,73.64,39.28
26.67796516418457,235,617,915,975,853,1488,1849,1922,1932,1074,23.13,73.64,39.28
27.686583995819092,247,647,958,1021,905,1571,1949,2024,2035,1069,23.13,73.64,39.29
28.70990538597107,255,664,983,1047,941,1624,2011,2089,2100,1062,23.13,73.63,39.30
29.733458280563354,263,680,1006,1071,978,1678,2073,2152,2164,1056,23.13,73.63,39.31
30.757416009902954,269,693,1024,1090,1009,1722,2123,2203,2215,1055,23.13,73.63,39.31
31.781368494033813,274,701,1034,1101,1031,1752,2156,2237,2249,1051,23.13,73.63,39.31
32.8053183555603,277,709,1046,1113,1046,1776,2185,2266,2278,1064,23.12,73.62,39.33
33.8291232585907,281,720,1061,1129,1064,1804,2219,2302,2314,1067,23.12,73.62,39.34
34.8527398109436,299,759,1116,1188,1143,1923,2358,2445,2457,1056,23.12,73.62,39.35
35.87629771232605,326,823,1211,1289,1249,2096,2567,2661,2675,1052,23.12,73.61,39.36
36.98134398460388,345,869,1277,1359,1332,2225,2721,2819,2834,1035,23.12,73.61,39.37
38.00467824935913,358,897,1317,1401,1390,2313,2823,2925,2939,1026,23.12,73.61,39.38
39.02822756767273,389,974,1430,1521,1515,2517,3070,3181,3197,1058,23.12,73.61,39.38
40.05184864997864,409,1023,1500,1596,1597,2649,3229,3345,3362,1039,23.11,73.60,39.39
41.0753071308136,444,1106,1621,1724,1740,2876,3502,3627,3645,1039,23.11,73.60,39.39
42.0989625453949,467,1156,1693,1800,1840,3029,3681,3811,3830,1032,23.11,73.60,39.41
43.108187198638916,486,1200,1756,1867,1925,3158,3833,3968,3987,1045,23.11,73.60,39.43
44.13163161277771,540,1328,1941,2063,2147,3512,4257,4405,4427,1036,23.11,73.60,39.44
45.15540432929993,555,1363,1991,2116,2219,3619,4382,4535,4557,1032,23.11,73.60,39.44
46.17910099029541,555,1369,2001,2127,2207,3613,4382,4535,4558,1077,23.11,73.59,39.44
47.20304608345032,553,1366,1998,2124,2188,3591,4360,4513,4535,1078,23.11,73.59,39.44
